"Status","Year","Organisation","Age","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","16-19","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","20-29","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","30-39","Scotland","40","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","40-49","Scotland","40","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","50-59","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","60-64","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","65+","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","16-19","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","16-19","London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","16-19","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","East Midlands (England)","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","North East (England)","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","London","60","50","46630","43750"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","North East (England)","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","North West (England)","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","London","70","70","44420","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","North East (England)","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","North West (England)","50","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","Wales","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","16-19","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","16-19","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","16-19","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","16-19","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","16-19","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","East of England","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","North West (England)","50","50","23870","21050"
"In post","2021","Animal and Plant Health Agency","20-29","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","South East (England)","140","140","26860","24920"
"In post","2021","Animal and Plant Health Agency","20-29","South West (England)","70","70","24540","24920"
"In post","2021","Animal and Plant Health Agency","20-29","Wales","50","50","21800","21050"
"In post","2021","Animal and Plant Health Agency","20-29","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","30-39","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","30-39","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","30-39","London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","30-39","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","30-39","North West (England)","50","50","27140","25190"
"In post","2021","Animal and Plant Health Agency","30-39","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","30-39","South East (England)","120","120","31200","28420"
"In post","2021","Animal and Plant Health Agency","30-39","South West (England)","80","70","28510","25100"
"In post","2021","Animal and Plant Health Agency","30-39","Wales","90","80","27600","25100"
"In post","2021","Animal and Plant Health Agency","30-39","West Midlands (England)","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","30-39","Yorkshire and The Humber","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","40-49","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","40-49","East of England","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","40-49","London","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","40-49","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","40-49","North West (England)","60","50","29520","24920"
"In post","2021","Animal and Plant Health Agency","40-49","Scotland","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","40-49","South East (England)","140","140","35580","33510"
"In post","2021","Animal and Plant Health Agency","40-49","South West (England)","130","120","30640","25670"
"In post","2021","Animal and Plant Health Agency","40-49","Wales","100","90","31260","29180"
"In post","2021","Animal and Plant Health Agency","40-49","West Midlands (England)","80","80","29780","26520"
"In post","2021","Animal and Plant Health Agency","40-49","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","50-59","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","50-59","East of England","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","50-59","London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","50-59","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","50-59","North West (England)","90","90","29040","24920"
"In post","2021","Animal and Plant Health Agency","50-59","Scotland","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","50-59","South East (England)","190","180","36000","32560"
"In post","2021","Animal and Plant Health Agency","50-59","South West (England)","100","100","30350","25420"
"In post","2021","Animal and Plant Health Agency","50-59","Wales","60","60","28740","25520"
"In post","2021","Animal and Plant Health Agency","50-59","West Midlands (England)","80","80","30440","26520"
"In post","2021","Animal and Plant Health Agency","50-59","Yorkshire and The Humber","70","60","31780","28030"
"In post","2021","Animal and Plant Health Agency","60-64","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","60-64","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","60-64","London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","60-64","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","60-64","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","60-64","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","60-64","South East (England)","60","50","35190","29420"
"In post","2021","Animal and Plant Health Agency","60-64","South West (England)","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","60-64","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","60-64","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","60-64","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","65+","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","65+","London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","65+","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","65+","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","65+","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","65+","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","65+","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","65+","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","65+","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","65+","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","20-29","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","30-39","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","40-49","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","16-19","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","16-19","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","16-19","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","20-29","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","20-29","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","20-29","London","2520","2510","35450","32000"
"In post","2021","Cabinet Office (excl. agencies)","20-29","North East (England)","90","90","25160","23850"
"In post","2021","Cabinet Office (excl. agencies)","20-29","North West (England)","90","90","32230","29250"
"In post","2021","Cabinet Office (excl. agencies)","20-29","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","20-29","South East (England)","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","20-29","South West (England)","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","20-29","Unknown","370","370","31530","29250"
"In post","2021","Cabinet Office (excl. agencies)","20-29","Wales","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","20-29","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","20-29","Yorkshire and The Humber","160","160","27400","26670"
"In post","2021","Cabinet Office (excl. agencies)","30-39","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","30-39","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","30-39","London","1780","1750","52530","54700"
"In post","2021","Cabinet Office (excl. agencies)","30-39","North East (England)","130","120","28170","25060"
"In post","2021","Cabinet Office (excl. agencies)","30-39","North West (England)","90","90","43700","37300"
"In post","2021","Cabinet Office (excl. agencies)","30-39","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","30-39","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","30-39","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","30-39","South West (England)","40","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","30-39","Unknown","140","130","41090","33250"
"In post","2021","Cabinet Office (excl. agencies)","30-39","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","30-39","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","30-39","Yorkshire and The Humber","120","120","36160","33170"
"In post","2021","Cabinet Office (excl. agencies)","40-49","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","40-49","East of England","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","40-49","London","1200","1170","63420","59160"
"In post","2021","Cabinet Office (excl. agencies)","40-49","North East (England)","90","90","31880","25550"
"In post","2021","Cabinet Office (excl. agencies)","40-49","North West (England)","120","120","56380","51310"
"In post","2021","Cabinet Office (excl. agencies)","40-49","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","40-49","South East (England)","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","40-49","South West (England)","50","50","64670","62010"
"In post","2021","Cabinet Office (excl. agencies)","40-49","Unknown","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","40-49","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","40-49","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","40-49","Yorkshire and The Humber","190","180","41600","38650"
"In post","2021","Cabinet Office (excl. agencies)","50-59","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","50-59","East of England","40","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","50-59","London","830","820","64900","58110"
