"Status","Year","Responsibility_level","Disability","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Declared disabled","Aberdeen City and Aberdeenshire","40","40","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Angus and Dundee City","180","160","21140","21010"
"In post","2021","AA/AO","Declared disabled","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Barnet","30","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Barnsley, Doncaster and Rotherham","180","160","22010","21010"
"In post","2021","AA/AO","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","70","60","22740","21010"
"In post","2021","AA/AO","Declared disabled","Bedford","30","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Belfast","90","80","20810","21400"
"In post","2021","AA/AO","Declared disabled","Berkshire","100","90","27240","25110"
"In post","2021","AA/AO","Declared disabled","Bexley and Greenwich","70","60","26750","24440"
"In post","2021","AA/AO","Declared disabled","Birmingham","400","350","20950","20230"
"In post","2021","AA/AO","Declared disabled","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Blackpool","300","260","20840","21010"
"In post","2021","AA/AO","Declared disabled","Bournemouth and Poole","30","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Bradford","160","120","20540","21010"
"In post","2021","AA/AO","Declared disabled","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Brent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Bridgend and Neath Port Talbot","40","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Bristol, City of","180","170","21170","21010"
"In post","2021","AA/AO","Declared disabled","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Buckinghamshire CC","70","60","24790","23130"
"In post","2021","AA/AO","Declared disabled","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Calderdale and Kirklees","40","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Cambridgeshire CC","100","90","25090","23240"
"In post","2021","AA/AO","Declared disabled","Camden and City of London","100","90","23160","23500"
"In post","2021","AA/AO","Declared disabled","Cardiff and Vale of Glamorgan","340","300","21170","21010"
"In post","2021","AA/AO","Declared disabled","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Central Hampshire","80","80","22450","20920"
"In post","2021","AA/AO","Declared disabled","Central Valleys","50","50","21130","21010"
"In post","2021","AA/AO","Declared disabled","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Chorley and West Lancashire","60","60","25760","25400"
"In post","2021","AA/AO","Declared disabled","City of Edinburgh","240","230","22410","22230"
"In post","2021","AA/AO","Declared disabled","Clackmannanshire and Fife","40","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Cornwall and Isles of Scilly","90","80","20810","21010"
"In post","2021","AA/AO","Declared disabled","Coventry","30","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Croydon","180","160","24600","25630"
"In post","2021","AA/AO","Declared disabled","Darlington","[c]","[c]","[c]","[c]"
