"Status","Year","Organisation","Age","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","16-19","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","20-29","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","20-29","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","30-39","Southern Scotland","30","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","30-39","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","40-49","Southern Scotland","40","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","50-59","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","60-64","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","65+","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","16-19","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","16-19","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","16-19","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","Derbyshire and Nottinghamshire","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","Northumberland and Tyne and Wear","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","Greater Manchester","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","Inner London - West","60","50","46630","43750"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","Northumberland and Tyne and Wear","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","East Wales","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","Greater Manchester","50","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","Inner London - West","70","70","44420","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","Northumberland and Tyne and Wear","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","16-19","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","16-19","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","16-19","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","16-19","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","16-19","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","16-19","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","Cumbria","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","Devon","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
