"Status","Year","Region_ITL1","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Declared disabled","Attorney General's Departments","60","50","35350","28430"
"In post","2021","East Midlands (England)","Declared disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Department for Education","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Department for Transport","100","90","31010","26780"
"In post","2021","East Midlands (England)","Declared disabled","Department for Work and Pensions","910","790","26380","27570"
"In post","2021","East Midlands (England)","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","HM Land Registry","70","60","30630","27130"
"In post","2021","East Midlands (England)","Declared disabled","HM Revenue and Customs","340","310","31850","31810"
"In post","2021","East Midlands (England)","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Ministry of Defence","180","170","27550","25190"
"In post","2021","East Midlands (England)","Declared disabled","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Ministry of Justice","920","850","27480","24000"
"In post","2021","East Midlands (England)","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared non-disabled","Attorney General's Departments","280","250","40700","38760"
"In post","2021","East Midlands (England)","Declared non-disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared non-disabled","Department for Business, Energy and Industrial Strategy","90","80","35560","36060"
"In post","2021","East Midlands (England)","Declared non-disabled","Department for Education","220","210","42620","37270"
"In post","2021","East Midlands (England)","Declared non-disabled","Department for Environment, Food and Rural Affairs","190","180","32310","29180"
"In post","2021","East Midlands (England)","Declared non-disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared non-disabled","Department for Transport","400","380","34760","29730"
"In post","2021","East Midlands (England)","Declared non-disabled","Department for Work and Pensions","3580","3170","27530","27570"
"In post","2021","East Midlands (England)","Declared non-disabled","Department of Health and Social Care","120","110","42660","36330"
"In post","2021","East Midlands (England)","Declared non-disabled","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Declared non-disabled","HM Land Registry","540","480","32810","27130"
"In post","2021","East Midlands (England)","Declared non-disabled","HM Revenue and Customs","2190","2040","34290","31810"
"In post","2021","East Midlands (England)","Declared non-disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared non-disabled","Home Office","190","180","28080","25390"
"In post","2021","East Midlands (England)","Declared non-disabled","Ministry of Defence","1250","1210","28510","25190"
"In post","2021","East Midlands (England)","Declared non-disabled","Ministry of Housing, Communities and Local Government","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Declared non-disabled","Ministry of Justice","4920","4570","27460","24730"
"In post","2021","East Midlands (England)","Declared non-disabled","National Crime Agency","60","60","40260","40210"
"In post","2021","East Midlands (England)","Declared non-disabled","Office for Standards in Education","140","140","45990","39850"
"In post","2021","East Midlands (England)","Declared non-disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Department for Transport","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Department for Work and Pensions","250","240","27190","27570"
