"Status","Year","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","100","90","29690","30950"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","80","80","32650","29180"
"In post","2021","East Midlands (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Prosecution Service","440","410","38240","34480"
"In post","2021","East Midlands (England)","Defence Equipment and Support","220","220","35980","34880"
"In post","2021","East Midlands (England)","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","220","210","41850","37100"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","80","80","39680","36590"
"In post","2021","East Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","4490","3970","25910","27570"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","550","520","32180","27680"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","60","60","42010","37100"
"In post","2021","East Midlands (England)","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","400","360","42350","39390"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","1370","1210","22280","19830"
"In post","2021","East Midlands (England)","HM Land Registry","870","790","30980","27130"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","5020","4720","28970","26850"
