"Status","Year","Region_ITL3","Region_ITL2","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Operational Delivery","630","590","37220","29040"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Other","60","60","27150","25870"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Policy","80","80","51630","52940"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Security","90","90","40950","44070"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Unknown","900","840","33490","29190"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Eastern Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Eastern Scotland","Legal","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Eastern Scotland","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Eastern Scotland","Operational Delivery","350","320","23650","21440"
"In post","2021","Angus and Dundee City","Eastern Scotland","Other","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Eastern Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Eastern Scotland","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Eastern Scotland","Tax","80","70","26440","21440"
"In post","2021","Angus and Dundee City","Eastern Scotland","Unknown","1390","1290","26390","22230"
