"Status","Year","Ethnicity","Responsibility_level","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","AA/AO","East Midlands (England)","730","630","20730","20640"
"In post","2021","Asian","AA/AO","East of England","380","310","22470","21430"
"In post","2021","Asian","AA/AO","London","2430","2160","24750","25110"
"In post","2021","Asian","AA/AO","North East (England)","190","160","20800","21010"
"In post","2021","Asian","AA/AO","North West (England)","1030","900","20740","20920"
"In post","2021","Asian","AA/AO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Scotland","190","170","21390","21010"
"In post","2021","Asian","AA/AO","South East (England)","470","420","23080","21800"
"In post","2021","Asian","AA/AO","South West (England)","120","110","21260","21010"
"In post","2021","Asian","AA/AO","Unknown","60","50","23580","25110"
"In post","2021","Asian","AA/AO","Wales","170","150","20780","20640"
"In post","2021","Asian","AA/AO","West Midlands (England)","1450","1300","20720","20180"
"In post","2021","Asian","AA/AO","Yorkshire and The Humber","790","690","20870","21010"
"In post","2021","Asian","EO","East Midlands (England)","520","480","26700","27570"
"In post","2021","Asian","EO","East of England","440","400","28050","27570"
"In post","2021","Asian","EO","London","4560","4250","29820","30070"
"In post","2021","Asian","EO","North East (England)","90","90","26460","25710"
"In post","2021","Asian","EO","North West (England)","840","790","26600","27570"
"In post","2021","Asian","EO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Scotland","130","130","26990","27570"
"In post","2021","Asian","EO","South East (England)","530","490","28520","28350"
"In post","2021","Asian","EO","South West (England)","180","170","25650","26670"
"In post","2021","Asian","EO","Unknown","70","70","29010","27570"
"In post","2021","Asian","EO","Wales","120","110","26570","26240"
"In post","2021","Asian","EO","West Midlands (England)","1470","1380","26490","27570"
"In post","2021","Asian","EO","Yorkshire and The Humber","840","780","26480","27570"
"In post","2021","Asian","G6/G7","East Midlands (England)","80","70","55200","52580"
"In post","2021","Asian","G6/G7","East of England","50","50","62850","59730"
"In post","2021","Asian","G6/G7","London","2090","2030","59420","57740"
"In post","2021","Asian","G6/G7","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","North West (England)","140","130","55330","52580"
"In post","2021","Asian","G6/G7","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Overseas","40","40","[c]","[c]"
"In post","2021","Asian","G6/G7","Scotland","50","50","[c]","[c]"
"In post","2021","Asian","G6/G7","South East (England)","80","70","58550","57230"
"In post","2021","Asian","G6/G7","South West (England)","90","80","56750","54540"
"In post","2021","Asian","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Wales","40","40","[c]","[c]"
"In post","2021","Asian","G6/G7","West Midlands (England)","210","200","54320","52580"
"In post","2021","Asian","G6/G7","Yorkshire and The Humber","120","120","54330","52580"
"In post","2021","Asian","SCS","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","London","220","210","91820","83720"
"In post","2021","Asian","SCS","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","East Midlands (England)","310","290","34130","31830"
"In post","2021","Asian","SEO/HEO","East of England","210","200","37650","37000"
"In post","2021","Asian","SEO/HEO","London","4140","4030","38150","36800"
"In post","2021","Asian","SEO/HEO","North East (England)","80","80","35130","33730"
"In post","2021","Asian","SEO/HEO","North West (England)","490","470","34370","31990"
"In post","2021","Asian","SEO/HEO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Overseas","50","50","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Scotland","140","130","41330","38160"
"In post","2021","Asian","SEO/HEO","South East (England)","260","250","36970","36330"
"In post","2021","Asian","SEO/HEO","South West (England)","340","320","35700","34530"
"In post","2021","Asian","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Wales","90","90","36080","34750"
"In post","2021","Asian","SEO/HEO","West Midlands (England)","790","770","34750","32300"
