"Status","Year","Responsibility_level","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Asian","Attorney General's Departments","170","160","22800","23520"
"In post","2021","AA/AO","Asian","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Department for Business, Energy and Industrial Strategy","90","80","21900","20880"
"In post","2021","AA/AO","Asian","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Department for Environment, Food and Rural Affairs","60","60","22270","21050"
"In post","2021","AA/AO","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Department for Transport","80","70","23220","21590"
"In post","2021","AA/AO","Asian","Department for Work and Pensions","2240","1880","21770","21010"
"In post","2021","AA/AO","Asian","Department of Health and Social Care","140","130","22010","22100"
"In post","2021","AA/AO","Asian","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Foreign, Commonwealth and Development Office","50","50","26980","28000"
"In post","2021","AA/AO","Asian","HM Land Registry","80","70","22900","22350"
"In post","2021","AA/AO","Asian","HM Revenue and Customs","1410","1230","21130","20140"
"In post","2021","AA/AO","Asian","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Home Office","1220","1070","23400","22210"
"In post","2021","AA/AO","Asian","Ministry of Defence","340","320","22840","21130"
"In post","2021","AA/AO","Asian","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Ministry of Justice","1870","1710","22480","20650"
"In post","2021","AA/AO","Asian","National Crime Agency","40","40","[c]","[c]"
"In post","2021","AA/AO","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Scottish Government","50","40","[c]","[c]"
