"Status","Year","Sexual_orientation","Region_ITL1","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","East Midlands (England)","Asian","1320","1210","27270","25560"
"In post","2021","Heterosexual / straight","East Midlands (England)","Black","420","400","26960","25560"
"In post","2021","Heterosexual / straight","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Mixed","250","230","30290","27570"
"In post","2021","Heterosexual / straight","East Midlands (England)","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Undeclared","130","120","27210","27250"
"In post","2021","Heterosexual / straight","East Midlands (England)","Unknown","180","170","29520","27130"
"In post","2021","Heterosexual / straight","East Midlands (England)","White","11780","10940","30380","27570"
"In post","2021","Heterosexual / straight","East of England","Asian","940","850","30070","27570"
"In post","2021","Heterosexual / straight","East of England","Black","500","480","30510","29290"
"In post","2021","Heterosexual / straight","East of England","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","Mixed","340","320","30250","28200"
"In post","2021","Heterosexual / straight","East of England","Other ethnicity","90","80","33740","29070"
"In post","2021","Heterosexual / straight","East of England","Undeclared","140","120","29170","27570"
"In post","2021","Heterosexual / straight","East of England","Unknown","180","170","30420","28400"
"In post","2021","Heterosexual / straight","East of England","White","13420","12510","30900","28130"
"In post","2021","Heterosexual / straight","London","Asian","11160","10620","37240","32090"
"In post","2021","Heterosexual / straight","London","Black","8200","7960","34640","31060"
"In post","2021","Heterosexual / straight","London","Chinese","440","430","43180","39290"
"In post","2021","Heterosexual / straight","London","Mixed","2650","2570","40690","35520"
"In post","2021","Heterosexual / straight","London","Other ethnicity","910","870","40550","35010"
"In post","2021","Heterosexual / straight","London","Undeclared","880","840","38830","33620"
"In post","2021","Heterosexual / straight","London","Unknown","750","720","43590","36240"
"In post","2021","Heterosexual / straight","London","White","41320","39730","47320","42000"
"In post","2021","Heterosexual / straight","North East (England)","Asian","310","290","28060","25560"
"In post","2021","Heterosexual / straight","North East (England)","Black","120","110","27390","25560"
"In post","2021","Heterosexual / straight","North East (England)","Chinese","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Mixed","170","160","28290","25790"
"In post","2021","Heterosexual / straight","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Undeclared","110","100","27310","25560"
"In post","2021","Heterosexual / straight","North East (England)","Unknown","240","210","27470","24920"
"In post","2021","Heterosexual / straight","North East (England)","White","18610","16810","28850","26380"
"In post","2021","Heterosexual / straight","North West (England)","Asian","2080","1940","28020","25560"
"In post","2021","Heterosexual / straight","North West (England)","Black","600","570","28840","27570"
"In post","2021","Heterosexual / straight","North West (England)","Chinese","110","100","29420","25310"
"In post","2021","Heterosexual / straight","North West (England)","Mixed","580","540","29690","26550"
"In post","2021","Heterosexual / straight","North West (England)","Other ethnicity","110","110","31590","27570"
"In post","2021","Heterosexual / straight","North West (England)","Undeclared","250","230","28760","26720"
"In post","2021","Heterosexual / straight","North West (England)","Unknown","400","370","29950","27570"
"In post","2021","Heterosexual / straight","North West (England)","White","34840","32220","30120","27570"
"In post","2021","Heterosexual / straight","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","White","2570","2420","28580","25560"
"In post","2021","Heterosexual / straight","Overseas","Asian","130","130","45910","41090"
"In post","2021","Heterosexual / straight","Overseas","Black","60","60","42250","37500"
"In post","2021","Heterosexual / straight","Overseas","Chinese","[c]","[c]","[c]","[c]"
