"Status","Year","Region_ITL2","Organisation","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Animal and Plant Health Agency","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office (excl. agencies)","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Crown Prosecution Service","Hertfordshire","170","150","42490","40000"
"In post","2021","Bedfordshire and Hertfordshire","Defence Equipment and Support","Central Bedfordshire","60","60","36290","35210"
"In post","2021","Bedfordshire and Hertfordshire","Defence Equipment and Support","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education (excl. agencies)","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions (excl. agencies)","Bedford","170","150","27950","27570"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions (excl. agencies)","Central Bedfordshire","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions (excl. agencies)","Hertfordshire","730","670","29560","29290"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions (excl. agencies)","Luton","180","170","26760","27570"
"In post","2021","Bedfordshire and Hertfordshire","Driver and Vehicle Standards Agency","Bedford","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Driver and Vehicle Standards Agency","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Driver and Vehicle Standards Agency","Hertfordshire","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Driver and Vehicle Standards Agency","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Food Standards Agency","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Food Standards Agency","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Health and Safety Executive","Bedford","60","60","43690","45100"
"In post","2021","Bedfordshire and Hertfordshire","HM Courts and Tribunals Service","Bedford","30","30","[c]","[c]"
