"Status","Year","Age","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","16-19","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","50","40","20770","20900"
"In post","2021","16-19","Department for Work and Pensions","200","200","22650","21010"
"In post","2021","16-19","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","240","230","20670","20140"
"In post","2021","16-19","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","80","70","22340","21430"
"In post","2021","16-19","Ministry of Defence","250","250","18760","17780"
"In post","2021","16-19","Ministry of Justice","150","150","21800","20600"
"In post","2021","16-19","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","100","100","21190","21150"
"In post","2021","16-19","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","1320","1300","30180","26970"
"In post","2021","20-29","Cabinet Office","3400","3390","33960","29250"
"In post","2021","20-29","Chancellor's other departments","80","80","35780","34030"
"In post","2021","20-29","Charity Commission","50","50","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","150","150","38650","33610"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","2910","2900","36090","33570"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","680","670","41060","34840"
"In post","2021","20-29","Department for Education","1610","1600","35480","32940"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","1940","1920","30590","29180"
"In post","2021","20-29","Department for International Trade","950","950","37340","33000"
"In post","2021","20-29","Department for Transport","2230","2180","30280","27680"
"In post","2021","20-29","Department for Work and Pensions","10540","10350","26690","27570"
"In post","2021","20-29","Department of Health and Social Care","2690","2610","32710","31390"
"In post","2021","20-29","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","110","110","32770","32350"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","1480","1480","34620","33930"
"In post","2021","20-29","HM Land Registry","1110","1090","25370","22350"
"In post","2021","20-29","HM Revenue and Customs","10330","10100","26860","25560"
"In post","2021","20-29","HM Treasury","1050","1040","38510","32960"
"In post","2021","20-29","Home Office","5280","5150","28310","24890"
"In post","2021","20-29","Ministry of Defence","7590","7540","28520","27540"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government","720","720","36300","33210"
"In post","2021","20-29","Ministry of Justice","14040","13850","25830","24620"
"In post","2021","20-29","National Crime Agency","940","940","31970","32260"
"In post","2021","20-29","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Office for Standards in Education","160","150","28760","25880"
"In post","2021","20-29","Office of Gas and Electricity Markets","350","340","31040","29160"
"In post","2021","20-29","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other Cabinet Office Agencies","170","170","30100","27770"
"In post","2021","20-29","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scottish Government","3470","3410","27520","26160"
"In post","2021","20-29","The National Archives","80","70","26800","23960"
"In post","2021","20-29","UK Export Finance","70","70","35960","33000"
"In post","2021","20-29","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","20-29","United Kingdom Statistics Authority","1220","1190","29860","29540"
"In post","2021","20-29","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Welsh Government","560","550","26990","23830"
"In post","2021","30-39","Attorney General's Departments","2170","2050","44940","50020"
"In post","2021","30-39","Cabinet Office","2370","2320","49080","54700"
"In post","2021","30-39","Chancellor's other departments","100","100","57930","52390"
"In post","2021","30-39","Charity Commission","110","100","34770","29160"
"In post","2021","30-39","Competition and Markets Authority","300","290","59800","56630"
