"Status","Year","Organisation","Ethnicity","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","White","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","White","EO","40","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","White","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","White","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","White","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","EO","150","150","24530","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","SEO/HEO","120","110","34280","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","AA/AO","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","EO","170","160","25270","24330"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","G6/G7","50","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","SEO/HEO","410","370","36100","34500"
"In post","2021","Animal and Plant Health Agency","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","AA/AO","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","EO","50","50","[c]","[c]"
