"Status","Year","Region_ITL3","Sexual_orientation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Blackburn with Darwen","Undeclared","Lancashire","30","30","[c]","[c]"
"In post","2021","Blackburn with Darwen","Unknown","Lancashire","110","100","25590","27570"
"In post","2021","Blackpool","Heterosexual / straight","Lancashire","3280","3010","29170","27570"
"In post","2021","Blackpool","LGBO","Lancashire","190","180","26770","27570"
"In post","2021","Blackpool","Undeclared","Lancashire","370","340","29340","27570"
"In post","2021","Blackpool","Unknown","Lancashire","1300","1170","29000","27570"
"In post","2021","Bournemouth and Poole","Heterosexual / straight","Dorset and Somerset","500","460","26670","27370"
"In post","2021","Bournemouth and Poole","LGBO","Dorset and Somerset","30","30","[c]","[c]"
"In post","2021","Bournemouth and Poole","Undeclared","Dorset and Somerset","80","70","26370","26780"
"In post","2021","Bournemouth and Poole","Unknown","Dorset and Somerset","100","80","28040","27570"
"In post","2021","Bradford","Heterosexual / straight","West Yorkshire","1800","1610","28300","26120"
"In post","2021","Bradford","LGBO","West Yorkshire","90","80","26610","25560"
"In post","2021","Bradford","Undeclared","West Yorkshire","250","210","26540","25560"
"In post","2021","Bradford","Unknown","West Yorkshire","970","850","25360","21440"
"In post","2021","Breckland and South Norfolk","Heterosexual / straight","East Anglia","380","360","28770","26830"
"In post","2021","Breckland and South Norfolk","LGBO","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Undeclared","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Unknown","East Anglia","90","90","27950","26580"
"In post","2021","Brent","Heterosexual / straight","Outer London - West and North West","370","350","31350","31060"
"In post","2021","Brent","LGBO","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Undeclared","Outer London - West and North West","80","70","32520","31060"
"In post","2021","Brent","Unknown","Outer London - West and North West","140","130","31210","30330"
"In post","2021","Bridgend and Neath Port Talbot","Heterosexual / straight","West Wales and The Valleys","530","480","27480","27570"
"In post","2021","Bridgend and Neath Port Talbot","LGBO","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Undeclared","West Wales and The Valleys","40","30","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Unknown","West Wales and The Valleys","130","110","25800","27570"
"In post","2021","Brighton and Hove","Heterosexual / straight","Surrey, East and West Sussex","400","360","31340","27570"
"In post","2021","Brighton and Hove","LGBO","Surrey, East and West Sussex","90","90","29420","27570"
"In post","2021","Brighton and Hove","Undeclared","Surrey, East and West Sussex","70","60","27470","26120"
"In post","2021","Brighton and Hove","Unknown","Surrey, East and West Sussex","100","90","30740","27570"
