"Status","Year","Sexual_orientation","Organisation","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","20-29","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","30-39","100","100","31980","30950"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","40-49","160","150","35480","34500"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","50-59","230","210","36060","34500"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","60-64","60","50","37210","34500"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","20-29","310","310","25180","24920"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","30-39","370","350","29420","28240"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","40-49","480","450","31770","29180"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","50-59","530","500","32360","28900"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","60-64","140","130","32920","28660"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","65+","40","40","[c]","[c]"
