"Status","Year","Responsibility_level","Sex","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","AA/AO","Male","Undeclared","2430","2300","23750","21680"
"In post","2022","AA/AO","Male","Unknown","10720","10360","23390","21640"
"In post","2022","AA/AO","Male","White","40050","38230","23880","21680"
"In post","2022","EO","Female","Asian","6110","5530","28450","27570"
"In post","2022","EO","Female","Black","3820","3610","29280","29290"
"In post","2022","EO","Female","Mixed","1440","1340","28170","27570"
"In post","2022","EO","Female","Other ethnicity","430","400","28780","28310"
"In post","2022","EO","Female","Undeclared","2570","2280","28320","27570"
"In post","2022","EO","Female","Unknown","8030","7520","27770","27270"
"In post","2022","EO","Female","White","52480","46920","27540","27570"
"In post","2022","EO","Male","Asian","4710","4610","28210","27570"
"In post","2022","EO","Male","Black","1850","1810","29250","29080"
"In post","2022","EO","Male","Mixed","880","860","28450","27570"
"In post","2022","EO","Male","Other ethnicity","290","290","28490","27570"
"In post","2022","EO","Male","Undeclared","3040","2880","28780","27570"
"In post","2022","EO","Male","Unknown","7910","7690","28260","27230"
"In post","2022","EO","Male","White","37710","36260","28180","27570"
"In post","2022","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Female","Asian","2060","1990","58330","56140"
"In post","2022","G6/G7","Female","Black","930","910","57610","55210"
"In post","2022","G6/G7","Female","Mixed","810","770","58200","56370"
"In post","2022","G6/G7","Female","Other ethnicity","210","200","59220","57460"
"In post","2022","G6/G7","Female","Undeclared","920","880","59030","57150"
"In post","2022","G6/G7","Female","Unknown","4410","4230","59020","56860"
"In post","2022","G6/G7","Female","White","24590","23240","58570","56130"
"In post","2022","G6/G7","Male","Asian","1770","1740","59430","57460"
"In post","2022","G6/G7","Male","Black","550","550","58740","56800"
"In post","2022","G6/G7","Male","Mixed","670","660","58860","57010"
"In post","2022","G6/G7","Male","Other ethnicity","230","220","59870","57310"
"In post","2022","G6/G7","Male","Undeclared","1970","1930","59490","57610"
"In post","2022","G6/G7","Male","Unknown","4690","4630","60070","57510"
"In post","2022","G6/G7","Male","White","25630","25100","59570","57480"
"In post","2022","G6/G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Female","Asian","180","170","91070","83230"
"In post","2022","SCS","Female","Black","60","60","88810","79140"
"In post","2022","SCS","Female","Mixed","80","70","82740","78530"
"In post","2022","SCS","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Female","Undeclared","70","70","86020","80000"
"In post","2022","SCS","Female","Unknown","440","430","92250","83230"
"In post","2022","SCS","Female","White","2560","2440","87550","80000"
"In post","2022","SCS","Male","Asian","150","150","92080","86480"
"In post","2022","SCS","Male","Black","40","40","[c]","[c]"
"In post","2022","SCS","Male","Mixed","70","70","87110","79620"
"In post","2022","SCS","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Male","Undeclared","130","130","88340","80870"
"In post","2022","SCS","Male","Unknown","490","480","99380","93000"
"In post","2022","SCS","Male","White","2890","2840","92310","83800"
"In post","2022","SEO/HEO","Female","Asian","4920","4750","37100","36520"
"In post","2022","SEO/HEO","Female","Black","2780","2730","37500","36980"
"In post","2022","SEO/HEO","Female","Mixed","1490","1440","36760","35880"
"In post","2022","SEO/HEO","Female","Other ethnicity","410","390","37720","37100"
"In post","2022","SEO/HEO","Female","Undeclared","2220","2080","37320","36750"
"In post","2022","SEO/HEO","Female","Unknown","8850","8540","35850","34340"
"In post","2022","SEO/HEO","Female","White","52200","49180","36770","35950"
"In post","2022","SEO/HEO","Male","Asian","4400","4330","37540","36650"
"In post","2022","SEO/HEO","Male","Black","1720","1700","38050","37510"
"In post","2022","SEO/HEO","Male","Mixed","1170","1150","37660","37000"
"In post","2022","SEO/HEO","Male","Other ethnicity","360","360","38550","37560"
"In post","2022","SEO/HEO","Male","Undeclared","4030","3900","38210","37610"
"In post","2022","SEO/HEO","Male","Unknown","9280","9120","36540","35290"
"In post","2022","SEO/HEO","Male","White","47700","46600","37810","37100"
"In post","2022","SEO/HEO","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Asian","570","530","29190","27980"
"In post","2022","Unknown","Female","Black","840","800","31520","28690"
"In post","2022","Unknown","Female","Mixed","420","390","30650","28690"
"In post","2022","Unknown","Female","Other ethnicity","70","70","30930","28690"
"In post","2022","Unknown","Female","Undeclared","290","260","31630","31420"
"In post","2022","Unknown","Female","Unknown","2810","2540","28340","26310"
"In post","2022","Unknown","Female","White","10440","9640","30500","28200"
"In post","2022","Unknown","Male","Asian","270","260","31540","28200"
"In post","2022","Unknown","Male","Black","360","350","31810","28690"
"In post","2022","Unknown","Male","Mixed","140","140","31430","28200"
"In post","2022","Unknown","Male","Other ethnicity","40","30","[c]","[c]"
"In post","2022","Unknown","Male","Undeclared","310","300","36860","35930"
"In post","2022","Unknown","Male","Unknown","2770","2670","34570","32550"
"In post","2022","Unknown","Male","White","4130","3990","34770","31950"
"Leaver CS","2021","AA/AO","Female","Asian","320","270","21690","21010"
"Leaver CS","2021","AA/AO","Female","Black","150","140","22630","22680"
"Leaver CS","2021","AA/AO","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Mixed","100","90","21310","21010"
"Leaver CS","2021","AA/AO","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Undeclared","270","210","20620","20180"
"Leaver CS","2021","AA/AO","Female","Unknown","1490","1310","20960","21010"
"Leaver CS","2021","AA/AO","Female","White","4260","3420","20820","21010"
"Leaver CS","2021","AA/AO","Male","Asian","210","200","21700","21010"
"Leaver CS","2021","AA/AO","Male","Black","110","110","22680","22220"
"Leaver CS","2021","AA/AO","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Mixed","70","70","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Undeclared","220","200","21740","20180"
"Leaver CS","2021","AA/AO","Male","Unknown","1370","1300","21430","21010"
"Leaver CS","2021","AA/AO","Male","White","3260","2970","21680","21010"
"Leaver CS","2021","AA/AO","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Asian","170","140","27770","27570"
"Leaver CS","2021","EO","Female","Black","80","70","28270","28050"
"Leaver CS","2021","EO","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Mixed","50","50","[c]","[c]"
"Leaver CS","2021","EO","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Undeclared","150","120","27590","27150"
"Leaver CS","2021","EO","Female","Unknown","720","630","27020","27570"
"Leaver CS","2021","EO","Female","White","2160","1750","27020","27570"
"Leaver CS","2021","EO","Male","Asian","150","140","27800","27570"
"Leaver CS","2021","EO","Male","Black","50","50","[c]","[c]"
"Leaver CS","2021","EO","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Mixed","40","40","[c]","[c]"
"Leaver CS","2021","EO","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Undeclared","170","150","28730","27570"
"Leaver CS","2021","EO","Male","Unknown","660","600","27340","27570"
