"Status","Year","Organisation","Region_ITL2","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","AA/AO","30","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","EO","40","40","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","EO","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","EO","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","SEO/HEO","50","50","34220","32260"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","EO","60","60","24600","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","SEO/HEO","70","70","34230","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","EO","[c]","[c]","[c]","[c]"
