"Status","Year","Function_of_post","Region_ITL3","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence (excl. agencies)","60","50","40630","38530"
"In post","2021","Analysis","Bedford","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bradford","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Office for Standards in Education, Children's Services and Skills","90","90","39150","32010"
"In post","2021","Analysis","Bristol, City of","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","Government Actuary's Department","170","150","69370","65470"
"In post","2021","Analysis","Camden and City of London","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","Defence Science and Technology Laboratory","340","320","40980","37940"
"In post","2021","Analysis","Central Hampshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Valleys","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire East","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","HM Revenue and Customs (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Analysis","Croydon","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Darlington","Department for Education (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Analysis","Devon CC","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon CC","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset CC","Centre for Environment, Fisheries and Aquaculture Science","120","110","33040","29270"
"In post","2021","Analysis","Durham CC","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Derbyshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Kent","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Merseyside","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Merseyside","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Riding of Yorkshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester North East","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester North West","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
