"Status","Year","Sexual_orientation","Region_ITL2","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","20-29","500","490","28650","29060"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","30-39","660","630","32420","29620"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","40-49","730","690","34340","30000"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","50-59","960","910","34070","30110"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","60-64","270","230","30450","28200"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","65+","80","60","29280","27710"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","20-29","970","970","27850","27570"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","30-39","1290","1240","32400","30400"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","40-49","1470","1400","34760","31460"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","50-59","2030","1950","34680","31800"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","60-64","600","540","32400","28670"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","65+","240","200","31300","26670"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","20-29","440","430","27440","27570"
"In post","2021","Heterosexual / straight","Cheshire","30-39","590","560","31620","30640"
"In post","2021","Heterosexual / straight","Cheshire","40-49","610","580","34040","31650"
"In post","2021","Heterosexual / straight","Cheshire","50-59","840","790","33230","28840"
"In post","2021","Heterosexual / straight","Cheshire","60-64","180","150","29780","27570"
"In post","2021","Heterosexual / straight","Cheshire","65+","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","20-29","90","90","23640","21010"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","30-39","150","140","26490","26670"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","40-49","250","230","27440","27570"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","50-59","470","440","27260","26670"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","60-64","130","110","26050","26550"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","65+","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","20-29","110","110","24470","23540"
"In post","2021","Heterosexual / straight","Cumbria","30-39","220","200","28350","25240"
"In post","2021","Heterosexual / straight","Cumbria","40-49","380","340","29310","26670"
"In post","2021","Heterosexual / straight","Cumbria","50-59","450","420","29760","26810"
"In post","2021","Heterosexual / straight","Cumbria","60-64","110","90","27300","25190"
"In post","2021","Heterosexual / straight","Cumbria","65+","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","20-29","1110","1090","26410","25560"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","30-39","1620","1520","30430","27570"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","40-49","1900","1760","33380","30130"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","50-59","2510","2350","33880","28130"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","60-64","580","470","29940","27570"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","65+","140","110","31270","27570"
"In post","2021","Heterosexual / straight","Devon","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","20-29","510","500","25290","24440"
"In post","2021","Heterosexual / straight","Devon","30-39","880","810","28540","27150"
"In post","2021","Heterosexual / straight","Devon","40-49","1170","1080","31470","27570"
"In post","2021","Heterosexual / straight","Devon","50-59","1670","1550","30930","27570"
"In post","2021","Heterosexual / straight","Devon","60-64","500","420","27690","25150"
"In post","2021","Heterosexual / straight","Devon","65+","140","100","26680","22080"
"In post","2021","Heterosexual / straight","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","20-29","360","360","25530","25830"
"In post","2021","Heterosexual / straight","Dorset and Somerset","30-39","590","560","28950","27570"
"In post","2021","Heterosexual / straight","Dorset and Somerset","40-49","790","750","31140","27570"
"In post","2021","Heterosexual / straight","Dorset and Somerset","50-59","1290","1220","30710","27570"
"In post","2021","Heterosexual / straight","Dorset and Somerset","60-64","410","350","28100","27520"
"In post","2021","Heterosexual / straight","Dorset and Somerset","65+","150","120","27750","27130"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Anglia","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Anglia","20-29","1000","980","25760","25560"
"In post","2021","Heterosexual / straight","East Anglia","30-39","1630","1520","29560","27570"
"In post","2021","Heterosexual / straight","East Anglia","40-49","2050","1910","31560","27570"
"In post","2021","Heterosexual / straight","East Anglia","50-59","2870","2740","31500","27570"
"In post","2021","Heterosexual / straight","East Anglia","60-64","820","710","29230","26930"
"In post","2021","Heterosexual / straight","East Anglia","65+","260","200","28370","24730"
"In post","2021","Heterosexual / straight","East Wales","16-19","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","East Wales","20-29","2010","1980","26750","25560"
"In post","2021","Heterosexual / straight","East Wales","30-39","3240","3070","32640","29540"
"In post","2021","Heterosexual / straight","East Wales","40-49","3250","3060","37000","31810"
"In post","2021","Heterosexual / straight","East Wales","50-59","3490","3300","35250","29670"
"In post","2021","Heterosexual / straight","East Wales","60-64","930","750","33290","27570"
"In post","2021","Heterosexual / straight","East Wales","65+","290","210","32390","27570"
"In post","2021","Heterosexual / straight","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","20-29","430","420","24220","24440"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","30-39","590","530","27400","26590"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","40-49","690","640","28770","27570"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","50-59","1150","1050","29020","27570"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","60-64","320","260","28970","27570"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","65+","60","50","26710","26930"
"In post","2021","Heterosexual / straight","Eastern Scotland","16-19","50","50","21400","21150"
"In post","2021","Heterosexual / straight","Eastern Scotland","20-29","1440","1410","27850","26570"
"In post","2021","Heterosexual / straight","Eastern Scotland","30-39","2540","2420","35450","31810"
"In post","2021","Heterosexual / straight","Eastern Scotland","40-49","2800","2650","39370","33650"
"In post","2021","Heterosexual / straight","Eastern Scotland","50-59","3190","3030","37540","32690"
"In post","2021","Heterosexual / straight","Eastern Scotland","60-64","770","640","33080","27570"
"In post","2021","Heterosexual / straight","Eastern Scotland","65+","200","160","32850","27570"
"In post","2021","Heterosexual / straight","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Essex","16-19","[c]","[c]","[c]","[c]"
