"Status","Year","Age","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","No function","290","270","21130","20140"
"In post","2021","16-19","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Unknown","220","220","22300","21150"
"In post","2021","16-19","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Male","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Male","No function","210","200","20980","20140"
"In post","2021","16-19","Male","Project Delivery","110","110","17920","16780"
"In post","2021","16-19","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Male","Unknown","180","180","21660","21010"
"In post","2021","16-19","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Female","Analysis","1150","1140","35850","33610"
"In post","2021","20-29","Female","Commercial","480","480","33530","31000"
"In post","2021","20-29","Female","Communications","1110","1100","30410","27270"
"In post","2021","20-29","Female","Counter Fraud","520","510","29640","25560"
"In post","2021","20-29","Female","Debt","500","480","21090","20140"
"In post","2021","20-29","Female","Digital, Data & Technology","780","770","33770","31810"
"In post","2021","20-29","Female","Finance","660","640","31970","30040"
"In post","2021","20-29","Female","Grants Management","140","140","22470","21050"
"In post","2021","20-29","Female","Human Resources","990","980","30720","28490"
"In post","2021","20-29","Female","Internal Audit","30","30","[c]","[c]"
"In post","2021","20-29","Female","Legal","1250","1230","29820","26970"
"In post","2021","20-29","Female","No function","20270","19850","28510","26740"
"In post","2021","20-29","Female","Project Delivery","1910","1880","31830","30630"
"In post","2021","20-29","Female","Property","460","440","26700","25140"
"In post","2021","20-29","Female","Security","400","400","27930","26190"
"In post","2021","20-29","Female","Unknown","11360","11060","27740","27570"
"In post","2021","20-29","Male","Analysis","1310","1300","36200","34000"
"In post","2021","20-29","Male","Commercial","440","440","32590","30750"
"In post","2021","20-29","Male","Communications","960","960","29700","25560"
"In post","2021","20-29","Male","Counter Fraud","590","590","29670","26980"
"In post","2021","20-29","Male","Debt","570","560","21370","20140"
"In post","2021","20-29","Male","Digital, Data & Technology","1280","1270","33210","31810"
"In post","2021","20-29","Male","Finance","660","650","32300","30420"
"In post","2021","20-29","Male","Grants Management","110","100","22290","21050"
"In post","2021","20-29","Male","Human Resources","430","430","30320","27830"
"In post","2021","20-29","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Male","Legal","600","600","31380","27350"
"In post","2021","20-29","Male","No function","15750","15620","29220","27150"
"In post","2021","20-29","Male","Project Delivery","2300","2290","30310","29000"
"In post","2021","20-29","Male","Property","490","480","27770","26530"
"In post","2021","20-29","Male","Security","840","840","26770","25680"
"In post","2021","20-29","Male","Unknown","9070","8990","27710","27570"
"In post","2021","20-29","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Female","Analysis","900","840","44900","41810"
"In post","2021","30-39","Female","Commercial","810","760","41450","38170"
"In post","2021","30-39","Female","Communications","1280","1210","36880","31810"
"In post","2021","30-39","Female","Counter Fraud","890","840","32170","30810"
"In post","2021","30-39","Female","Debt","480","420","22290","20140"
"In post","2021","30-39","Female","Digital, Data & Technology","1330","1270","40960","38630"
"In post","2021","30-39","Female","Finance","1060","980","39270","36330"
"In post","2021","30-39","Female","Grants Management","220","190","24410","21050"
"In post","2021","30-39","Female","Human Resources","1550","1440","36340","32140"
"In post","2021","30-39","Female","Internal Audit","80","80","40990","39200"
"In post","2021","30-39","Female","Legal","2250","2080","43610","48080"
"In post","2021","30-39","Female","No function","22460","20490","32850","30110"
"In post","2021","30-39","Female","Project Delivery","3110","2930","40330","38240"
"In post","2021","30-39","Female","Property","700","640","33080","31460"
"In post","2021","30-39","Female","Security","440","420","33570","33200"
"In post","2021","30-39","Female","Unknown","17940","16020","30730","27570"
"In post","2021","30-39","Male","Analysis","1140","1120","45910","43580"
"In post","2021","30-39","Male","Commercial","720","720","44890","40650"
"In post","2021","30-39","Male","Communications","1170","1160","34030","31810"
"In post","2021","30-39","Male","Counter Fraud","1170","1160","33170","31810"
"In post","2021","30-39","Male","Debt","370","370","21740","20140"
"In post","2021","30-39","Male","Digital, Data & Technology","2130","2120","41560","38630"
"In post","2021","30-39","Male","Finance","850","840","42450","38630"
"In post","2021","30-39","Male","Grants Management","140","140","24090","21050"
"In post","2021","30-39","Male","Human Resources","660","660","36270","32050"
"In post","2021","30-39","Male","Internal Audit","60","60","44750","41350"
"In post","2021","30-39","Male","Legal","1130","1120","45350","48830"
"In post","2021","30-39","Male","No function","19570","19360","34050","31220"
"In post","2021","30-39","Male","Project Delivery","3200","3190","41470","39580"
"In post","2021","30-39","Male","Property","830","820","34170","32100"
"In post","2021","30-39","Male","Security","1160","1160","32430","30890"
"In post","2021","30-39","Male","Unknown","13580","13430","32050","27570"
"In post","2021","30-39","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Female","Analysis","700","620","48490","46440"
"In post","2021","40-49","Female","Commercial","1040","990","48050","41870"
"In post","2021","40-49","Female","Communications","970","880","39960","35010"
"In post","2021","40-49","Female","Counter Fraud","1060","970","32730","31810"
"In post","2021","40-49","Female","Debt","490","420","24020","21440"
"In post","2021","40-49","Female","Digital, Data & Technology","1390","1310","43190","39050"
"In post","2021","40-49","Female","Finance","1380","1280","39690","36390"
"In post","2021","40-49","Female","Grants Management","340","280","25750","24920"
"In post","2021","40-49","Female","Human Resources","1740","1610","40350","36800"
"In post","2021","40-49","Female","Internal Audit","100","90","46110","42840"
"In post","2021","40-49","Female","Legal","2730","2390","47020","49930"
"In post","2021","40-49","Female","No function","21840","19600","34270","30110"
"In post","2021","40-49","Female","Project Delivery","3230","3020","43660","39780"
"In post","2021","40-49","Female","Property","950","870","33990","32100"
"In post","2021","40-49","Female","Security","460","440","35110","33300"
"In post","2021","40-49","Female","Unknown","24300","21370","31450","27570"
"In post","2021","40-49","Male","Analysis","730","710","50320","48410"
"In post","2021","40-49","Male","Commercial","830","830","53790","49530"
"In post","2021","40-49","Male","Communications","870","860","37350","31810"
"In post","2021","40-49","Male","Counter Fraud","1210","1200","35260","31810"
"In post","2021","40-49","Male","Debt","360","350","23700","21420"
"In post","2021","40-49","Male","Digital, Data & Technology","2450","2440","45590","41900"
"In post","2021","40-49","Male","Finance","1090","1080","45900","41460"
"In post","2021","40-49","Male","Grants Management","250","250","26270","24920"
"In post","2021","40-49","Male","Human Resources","700","700","41640","37780"
"In post","2021","40-49","Male","Internal Audit","80","80","50000","49150"
"In post","2021","40-49","Male","Legal","1280","1260","49420","51250"
"In post","2021","40-49","Male","No function","17800","17520","36900","31840"
"In post","2021","40-49","Male","Project Delivery","3510","3490","46310","42130"
"In post","2021","40-49","Male","Property","1090","1080","36770","33300"
"In post","2021","40-49","Male","Security","1300","1300","33520","33390"
"In post","2021","40-49","Male","Unknown","16040","15780","33840","27570"
"In post","2021","40-49","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Female","Analysis","400","370","44910","39850"
"In post","2021","50-59","Female","Commercial","980","950","44710","39800"
"In post","2021","50-59","Female","Communications","740","690","35840","31810"
"In post","2021","50-59","Female","Counter Fraud","1590","1470","33560","31810"
"In post","2021","50-59","Female","Debt","780","660","24570","21440"
"In post","2021","50-59","Female","Digital, Data & Technology","1210","1150","41440","38630"
"In post","2021","50-59","Female","Finance","1690","1560","36580","32540"
"In post","2021","50-59","Female","Grants Management","280","250","26730","25100"
"In post","2021","50-59","Female","Human Resources","1940","1830","39280","34370"
"In post","2021","50-59","Female","Internal Audit","160","150","46640","42900"
"In post","2021","50-59","Female","Legal","2770","2500","44170","40000"
"In post","2021","50-59","Female","No function","25450","23000","31860","27130"
"In post","2021","50-59","Female","Project Delivery","3580","3420","41940","38630"
"In post","2021","50-59","Female","Property","1340","1260","34040","31060"
"In post","2021","50-59","Female","Security","630","600","32130","29230"
"In post","2021","50-59","Female","Unknown","32960","29490","29690","27570"
"In post","2021","50-59","Male","Analysis","570","560","50180","46970"
"In post","2021","50-59","Male","Commercial","1160","1150","55230","49700"
"In post","2021","50-59","Male","Communications","690","680","35970","31200"
"In post","2021","50-59","Male","Counter Fraud","1610","1580","37630","33770"
"In post","2021","50-59","Male","Debt","480","460","25450","21440"
"In post","2021","50-59","Male","Digital, Data & Technology","2130","2090","44520","40580"
"In post","2021","50-59","Male","Finance","1130","1110","44810","40580"
"In post","2021","50-59","Male","Grants Management","210","210","28970","26520"
"In post","2021","50-59","Male","Human Resources","860","850","41660","37690"
"In post","2021","50-59","Male","Internal Audit","160","160","50790","48370"
"In post","2021","50-59","Male","Legal","1570","1530","50310","52580"
"In post","2021","50-59","Male","No function","23330","22530","36610","32520"
"In post","2021","50-59","Male","Project Delivery","4900","4840","45740","41920"
"In post","2021","50-59","Male","Property","1990","1970","38670","34980"
"In post","2021","50-59","Male","Security","2510","2490","32910","33300"
"In post","2021","50-59","Male","Unknown","21240","20570","33200","27570"
"In post","2021","60-64","Female","Analysis","60","50","36040","32770"
"In post","2021","60-64","Female","Commercial","180","160","40540","35370"
"In post","2021","60-64","Female","Communications","150","120","33320","28130"
"In post","2021","60-64","Female","Counter Fraud","370","280","31410","28130"
"In post","2021","60-64","Female","Debt","290","210","24160","21440"
"In post","2021","60-64","Female","Digital, Data & Technology","230","190","37310","33300"
"In post","2021","60-64","Female","Finance","380","310","32260","27350"
"In post","2021","60-64","Female","Grants Management","100","80","23590","21050"
"In post","2021","60-64","Female","Human Resources","370","310","34300","30500"
"In post","2021","60-64","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Female","Legal","560","460","40990","31810"
"In post","2021","60-64","Female","No function","7050","5560","28170","23240"
"In post","2021","60-64","Female","Project Delivery","640","550","36840","33300"
"In post","2021","60-64","Female","Property","320","280","29480","26500"
"In post","2021","60-64","Female","Security","100","90","29190","26510"
"In post","2021","60-64","Female","Unknown","9050","7040","27490","27570"
"In post","2021","60-64","Male","Analysis","130","110","48300","45250"
"In post","2021","60-64","Male","Commercial","220","200","48560","42960"
"In post","2021","60-64","Male","Communications","160","150","32120","28130"
"In post","2021","60-64","Male","Counter Fraud","410","320","37630","35000"
"In post","2021","60-64","Male","Debt","160","130","25160","21440"
"In post","2021","60-64","Male","Digital, Data & Technology","450","400","42820","39470"
"In post","2021","60-64","Male","Finance","270","250","42900","39920"
"In post","2021","60-64","Male","Grants Management","70","60","27550","25190"
"In post","2021","60-64","Male","Human Resources","180","160","39110","33300"
"In post","2021","60-64","Male","Internal Audit","40","30","[c]","[c]"
"In post","2021","60-64","Male","Legal","390","330","48160","49420"
"In post","2021","60-64","Male","No function","6510","5370","34060","30870"
"In post","2021","60-64","Male","Project Delivery","1340","1210","43160","40580"
"In post","2021","60-64","Male","Property","730","670","36410","33300"
"In post","2021","60-64","Male","Security","690","630","28200","20920"
"In post","2021","60-64","Male","Unknown","6110","5320","31160","27570"
"In post","2021","60-64","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","65+","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","65+","Female","Commercial","40","30","[c]","[c]"
"In post","2021","65+","Female","Communications","40","30","[c]","[c]"
"In post","2021","65+","Female","Counter Fraud","80","50","28980","28130"
"In post","2021","65+","Female","Debt","80","60","24700","24390"
"In post","2021","65+","Female","Digital, Data & Technology","50","50","35420","32600"
"In post","2021","65+","Female","Finance","100","80","27400","25560"
"In post","2021","65+","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","65+","Female","Human Resources","80","60","32400","28130"
"In post","2021","65+","Female","Internal Audit","[c]","[c]","[c]","[c]"
