"Status","Year","Responsibility_level","Region_ITL2","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","East of England","1260","1180","24420","22910"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","3580","3420","25570","23270"
"In post","2021","AA/AO","Cheshire","North West (England)","1210","1110","23160","21010"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","South West (England)","710","640","20860","21010"
"In post","2021","AA/AO","Cumbria","North West (England)","930","820","21950","21050"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","East Midlands (England)","3790","3440","22100","21010"
"In post","2021","AA/AO","Devon","South West (England)","3090","2760","22350","21010"
"In post","2021","AA/AO","Dorset and Somerset","South West (England)","1720","1600","22430","21010"
"In post","2021","AA/AO","East Anglia","East of England","4960","4550","23370","21430"
"In post","2021","AA/AO","East Wales","Wales","5730","5180","21420","21010"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","2130","1920","23920","21950"
"In post","2021","AA/AO","Eastern Scotland","Scotland","6250","5780","22020","21010"
"In post","2021","AA/AO","Essex","East of England","1610","1460","23720","21780"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","3870","3590","22140","21010"
"In post","2021","AA/AO","Greater Manchester","North West (England)","5710","5160","21290","21010"
"In post","2021","AA/AO","Hampshire and Isle of Wight","South East (England)","4670","4000","22100","20920"
"In post","2021","AA/AO","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","1820","1700","23150","21050"
"In post","2021","AA/AO","Highlands and Islands","Scotland","840","780","22340","21130"
"In post","2021","AA/AO","Inner London - East","London","2720","2510","25920","25110"
"In post","2021","AA/AO","Inner London - West","London","4490","4270","25560","24490"
"In post","2021","AA/AO","Kent","South East (England)","2980","2800","25050","24180"
"In post","2021","AA/AO","Lancashire","North West (England)","6100","5420","21870","21010"
"In post","2021","AA/AO","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","2910","2610","21930","21010"
"In post","2021","AA/AO","Lincolnshire","East Midlands (England)","1290","1210","22240","21010"
"In post","2021","AA/AO","Merseyside","North West (England)","7170","6280","21110","21020"
"In post","2021","AA/AO","North Eastern Scotland","Scotland","550","500","25300","22230"
"In post","2021","AA/AO","North Yorkshire","Yorkshire and The Humber","1380","1300","22450","20920"
"In post","2021","AA/AO","Northern Ireland","Northern Ireland","1690","1560","20770","20310"
"In post","2021","AA/AO","Northumberland and Tyne and Wear","North East (England)","9000","7580","20710","21010"
"In post","2021","AA/AO","Outer London - East and North East","London","1420","1320","26600","25110"
"In post","2021","AA/AO","Outer London - South","London","2010","1830","24210","25110"
"In post","2021","AA/AO","Outer London - West and North West","London","2060","1890","25600","25110"
"In post","2021","AA/AO","Overseas","Overseas","50","50","22460","23000"
"In post","2021","AA/AO","Shropshire and Staffordshire","West Midlands (England)","3250","2990","22660","21130"
"In post","2021","AA/AO","South Yorkshire","Yorkshire and The Humber","3090","2730","22010","21430"
"In post","2021","AA/AO","Southern Scotland","Scotland","2230","1930","21410","20850"
"In post","2021","AA/AO","Surrey, East and West Sussex","South East (England)","2930","2670","24380","21710"
"In post","2021","AA/AO","Tees Valley and Durham","North East (England)","4680","4150","22940","21430"
"In post","2021","AA/AO","Unknown","Unknown","240","220","22240","21010"
"In post","2021","AA/AO","West Central Scotland","Scotland","6990","6260","22140","21010"
"In post","2021","AA/AO","West Midlands","West Midlands (England)","5280","4680","20910","20650"
"In post","2021","AA/AO","West Wales and The Valleys","Wales","7190","6230","21090","21590"
"In post","2021","AA/AO","West Yorkshire","Yorkshire and The Humber","5070","4540","22010","21010"
"In post","2021","EO","Bedfordshire and Hertfordshire","East of England","1610","1480","29030","29290"
"In post","2021","EO","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","2410","2290","29280","27900"
"In post","2021","EO","Cheshire","North West (England)","1430","1370","29550","27570"
"In post","2021","EO","Cornwall and Isles of Scilly","South West (England)","620","570","27220","27570"
"In post","2021","EO","Cumbria","North West (England)","580","520","26150","26330"
"In post","2021","EO","Derbyshire and Nottinghamshire","East Midlands (England)","3550","3260","26740","27380"
"In post","2021","EO","Devon","South West (England)","2350","2140","27020","27570"
"In post","2021","EO","Dorset and Somerset","South West (England)","1620","1470","27360","27570"
"In post","2021","EO","East Anglia","East of England","3290","3040","27520","27570"
"In post","2021","EO","East Wales","Wales","5510","5140","26710","27170"
"In post","2021","EO","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","1660","1530","27750","27570"
"In post","2021","EO","Eastern Scotland","Scotland","5190","4850","28820","27570"
"In post","2021","EO","Essex","East of England","2280","2080","28700","29290"
"In post","2021","EO","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","5990","5590","25950","26670"
"In post","2021","EO","Greater Manchester","North West (England)","5800","5450","26560","27280"
"In post","2021","EO","Hampshire and Isle of Wight","South East (England)","3740","3510","26990","26700"
"In post","2021","EO","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","1090","1020","27130","27570"
"In post","2021","EO","Highlands and Islands","Scotland","680","640","28850","27570"
"In post","2021","EO","Inner London - East","London","4470","4250","30800","31060"
"In post","2021","EO","Inner London - West","London","7880","7650","29290","29180"
"In post","2021","EO","Kent","South East (England)","3580","3300","28340","27370"
"In post","2021","EO","Lancashire","North West (England)","4380","3970","27480","27570"
"In post","2021","EO","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","1820","1690","27320","27570"
"In post","2021","EO","Lincolnshire","East Midlands (England)","750","700","27810","27570"
"In post","2021","EO","Merseyside","North West (England)","6190","5640","26260","26160"
"In post","2021","EO","North Eastern Scotland","Scotland","600","560","29290","27570"
"In post","2021","EO","North Yorkshire","Yorkshire and The Humber","1040","980","27370","26750"
"In post","2021","EO","Northern Ireland","Northern Ireland","980","920","26560","25560"
"In post","2021","EO","Northumberland and Tyne and Wear","North East (England)","5540","5040","26510","27370"
"In post","2021","EO","Outer London - East and North East","London","1720","1590","31230","31060"
"In post","2021","EO","Outer London - South","London","3220","3030","29970","29570"
"In post","2021","EO","Outer London - West and North West","London","4020","3680","29930","30410"
"In post","2021","EO","Overseas","Overseas","280","270","28020","27370"
"In post","2021","EO","Shropshire and Staffordshire","West Midlands (England)","2470","2290","27630","27570"
"In post","2021","EO","South Yorkshire","Yorkshire and The Humber","2740","2460","27020","27570"
"In post","2021","EO","Southern Scotland","Scotland","1900","1700","26890","27570"
"In post","2021","EO","Surrey, East and West Sussex","South East (England)","3000","2700","28230","27570"
"In post","2021","EO","Tees Valley and Durham","North East (England)","2370","2140","27520","27570"
"In post","2021","EO","Unknown","Unknown","590","550","28030","27570"
"In post","2021","EO","West Central Scotland","Scotland","5190","4800","27960","27570"
"In post","2021","EO","West Midlands","West Midlands (England)","5800","5310","26790","27570"
"In post","2021","EO","West Wales and The Valleys","Wales","3920","3590","27360","27570"
"In post","2021","EO","West Yorkshire","Yorkshire and The Humber","5080","4690","26910","27570"
"In post","2021","G6/G7","Bedfordshire and Hertfordshire","East of England","330","310","60350","59730"
"In post","2021","G6/G7","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","770","720","59950","57260"
"In post","2021","G6/G7","Cheshire","North West (England)","210","200","57000","55740"
"In post","2021","G6/G7","Cornwall and Isles of Scilly","South West (England)","50","40","58500","54990"
"In post","2021","G6/G7","Cumbria","North West (England)","80","70","53860","52920"
"In post","2021","G6/G7","Derbyshire and Nottinghamshire","East Midlands (England)","1140","1090","57230","53170"
"In post","2021","G6/G7","Devon","South West (England)","840","790","54950","52460"
"In post","2021","G6/G7","Dorset and Somerset","South West (England)","200","190","59090","55310"
"In post","2021","G6/G7","East Anglia","East of England","730","700","58460","54990"
"In post","2021","G6/G7","East Wales","Wales","2410","2310","57710","57720"
"In post","2021","G6/G7","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","90","80","60970","58040"
"In post","2021","G6/G7","Eastern Scotland","Scotland","2570","2440","61770","61010"
"In post","2021","G6/G7","Essex","East of England","290","280","58860","53360"
"In post","2021","G6/G7","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","5110","4910","56120","54540"
"In post","2021","G6/G7","Greater Manchester","North West (England)","2090","2030","56690","52580"
"In post","2021","G6/G7","Hampshire and Isle of Wight","South East (England)","1860","1790","55930","54540"
"In post","2021","G6/G7","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","100","100","58610","54900"
"In post","2021","G6/G7","Highlands and Islands","Scotland","50","50","62730","61010"
"In post","2021","G6/G7","Inner London - East","London","3760","3620","61740","59160"
"In post","2021","G6/G7","Inner London - West","London","21700","20990","60110","58030"
"In post","2021","G6/G7","Kent","South East (England)","280","270","55730","52580"
"In post","2021","G6/G7","Lancashire","North West (England)","770","730","56590","53330"
"In post","2021","G6/G7","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","200","190","58410","55610"
"In post","2021","G6/G7","Lincolnshire","East Midlands (England)","80","70","59080","55270"
"In post","2021","G6/G7","Merseyside","North West (England)","1420","1370","55710","52600"
"In post","2021","G6/G7","North Eastern Scotland","Scotland","130","130","66530","61010"
"In post","2021","G6/G7","North Yorkshire","Yorkshire and The Humber","690","650","58530","55610"
"In post","2021","G6/G7","Northern Ireland","Northern Ireland","240","230","55880","52580"
"In post","2021","G6/G7","Northumberland and Tyne and Wear","North East (England)","1670","1620","54480","52580"
"In post","2021","G6/G7","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Outer London - South","London","1590","1540","63460","61030"
"In post","2021","G6/G7","Outer London - West and North West","London","560","540","59290","57680"
"In post","2021","G6/G7","Overseas","Overseas","1340","1330","59920","58030"
"In post","2021","G6/G7","Shropshire and Staffordshire","West Midlands (England)","500","480","58140","54310"
"In post","2021","G6/G7","South Yorkshire","Yorkshire and The Humber","1160","1120","55730","52280"
"In post","2021","G6/G7","Southern Scotland","Scotland","490","480","55560","52680"
"In post","2021","G6/G7","Surrey, East and West Sussex","South East (England)","470","450","58680","55850"
"In post","2021","G6/G7","Tees Valley and Durham","North East (England)","360","350","56270","52280"
"In post","2021","G6/G7","Unknown","Unknown","200","190","57540","54700"
"In post","2021","G6/G7","West Central Scotland","Scotland","1410","1370","60450","61010"
