"Status","Year","Age","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Ministry of Defence","110","110","18140","17780"
"In post","2021","16-19","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","200","200","22680","21010"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Department for Transport","40","30","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","16-19","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Ministry of Justice","100","90","22620","22850"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","230","210","20500","20140"
"In post","2021","16-19","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Home Office","80","70","22340","21430"
"In post","2021","16-19","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","50","50","21850","20920"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","16-19","Rural Payments Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
