"Status","Year","Region_ITL1","Sex","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Female","Asian","950","820","26710","25560"
"In post","2021","East Midlands (England)","Female","Black","310","280","26440","25420"
"In post","2021","East Midlands (England)","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Female","Mixed","200","180","29260","27570"
"In post","2021","East Midlands (England)","Female","Other ethnicity","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Female","Undeclared","410","360","29320","27570"
"In post","2021","East Midlands (England)","Female","Unknown","1360","1240","26830","25260"
"In post","2021","East Midlands (England)","Female","White","8740","7820","29210","27380"
"In post","2021","East Midlands (England)","Male","Asian","750","710","27440","25560"
"In post","2021","East Midlands (England)","Male","Black","200","190","28260","27570"
"In post","2021","East Midlands (England)","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Male","Mixed","140","140","31050","27570"
"In post","2021","East Midlands (England)","Male","Other ethnicity","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Male","Undeclared","510","490","30890","27590"
"In post","2021","East Midlands (England)","Male","Unknown","1340","1300","28360","25560"
"In post","2021","East Midlands (England)","Male","White","6370","6140","31560","27570"
"In post","2021","East of England","Female","Asian","660","570","29220","27310"
"In post","2021","East of England","Female","Black","390","370","30030","29290"
"In post","2021","East of England","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Female","Mixed","240","220","29680","27710"
"In post","2021","East of England","Female","Other ethnicity","70","70","32170","29290"
"In post","2021","East of England","Female","Undeclared","420","370","29820","27570"
"In post","2021","East of England","Female","Unknown","1000","920","29020","26300"
"In post","2021","East of England","Female","White","9370","8420","29690","27570"
"In post","2021","East of England","Male","Asian","470","450","31950","28080"
"In post","2021","East of England","Male","Black","210","200","31990","29290"
"In post","2021","East of England","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Male","Mixed","180","170","31950","29290"
"In post","2021","East of England","Male","Other ethnicity","50","50","37060","31320"
"In post","2021","East of England","Male","Undeclared","670","640","32410","29870"
"In post","2021","East of England","Male","Unknown","1080","1050","29460","27570"
"In post","2021","East of England","Male","White","7760","7460","32360","29810"
"In post","2021","London","Female","Asian","8140","7500","36380","31520"
"In post","2021","London","Female","Black","6750","6450","34110","31060"
"In post","2021","London","Female","Chinese","350","340","44200","40070"
"In post","2021","London","Female","Mixed","2050","1960","39720","34760"
"In post","2021","London","Female","Other ethnicity","760","710","40270","34020"
"In post","2021","London","Female","Undeclared","2150","1990","39180","33600"
"In post","2021","London","Female","Unknown","8170","7880","41560","35050"
"In post","2021","London","Female","White","26900","25360","46090","40920"
"In post","2021","London","Male","Asian","5420","5300","38030","32790"
"In post","2021","London","Male","Black","3220","3170","35480","31880"
"In post","2021","London","Male","Chinese","250","240","41840","36360"
"In post","2021","London","Male","Mixed","1360","1340","42530","37270"
"In post","2021","London","Male","Other ethnicity","510","500","43660","36650"
"In post","2021","London","Male","Undeclared","2520","2450","44520","39870"
"In post","2021","London","Male","Unknown","7390","7310","44290","36800"
"In post","2021","London","Male","White","25990","25470","48140","42540"
"In post","2021","London","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Female","Asian","220","190","26550","21440"
"In post","2021","North East (England)","Female","Black","70","70","25800","21430"
"In post","2021","North East (England)","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Female","Mixed","120","100","29100","27540"
"In post","2021","North East (England)","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Female","Undeclared","430","360","27250","25220"
"In post","2021","North East (England)","Female","Unknown","2380","2070","24840","21440"
"In post","2021","North East (England)","Female","White","14790","12680","27600","25560"
"In post","2021","North East (England)","Male","Asian","180","170","29350","25560"
"In post","2021","North East (England)","Male","Black","70","70","29490","25960"
"In post","2021","North East (England)","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Male","Mixed","110","100","29520","27180"
"In post","2021","North East (England)","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Male","Undeclared","610","580","30390","27570"
"In post","2021","North East (England)","Male","Unknown","1970","1900","27620","25560"
"In post","2021","North East (England)","Male","White","9580","9120","29910","27570"
"In post","2021","North West (England)","Female","Asian","1150","990","26920","25040"
"In post","2021","North West (England)","Female","Black","400","370","28310","26120"
"In post","2021","North West (England)","Female","Chinese","80","70","30180","25310"
"In post","2021","North West (England)","Female","Mixed","460","420","28050","25560"
"In post","2021","North West (England)","Female","Other ethnicity","80","70","29570","27470"
"In post","2021","North West (England)","Female","Undeclared","1020","890","28810","27380"
"In post","2021","North West (England)","Female","Unknown","3690","3370","27150","24620"
"In post","2021","North West (England)","Female","White","27250","24230","28900","27130"
"In post","2021","North West (England)","Male","Asian","1420","1380","28280","26000"
"In post","2021","North West (England)","Male","Black","320","310","28870","27570"
"In post","2021","North West (England)","Male","Chinese","70","70","27980","25560"
"In post","2021","North West (England)","Male","Mixed","300","290","31320","27570"
"In post","2021","North West (England)","Male","Other ethnicity","90","90","32890","27570"
"In post","2021","North West (England)","Male","Undeclared","1200","1150","31760","27570"
"In post","2021","North West (England)","Male","Unknown","3570","3480","28790","25560"
"In post","2021","North West (England)","Male","White","18230","17540","31110","27570"
"In post","2021","Northern Ireland","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Undeclared","40","30","[c]","[c]"
"In post","2021","Northern Ireland","Female","Unknown","280","260","25820","21440"
"In post","2021","Northern Ireland","Female","White","1420","1280","28930","25560"
"In post","2021","Northern Ireland","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Undeclared","60","60","29070","25710"
"In post","2021","Northern Ireland","Male","Unknown","360","360","26120","23370"
