"Status","Year","Parent_department","Region_ITL1","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Legal","210","190","51100","51470"
"In post","2021","Attorney General's Departments","East Midlands (England)","Operational Delivery","190","180","25840","23470"
"In post","2021","Attorney General's Departments","East of England","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Legal","240","210","53510","54770"
"In post","2021","Attorney General's Departments","East of England","Operational Delivery","230","210","27200","25820"
"In post","2021","Attorney General's Departments","East of England","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Communications","60","60","43790","39750"
"In post","2021","Attorney General's Departments","London","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Counter Fraud","280","270","45240","40080"
"In post","2021","Attorney General's Departments","London","Digital, Data and Technology","80","80","43070","39800"
"In post","2021","Attorney General's Departments","London","Finance","70","60","42800","32570"
"In post","2021","Attorney General's Departments","London","Human Resources","110","110","42000","35770"
"In post","2021","Attorney General's Departments","London","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Legal","2730","2540","60120","61000"
"In post","2021","Attorney General's Departments","London","Operational Delivery","790","740","29530","27440"
"In post","2021","Attorney General's Departments","London","Other","420","400","32540","27580"
"In post","2021","Attorney General's Departments","London","Policy","80","70","49350","54760"
"In post","2021","Attorney General's Departments","London","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Legal","150","150","51930","54200"
"In post","2021","Attorney General's Departments","North East (England)","Operational Delivery","170","150","25580","23470"
"In post","2021","Attorney General's Departments","North East (England)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Human Resources","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Legal","450","420","53040","54200"
"In post","2021","Attorney General's Departments","North West (England)","Operational Delivery","470","430","26750","25820"
"In post","2021","Attorney General's Departments","North West (England)","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Security","[c]","[c]","[c]","[c]"
