"Status","Year","Function_of_post","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Centre for Environment, Fisheries and Aquaculture Science","350","330","34300","30220"
"In post","2021","Analysis","East of England","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Competition and Markets Authority","130","120","60780","56360"
"In post","2021","Analysis","London","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","290","290","43330","36220"
"In post","2021","Analysis","London","Department for Digital, Culture, Media and Sport","140","140","52490","49720"
"In post","2021","Analysis","London","Department for Education (excl. agencies)","180","170","46830","45540"
"In post","2021","Analysis","London","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Department for International Trade","230","230","42740","38540"
"In post","2021","Analysis","London","Department for Transport (excl. agencies)","380","370","46950","43360"
"In post","2021","Analysis","London","Department of Health and Social Care (excl. agencies)","200","190","53940","53360"
"In post","2021","Analysis","London","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Foreign, Commonwealth and Development Office (excl. agencies)","70","60","57940","58370"
"In post","2021","Analysis","London","Government Actuary's Department","170","150","69370","65470"
"In post","2021","Analysis","London","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","HM Revenue and Customs (excl. agencies)","360","350","47610","41760"
"In post","2021","Analysis","London","HM Treasury (excl. agencies)","120","120","50770","52680"
