"Status","Year","Responsibility_level","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Asian","Female","4600","3810","22130","21400"
"In post","2021","AA/AO","Asian","Male","3410","3230","22370","21010"
"In post","2021","AA/AO","Black","Female","2470","2230","23400","23210"
"In post","2021","AA/AO","Black","Male","1620","1580","25330","24120"
"In post","2021","AA/AO","Chinese","Female","150","130","21600","21010"
"In post","2021","AA/AO","Chinese","Male","120","110","22830","21430"
"In post","2021","AA/AO","Mixed","Female","1110","990","22380","21150"
"In post","2021","AA/AO","Mixed","Male","810","790","24060","22350"
"In post","2021","AA/AO","Other ethnicity","Female","310","270","22590","21580"
"In post","2021","AA/AO","Other ethnicity","Male","260","250","24540","22230"
"In post","2021","AA/AO","Undeclared","Female","2380","1980","21720","21010"
"In post","2021","AA/AO","Undeclared","Male","2640","2510","23340","21430"
"In post","2021","AA/AO","Unknown","Female","12390","10990","21590","21010"
"In post","2021","AA/AO","Unknown","Male","11280","10880","22830","21010"
"In post","2021","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","White","Female","55930","47540","21660","21010"
"In post","2021","AA/AO","White","Male","41190","39300","23530","21430"
"In post","2021","EO","Asian","Female","5630","5070","28380","28120"
"In post","2021","EO","Asian","Male","4180","4090","28080","27570"
"In post","2021","EO","Black","Female","3690","3500","29190","29290"
"In post","2021","EO","Black","Male","1730","1690","29160","29080"
"In post","2021","EO","Chinese","Female","190","170","27760","27570"
"In post","2021","EO","Chinese","Male","120","110","27890","27660"
"In post","2021","EO","Mixed","Female","1380","1280","27970","27570"
"In post","2021","EO","Mixed","Male","830","810","28350","27570"
"In post","2021","EO","Other ethnicity","Female","430","400","28570","28130"
"In post","2021","EO","Other ethnicity","Male","310","300","28310","27570"
"In post","2021","EO","Undeclared","Female","2730","2410","28050","27570"
"In post","2021","EO","Undeclared","Male","3140","2970","28480","27570"
"In post","2021","EO","Unknown","Female","7370","6880","27420","27570"
"In post","2021","EO","Unknown","Male","7370","7190","27780","27500"
"In post","2021","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","White","Female","52050","46340","27300","27570"
"In post","2021","EO","White","Male","37750","36240","27970","27570"
"In post","2021","EO","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Asian","Female","1620","1560","58150","56470"
"In post","2021","G6/G7","Asian","Male","1380","1370","59070","57460"
"In post","2021","G6/G7","Black","Female","790","780","57520","55610"
"In post","2021","G6/G7","Black","Male","480","470","58900","57460"
"In post","2021","G6/G7","Chinese","Female","150","140","58770","57850"
"In post","2021","G6/G7","Chinese","Male","100","100","57660","55490"
"In post","2021","G6/G7","Mixed","Female","680","650","58040","56380"
"In post","2021","G6/G7","Mixed","Male","620","610","58480","56350"
"In post","2021","G6/G7","Other ethnicity","Female","210","200","59390","58030"
"In post","2021","G6/G7","Other ethnicity","Male","230","230","60140","57260"
"In post","2021","G6/G7","Undeclared","Female","930","880","58390","56790"
"In post","2021","G6/G7","Undeclared","Male","1910","1860","58770","57240"
"In post","2021","G6/G7","Unknown","Female","3810","3630","58160","55490"
"In post","2021","G6/G7","Unknown","Male","4130","4060","59230","56970"
"In post","2021","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","White","Female","21990","20740","58350","56350"
"In post","2021","G6/G7","White","Male","23380","22890","59360","57530"
"In post","2021","G6/G7","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Asian","Female","160","150","93150","89740"
