"Status","Year","Function_of_post","Sex","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","30","30","[c]","[c]"
"In post","2021","Analysis","Female","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Bristol, City of","80","70","38750","33520"
"In post","2021","Analysis","Female","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Camden and City of London","80","70","67370","65470"
"In post","2021","Analysis","Female","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Central Hampshire","90","80","38040","37320"
"In post","2021","Analysis","Female","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Dorset CC","50","50","30320","29270"
"In post","2021","Analysis","Female","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Greater Manchester North East","[c]","[c]","[c]","[c]"
