"Status","Year","Sexual_orientation","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","1070","1010","38000","31700"
"In post","2021","Heterosexual / straight","Angus and Dundee City","1200","1110","27130","23340"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","160","150","23590","20310"
"In post","2021","Heterosexual / straight","Ards and North Down","190","180","26280","21080"
"In post","2021","Heterosexual / straight","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","400","370","30520","31060"
"In post","2021","Heterosexual / straight","Barnet","1130","1070","37760","32330"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","2040","1820","27350","27150"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","10300","9900","37860","34500"
"In post","2021","Heterosexual / straight","Bedford","570","540","30600","28500"
"In post","2021","Heterosexual / straight","Belfast","1800","1680","30090","26550"
"In post","2021","Heterosexual / straight","Berkshire","1960","1880","34500","31040"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","1140","1100","32020","31060"
"In post","2021","Heterosexual / straight","Birmingham","7350","6870","31690","27570"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","350","310","27080","27570"
"In post","2021","Heterosexual / straight","Blackpool","3280","3010","29170","27570"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","500","460","26670","27370"
"In post","2021","Heterosexual / straight","Bradford","1800","1610","28300","26120"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","380","360","28770","26830"
"In post","2021","Heterosexual / straight","Brent","370","350","31350","31060"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","530","480","27480","27570"
"In post","2021","Heterosexual / straight","Brighton and Hove","400","360","31340","27570"
"In post","2021","Heterosexual / straight","Bristol, City of","4400","4100","36600","31810"
"In post","2021","Heterosexual / straight","Bromley","310","290","29270","31060"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","1240","1190","32220","29440"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","110","110","29690","27570"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","690","610","27310","27570"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","2380","2260","34390","31290"
"In post","2021","Heterosexual / straight","Camden and City of London","2170","2080","38020","32510"
