"Status","Year","Sex","Age","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","16-19","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Eastern Scotland","50","50","21200","21010"
"In post","2021","Female","16-19","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","50","50","19710","19040"
"In post","2021","Female","16-19","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Inner London - West","50","50","25660","24780"
"In post","2021","Female","16-19","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Merseyside","30","30","[c]","[c]"
"In post","2021","Female","16-19","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Northumberland and Tyne and Wear","40","40","[c]","[c]"
"In post","2021","Female","16-19","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","West Central Scotland","30","30","[c]","[c]"
"In post","2021","Female","16-19","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","West Wales and The Valleys","40","40","[c]","[c]"
"In post","2021","Female","16-19","West Yorkshire","30","30","[c]","[c]"
"In post","2021","Female","20-29","Bedfordshire and Hertfordshire","400","390","27570","27570"
"In post","2021","Female","20-29","Berkshire, Buckinghamshire and Oxfordshire","760","750","27130","26970"
"In post","2021","Female","20-29","Cheshire","380","380","27120","27570"
"In post","2021","Female","20-29","Cornwall and Isles of Scilly","70","70","23400","21010"
"In post","2021","Female","20-29","Cumbria","120","120","23020","21050"
"In post","2021","Female","20-29","Derbyshire and Nottinghamshire","990","960","25450","25480"
"In post","2021","Female","20-29","Devon","510","490","25380","24470"
"In post","2021","Female","20-29","Dorset and Somerset","270","270","24780","23840"
"In post","2021","Female","20-29","East Anglia","800","780","25290","24920"
"In post","2021","Female","20-29","East Wales","1820","1780","26480","24920"
"In post","2021","Female","20-29","East Yorkshire and Northern Lincolnshire","300","290","23880","22920"
"In post","2021","Female","20-29","Eastern Scotland","1760","1720","26950","25960"
"In post","2021","Female","20-29","Essex","400","390","26420","25170"
"In post","2021","Female","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","2560","2510","27320","26590"
"In post","2021","Female","20-29","Greater Manchester","1670","1630","26340","25560"
"In post","2021","Female","20-29","Hampshire and Isle of Wight","990","960","27300","26670"
"In post","2021","Female","20-29","Herefordshire, Worcestershire and Warwickshire","290","290","23560","22920"
"In post","2021","Female","20-29","Highlands and Islands","110","110","25010","22920"
"In post","2021","Female","20-29","Inner London - East","1830","1810","32790","31060"
"In post","2021","Female","20-29","Inner London - West","9160","9120","36970","34000"
"In post","2021","Female","20-29","Kent","600","590","26460","25560"
"In post","2021","Female","20-29","Lancashire","830","800","24250","22850"
"In post","2021","Female","20-29","Leicestershire, Rutland and Northamptonshire","460","450","23790","22920"
"In post","2021","Female","20-29","Lincolnshire","160","160","25240","25980"
"In post","2021","Female","20-29","Merseyside","1530","1470","24800","24880"
"In post","2021","Female","20-29","North Eastern Scotland","140","130","26920","26160"
"In post","2021","Female","20-29","North Yorkshire","310","300","25880","25100"
"In post","2021","Female","20-29","Northern Ireland","200","190","23570","20310"
"In post","2021","Female","20-29","Northumberland and Tyne and Wear","1430","1390","25330","25560"
"In post","2021","Female","20-29","Outer London - East and North East","420","410","28980","31060"
"In post","2021","Female","20-29","Outer London - South","740","730","31450","29570"
"In post","2021","Female","20-29","Outer London - West and North West","860","850","29630","29250"
"In post","2021","Female","20-29","Overseas","160","160","37200","34220"
"In post","2021","Female","20-29","Shropshire and Staffordshire","630","610","24500","23970"
"In post","2021","Female","20-29","South Yorkshire","800","780","26680","25000"
"In post","2021","Female","20-29","Southern Scotland","370","360","26160","25560"
"In post","2021","Female","20-29","Surrey, East and West Sussex","640","630","26810","27010"
"In post","2021","Female","20-29","Tees Valley and Durham","700","670","24250","22350"
"In post","2021","Female","20-29","Unknown","350","350","30300","29250"
"In post","2021","Female","20-29","West Central Scotland","1260","1220","25630","24770"
"In post","2021","Female","20-29","West Midlands","1470","1430","25640","24890"
"In post","2021","Female","20-29","West Wales and The Valleys","1050","990","23400","21590"
"In post","2021","Female","20-29","West Yorkshire","1670","1630","26600","25560"
"In post","2021","Female","30-39","Bedfordshire and Hertfordshire","520","480","31850","29290"
"In post","2021","Female","30-39","Berkshire, Buckinghamshire and Oxfordshire","900","830","31620","29290"
"In post","2021","Female","30-39","Cheshire","460","430","30680","29180"
"In post","2021","Female","30-39","Cornwall and Isles of Scilly","150","130","26190","22640"
"In post","2021","Female","30-39","Cumbria","220","180","26240","24920"
"In post","2021","Female","30-39","Derbyshire and Nottinghamshire","1370","1230","29750","27570"
"In post","2021","Female","30-39","Devon","920","800","29670","27570"
"In post","2021","Female","30-39","Dorset and Somerset","420","380","28920","27570"
"In post","2021","Female","30-39","East Anglia","1230","1090","29220","27570"
"In post","2021","Female","30-39","East Wales","2630","2400","31730","28850"
"In post","2021","Female","30-39","East Yorkshire and Northern Lincolnshire","420","360","26980","26300"
"In post","2021","Female","30-39","Eastern Scotland","2500","2310","34030","30650"
"In post","2021","Female","30-39","Essex","500","440","29530","29290"
"In post","2021","Female","30-39","Gloucestershire, Wiltshire and Bath/Bristol area","3350","3030","34240","32770"
"In post","2021","Female","30-39","Greater Manchester","2200","2040","30700","27570"
"In post","2021","Female","30-39","Hampshire and Isle of Wight","1390","1250","31900","29540"
"In post","2021","Female","30-39","Herefordshire, Worcestershire and Warwickshire","380","340","27270","26670"
"In post","2021","Female","30-39","Highlands and Islands","170","160","28460","27570"
"In post","2021","Female","30-39","Inner London - East","2240","2100","41900","37460"
"In post","2021","Female","30-39","Inner London - West","8440","8080","49150","51830"
