"Status","Year","Function_of_post","Sexual_orientation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Heterosexual / straight","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Derbyshire and Nottinghamshire","40","30","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Dorset and Somerset","50","50","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","East Anglia","130","120","33340","30220"
"In post","2021","Analysis","Heterosexual / straight","East Wales","630","600","37500","36030"
"In post","2021","Analysis","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","230","220","39270","37320"
"In post","2021","Analysis","Heterosexual / straight","Greater Manchester","140","140","39020","38630"
"In post","2021","Analysis","Heterosexual / straight","Hampshire and Isle of Wight","580","550","39210","37320"
"In post","2021","Analysis","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Inner London - East","450","440","51160","46940"
"In post","2021","Analysis","Heterosexual / straight","Inner London - West","1810","1760","48820","44870"
"In post","2021","Analysis","Heterosexual / straight","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Merseyside","90","80","41190","38630"
"In post","2021","Analysis","Heterosexual / straight","North Yorkshire","50","50","36820","31550"
"In post","2021","Analysis","Heterosexual / straight","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","South Yorkshire","100","90","44360","42420"
"In post","2021","Analysis","Heterosexual / straight","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","West Yorkshire","100","100","42530","48350"
"In post","2021","Analysis","LGBO","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","East Wales","60","50","36870","37020"
"In post","2021","Analysis","LGBO","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Hampshire and Isle of Wight","50","40","[c]","[c]"
"In post","2021","Analysis","LGBO","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Inner London - East","40","40","[c]","[c]"
"In post","2021","Analysis","LGBO","Inner London - West","180","180","44800","40890"
"In post","2021","Analysis","LGBO","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","East Wales","40","40","[c]","[c]"
"In post","2021","Analysis","Undeclared","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","[c]","[c]"
