"Status","Year","Age","Region_ITL2","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Bedfordshire and Hertfordshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","No function","40","40","[c]","[c]"
"In post","2021","16-19","East Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","Unknown","50","50","[c]","[c]"
"In post","2021","16-19","Essex","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Commercial","[c]","[c]","[c]","[c]"
