"Status","Year","Age","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","AA/AO","50","50","20140","20140"
"In post","2021","16-19","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","AA/AO","30","30","[c]","[c]"
"In post","2021","16-19","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","AA/AO","430","410","20610","20140"
"In post","2021","16-19","No function","EO","60","50","24300","24300"
"In post","2021","16-19","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","EO","100","100","18390","17780"
"In post","2021","16-19","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","AA/AO","310","300","21260","21010"
"In post","2021","16-19","Unknown","EO","60","60","27910","27570"
"In post","2021","16-19","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
