"Status","Year","Region_ITL1","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education (excl. agencies)","Heterosexual / straight","60","50","44850","40940"
"In post","2021","East of England","Department for Education (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","130","120","37930","36350"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","3060","2780","28320","27570"
"In post","2021","East of England","Department for Work and Pensions (excl. agencies)","LGBO","180","170","28050","27570"
"In post","2021","East of England","Department for Work and Pensions (excl. agencies)","Undeclared","350","310","27690","27570"
"In post","2021","East of England","Department for Work and Pensions (excl. agencies)","Unknown","970","830","27690","27570"
"In post","2021","East of England","Driver and Vehicle Standards Agency","Heterosexual / straight","240","230","29050","26780"
"In post","2021","East of England","Driver and Vehicle Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Driver and Vehicle Standards Agency","Undeclared","70","60","28980","28460"
"In post","2021","East of England","Driver and Vehicle Standards Agency","Unknown","60","60","26970","26700"
"In post","2021","East of England","Education and Skills Funding Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Education and Skills Funding Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Government Internal Audit Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Government Internal Audit Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Government Property Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Government Property Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Health and Safety Executive","Heterosexual / straight","80","80","44230","43830"
"In post","2021","East of England","Health and Safety Executive","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Health and Safety Executive","Undeclared","30","30","[c]","[c]"
"In post","2021","East of England","Health and Safety Executive","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Courts and Tribunals Service","Heterosexual / straight","820","710","23420","20100"
"In post","2021","East of England","HM Courts and Tribunals Service","LGBO","30","30","[c]","[c]"
"In post","2021","East of England","HM Courts and Tribunals Service","Undeclared","140","120","25070","20690"
"In post","2021","East of England","HM Courts and Tribunals Service","Unknown","100","90","21820","20010"
"In post","2021","East of England","HM Land Registry","Heterosexual / straight","170","160","32790","29760"
"In post","2021","East of England","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Land Registry","Undeclared","50","50","31390","33840"
"In post","2021","East of England","HM Land Registry","Unknown","60","50","26050","22350"
"In post","2021","East of England","HM Prison and Probation Service","Heterosexual / straight","3840","3650","29910","29060"
"In post","2021","East of England","HM Prison and Probation Service","LGBO","230","230","29700","28400"
"In post","2021","East of England","HM Prison and Probation Service","Undeclared","390","360","30590","31200"
"In post","2021","East of England","HM Prison and Probation Service","Unknown","900","840","28160","27850"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","910","830","32710","31810"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","LGBO","40","40","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Undeclared","200","180","32330","31810"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Unknown","540","480","30730","28130"
"In post","2021","East of England","HM Treasury (excl. agencies)","Heterosexual / straight","50","50","31120","23970"
"In post","2021","East of England","HM Treasury (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Home Office (incl. agencies)","Heterosexual / straight","1550","1390","26550","25220"
"In post","2021","East of England","Home Office (incl. agencies)","LGBO","60","50","26150","24890"
"In post","2021","East of England","Home Office (incl. agencies)","Undeclared","260","230","27040","26580"
"In post","2021","East of England","Home Office (incl. agencies)","Unknown","100","90","23380","21430"
"In post","2021","East of England","Insolvency Service","Heterosexual / straight","70","60","34510","33890"
"In post","2021","East of England","Insolvency Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Insolvency Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Insolvency Service","Unknown","60","60","27270","22220"
"In post","2021","East of England","Legal Aid Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal Aid Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Maritime and Coastguard Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Maritime and Coastguard Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Maritime and Coastguard Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Maritime and Coastguard Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicines and Healthcare Products Regulatory Agency","Heterosexual / straight","190","180","43530","40450"
"In post","2021","East of England","Medicines and Healthcare Products Regulatory Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicines and Healthcare Products Regulatory Agency","Undeclared","40","30","[c]","[c]"
"In post","2021","East of England","Medicines and Healthcare Products Regulatory Agency","Unknown","90","90","44560","41080"
"In post","2021","East of England","Met Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Met Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Met Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Defence (excl. agencies)","Heterosexual / straight","2700","2610","31680","28410"
"In post","2021","East of England","Ministry of Defence (excl. agencies)","LGBO","80","80","30150","26670"
"In post","2021","East of England","Ministry of Defence (excl. agencies)","Undeclared","430","410","32700","33300"
"In post","2021","East of England","Ministry of Defence (excl. agencies)","Unknown","370","360","28910","26670"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","Heterosexual / straight","60","60","39390","36340"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Justice (excl. agencies)","Heterosexual / straight","60","60","39280","37520"
"In post","2021","East of England","Ministry of Justice (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Justice (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","National Crime Agency","Heterosexual / straight","100","90","38270","37590"
"In post","2021","East of England","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","National Crime Agency","Unknown","30","30","[c]","[c]"
"In post","2021","East of England","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","80","80","62190","64500"
"In post","2021","East of England","Office for Standards in Education, Children's Services and Skills","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Office for Standards in Education, Children's Services and Skills","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Public Health England","Heterosexual / straight","280","250","42520","32930"
