"Status","Year","Function_of_post","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Heterosexual / straight","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Chancellor's other departments","140","130","70300","65470"
"In post","2021","Analysis","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Competition and Markets Authority","100","100","59350","56360"
"In post","2021","Analysis","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","220","220","45240","39570"
"In post","2021","Analysis","Heterosexual / straight","Department for Digital, Culture, Media and Sport","110","100","52430","50400"
"In post","2021","Analysis","Heterosexual / straight","Department for Education","290","270","43830","42420"
"In post","2021","Analysis","Heterosexual / straight","Department for Environment, Food and Rural Affairs","250","240","34030","30220"
"In post","2021","Analysis","Heterosexual / straight","Department for International Trade","160","160","44340","39790"
"In post","2021","Analysis","Heterosexual / straight","Department for Transport","330","310","44630","42470"
"In post","2021","Analysis","Heterosexual / straight","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Department of Health and Social Care","130","120","51480","53360"
"In post","2021","Analysis","Heterosexual / straight","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Foreign, Commonwealth and Development Office","50","50","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","HM Revenue and Customs","430","410","46010","41340"
"In post","2021","Analysis","Heterosexual / straight","HM Treasury","100","100","51150","52530"
"In post","2021","Analysis","Heterosexual / straight","Ministry of Defence","490","470","40260","37360"
"In post","2021","Analysis","Heterosexual / straight","Ministry of Housing, Communities and Local Government","170","170","46760","43190"
"In post","2021","Analysis","Heterosexual / straight","Ministry of Justice","280","270","45780","40480"
"In post","2021","Analysis","Heterosexual / straight","Office for Standards in Education","120","110","40450","35010"
"In post","2021","Analysis","Heterosexual / straight","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","United Kingdom Statistics Authority","1060","1020","37980","36030"
"In post","2021","Analysis","Heterosexual / straight","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Department for Transport","40","30","[c]","[c]"
"In post","2021","Analysis","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","HM Revenue and Customs","50","50","42610","36160"
"In post","2021","Analysis","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","United Kingdom Statistics Authority","90","90","35050","30130"
"In post","2021","Analysis","LGBO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Welsh Government","[c]","[c]","[c]","[c]"
