"Status","Year","Function_of_post","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Department for Environment, Food and Rural Affairs","40","30","[c]","[c]"
"In post","2021","Analysis","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Department for Transport","40","40","[c]","[c]"
"In post","2021","Analysis","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","HM Revenue and Customs","50","50","44800","38630"
"In post","2021","Analysis","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Ministry of Defence","70","60","40420","39160"
"In post","2021","Analysis","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Ministry of Justice","50","40","[c]","[c]"
"In post","2021","Analysis","Undeclared","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","United Kingdom Statistics Authority","60","60","35840","32540"
"In post","2021","Analysis","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Department for Business, Energy and Industrial Strategy","50","50","36650","35640"
"In post","2021","Analysis","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Department for Education","70","60","47960","49860"
"In post","2021","Analysis","Unknown","Department for Environment, Food and Rural Affairs","290","270","34330","29750"
"In post","2021","Analysis","Unknown","Department for International Trade","60","60","39670","31800"
"In post","2021","Analysis","Unknown","Department for Transport","80","80","40820","36610"
"In post","2021","Analysis","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Department of Health and Social Care","140","140","52890","53360"
"In post","2021","Analysis","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","HM Revenue and Customs","150","150","39690","36160"
"In post","2021","Analysis","Unknown","HM Treasury","30","30","[c]","[c]"
"In post","2021","Analysis","Unknown","Ministry of Defence","70","70","42180","41250"
"In post","2021","Analysis","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Ministry of Justice","60","60","41800","40480"
"In post","2021","Analysis","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2021","Analysis","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","United Kingdom Statistics Authority","480","460","35740","32040"
"In post","2021","Analysis","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Cabinet Office","300","290","72280","64500"
"In post","2021","Commercial","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Department for Education","170","160","41260","38140"
"In post","2021","Commercial","Heterosexual / straight","Department for Environment, Food and Rural Affairs","150","140","37010","36940"
"In post","2021","Commercial","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Department for Transport","140","130","35040","31860"
"In post","2021","Commercial","Heterosexual / straight","Department for Work and Pensions","40","30","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Department of Health and Social Care","90","90","46330","40650"
"In post","2021","Commercial","Heterosexual / straight","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Foreign, Commonwealth and Development Office","140","140","41900","39190"
"In post","2021","Commercial","Heterosexual / straight","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","HM Revenue and Customs","80","80","37250","35000"
"In post","2021","Commercial","Heterosexual / straight","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Ministry of Defence","1590","1540","36670","34500"
"In post","2021","Commercial","Heterosexual / straight","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Ministry of Justice","830","810","44940","42630"
"In post","2021","Commercial","Heterosexual / straight","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Other Cabinet Office Agencies","250","240","34760","34800"
"In post","2021","Commercial","Heterosexual / straight","Scottish Government","40","40","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","UK Export Finance","160","150","53920","50180"
"In post","2021","Commercial","Heterosexual / straight","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Ministry of Defence","60","60","34970","32850"
"In post","2021","Commercial","LGBO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Ministry of Justice","50","50","[c]","[c]"
"In post","2021","Commercial","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Cabinet Office","30","30","[c]","[c]"
"In post","2021","Commercial","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department for Transport","50","40","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Ministry of Defence","290","280","37790","35220"
"In post","2021","Commercial","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Ministry of Justice","80","80","43790","40710"
"In post","2021","Commercial","Undeclared","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Cabinet Office","1070","1060","70560","64500"
"In post","2021","Commercial","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for Business, Energy and Industrial Strategy","200","190","43040","40140"
"In post","2021","Commercial","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for Environment, Food and Rural Affairs","40","30","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department of Health and Social Care","130","120","48690","40650"
"In post","2021","Commercial","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"In post","2021","Commercial","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","HM Revenue and Customs","50","50","36650","35000"
"In post","2021","Commercial","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Ministry of Defence","140","140","35840","33280"
"In post","2021","Commercial","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Ministry of Justice","90","90","40740","37920"
"In post","2021","Commercial","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Other Cabinet Office Agencies","90","90","31730","30150"
"In post","2021","Commercial","Unknown","Scottish Government","50","50","27820","25870"
"In post","2021","Commercial","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Attorney General's Departments","70","70","43070","39750"
"In post","2021","Communications","Heterosexual / straight","Cabinet Office","190","180","47440","42210"
"In post","2021","Communications","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","130","120","44230","39820"
"In post","2021","Communications","Heterosexual / straight","Department for Digital, Culture, Media and Sport","30","30","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Department for Education","210","200","39950","36960"
"In post","2021","Communications","Heterosexual / straight","Department for Environment, Food and Rural Affairs","240","230","38540","36970"
"In post","2021","Communications","Heterosexual / straight","Department for International Trade","50","50","42980","38540"
"In post","2021","Communications","Heterosexual / straight","Department for Transport","180","170","38020","34710"
"In post","2021","Communications","Heterosexual / straight","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Department of Health and Social Care","160","160","43450","37930"
"In post","2021","Communications","Heterosexual / straight","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Foreign, Commonwealth and Development Office","90","90","47940","42330"
"In post","2021","Communications","Heterosexual / straight","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","HM Revenue and Customs","2210","2120","30060","25560"
"In post","2021","Communications","Heterosexual / straight","HM Treasury","30","30","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Ministry of Defence","650","630","31980","28650"
"In post","2021","Communications","Heterosexual / straight","Ministry of Housing, Communities and Local Government","70","70","40120","34200"
"In post","2021","Communications","Heterosexual / straight","Ministry of Justice","100","100","44260","39500"
"In post","2021","Communications","Heterosexual / straight","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Scottish Government","30","30","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","United Kingdom Statistics Authority","50","40","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","HM Revenue and Customs","170","160","29670","25560"
"In post","2021","Communications","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
