"Status","Year","Ethnicity","Responsibility_level","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","AA/AO","Bedfordshire and Hertfordshire","140","130","23530","22910"
"In post","2021","Asian","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","200","180","23520","22380"
"In post","2021","Asian","AA/AO","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Derbyshire and Nottinghamshire","180","160","21040","21010"
"In post","2021","Asian","AA/AO","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","East Anglia","190","150","21440","21430"
"In post","2021","Asian","AA/AO","East Wales","120","100","20650","20140"
"In post","2021","Asian","AA/AO","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Eastern Scotland","60","60","21420","21010"
"In post","2021","Asian","AA/AO","Essex","40","40","[c]","[c]"
"In post","2021","Asian","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","100","90","21030","20920"
"In post","2021","Asian","AA/AO","Greater Manchester","400","360","20660","20650"
"In post","2021","Asian","AA/AO","Hampshire and Isle of Wight","120","90","21780","21010"
"In post","2021","Asian","AA/AO","Herefordshire, Worcestershire and Warwickshire","90","80","21570","21010"
"In post","2021","Asian","AA/AO","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Inner London - East","470","410","24610","24590"
"In post","2021","Asian","AA/AO","Inner London - West","660","610","24930","24120"
"In post","2021","Asian","AA/AO","Kent","60","50","24350","22470"
"In post","2021","Asian","AA/AO","Lancashire","540","470","20700","20420"
"In post","2021","Asian","AA/AO","Leicestershire, Rutland and Northamptonshire","540","460","20600","20180"
"In post","2021","Asian","AA/AO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Merseyside","60","50","21070","21430"
"In post","2021","Asian","AA/AO","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Northumberland and Tyne and Wear","130","110","20620","20900"
