"Status","Year","Region_ITL2","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Debt","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","SEO/HEO","50","50","41540","39320"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","AA/AO","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","EO","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","G6/G7","80","70","59200","61360"
"In post","2021","Bedfordshire and Hertfordshire","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","No function","AA/AO","760","710","25670","25720"
"In post","2021","Bedfordshire and Hertfordshire","No function","EO","300","290","29440","27660"
"In post","2021","Bedfordshire and Hertfordshire","No function","G6/G7","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","No function","SEO/HEO","240","230","39510","38180"
"In post","2021","Bedfordshire and Hertfordshire","No function","Unknown","290","260","27850","24020"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","EO","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","SEO/HEO","120","120","38800","37720"
"In post","2021","Bedfordshire and Hertfordshire","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","AA/AO","60","60","21490","22650"
"In post","2021","Bedfordshire and Hertfordshire","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","AA/AO","350","320","22700","22430"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","EO","1120","1020","28900","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","G6/G7","140","140","60870","57540"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","SEO/HEO","410","400","37740","37640"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","EO","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","G6/G7","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","SEO/HEO","120","110","38770","38940"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","EO","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Debt","AA/AO","[c]","[c]","[c]","[c]"
