"Status","Year","Function_of_post","Organisation","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","20-29","60","60","25270","24920"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","30-39","150","140","31340","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","40-49","130","120","35610","30860"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","50-59","110","100","38610","37280"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","20-29","30","30","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","30-39","50","50","62570","61530"
"In post","2021","Analysis","Competition and Markets Authority","40-49","[c]","[c]","[c]","[c]"
