"Status","Year","Sexual_orientation","Region_ITL2","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Crown Prosecution Service","130","120","41700","40000"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Defence Equipment and Support","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Department for Work and Pensions (excl. agencies)","750","700","28830","29290"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Driver and Vehicle Standards Agency","80","70","30080","29460"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Health and Safety Executive","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","HM Courts and Tribunals Service","240","210","23550","21300"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","HM Prison and Probation Service","710","680","30470","30210"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Home Office (incl. agencies)","230","200","28770","26410"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Medicines and Healthcare Products Regulatory Agency","190","180","43530","40450"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Ministry of Defence (excl. agencies)","590","570","35970","33300"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Ministry of Housing, Communities and Local Government (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","National Crime Agency","80","80","39140","39700"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office (excl. agencies)","60","60","33370","33300"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Crown Prosecution Service","90","90","42390","38120"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Defence Equipment and Support","100","100","35490","33950"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","130","130","41620","37160"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","90","90","46080","51970"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Department for Work and Pensions (excl. agencies)","790","730","28230","27570"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Driver and Vehicle Standards Agency","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","FCDO Services","610","580","38800","34280"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office (excl. agencies)","230","220","31320","27080"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","HM Courts and Tribunals Service","240","210","24710","22010"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","HM Prison and Probation Service","1480","1420","31030","30400"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs (excl. agencies)","240","230","31730","29570"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Home Office (incl. agencies)","70","70","28610","25630"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence (excl. agencies)","1970","1920","32470","28670"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","National Crime Agency","70","70","39380","37960"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Public Health England","220","200","42120","38200"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Rural Payments Agency","100","100","33210","30040"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Department for Environment, Food and Rural Affairs (excl. agencies)","130","130","43370","47550"
"In post","2021","Heterosexual / straight","Cheshire","Department for Work and Pensions (excl. agencies)","650","590","25550","27570"
"In post","2021","Heterosexual / straight","Cheshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","HM Courts and Tribunals Service","90","80","25010","20100"
"In post","2021","Heterosexual / straight","Cheshire","HM Prison and Probation Service","660","620","29640","26850"
"In post","2021","Heterosexual / straight","Cheshire","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Ministry of Defence (excl. agencies)","50","50","28910","27720"
"In post","2021","Heterosexual / straight","Cheshire","Ministry of Housing, Communities and Local Government (excl. agencies)","50","50","38190","34690"
"In post","2021","Heterosexual / straight","Cheshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","National Crime Agency","930","910","36210","36050"
"In post","2021","Heterosexual / straight","Cheshire","Rural Payments Agency","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Animal and Plant Health Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
