"Status","Year","Profession_of_post","Region_ITL2","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","110","110","38870","39580"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","G6/G7","90","90","52010","48350"
"In post","2021","Commercial","Devon","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","SEO/HEO","100","100","36660","37420"
"In post","2021","Commercial","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","SEO/HEO","160","150","37050","35830"
"In post","2021","Commercial","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","EO","40","30","[c]","[c]"
"In post","2021","Commercial","East Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","SEO/HEO","90","90","35080","34800"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","AA/AO","40","40","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","EO","200","190","24040","23520"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","240","230","57870","54960"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","810","770","36040","35130"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","140","140","38200","35230"
"In post","2021","Commercial","Greater Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","EO","30","30","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","G6/G7","50","40","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","SEO/HEO","130","130","37150","36960"
"In post","2021","Commercial","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","EO","50","50","26490","26670"
"In post","2021","Commercial","Hampshire and Isle of Wight","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","SEO/HEO","140","130","37790","37320"
"In post","2021","Commercial","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Highlands and Islands","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","EO","60","60","28780","29240"
"In post","2021","Commercial","Inner London - West","G6/G7","180","180","63550","61590"
"In post","2021","Commercial","Inner London - West","SCS","50","50","[c]","[c]"
"In post","2021","Commercial","Inner London - West","SEO/HEO","270","260","40750","40650"
"In post","2021","Commercial","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Merseyside","EO","30","30","[c]","[c]"
"In post","2021","Commercial","Merseyside","G6/G7","40","40","[c]","[c]"
"In post","2021","Commercial","Merseyside","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Merseyside","SEO/HEO","160","150","33640","34800"
"In post","2021","Commercial","North Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland and Tyne and Wear","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland and Tyne and Wear","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland and Tyne and Wear","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - East and North East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - East and North East","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - East and North East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - East and North East","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - East and North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - South","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - South","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - South","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - South","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - South","SEO/HEO","90","90","43610","44250"
"In post","2021","Commercial","Outer London - West and North West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - West and North West","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - West and North West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - West and North West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Shropshire and Staffordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Shropshire and Staffordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Shropshire and Staffordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Shropshire and Staffordshire","SEO/HEO","60","60","39250","38630"
"In post","2021","Commercial","South Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South Yorkshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South Yorkshire","SEO/HEO","70","70","36970","36780"
"In post","2021","Commercial","Southern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Southern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Southern Scotland","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Commercial","Surrey, East and West Sussex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Surrey, East and West Sussex","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Surrey, East and West Sussex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Surrey, East and West Sussex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tees Valley and Durham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tees Valley and Durham","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tees Valley and Durham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tees Valley and Durham","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tees Valley and Durham","SEO/HEO","60","50","38170","37100"
"In post","2021","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Central Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Central Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Central Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Central Scotland","SEO/HEO","60","60","37270","36110"
"In post","2021","Commercial","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands","SEO/HEO","80","80","38090","37650"
"In post","2021","Commercial","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Wales and The Valleys","AA/AO","40","30","[c]","[c]"
"In post","2021","Commercial","West Wales and The Valleys","EO","40","30","[c]","[c]"
"In post","2021","Commercial","West Wales and The Valleys","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Wales and The Valleys","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Wales and The Valleys","SEO/HEO","80","80","36740","33350"
"In post","2021","Commercial","West Wales and The Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Yorkshire","G6/G7","50","40","[c]","[c]"
"In post","2021","Commercial","West Yorkshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Yorkshire","SEO/HEO","130","120","34970","35280"
"In post","2021","Commercial","West Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Bedfordshire and Hertfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Bedfordshire and Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Bedfordshire and Hertfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Communications","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cheshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Derbyshire and Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Derbyshire and Nottinghamshire","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Communications","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Devon","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Devon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Dorset and Somerset","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Dorset and Somerset","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Anglia","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Anglia","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Wales","EO","50","40","[c]","[c]"
"In post","2021","Communications","East Wales","G6/G7","40","40","[c]","[c]"
"In post","2021","Communications","East Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Wales","SEO/HEO","150","140","37570","37410"
"In post","2021","Communications","East Yorkshire and Northern Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Yorkshire and Northern Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Essex","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","EO","40","40","[c]","[c]"
"In post","2021","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","30","30","[c]","[c]"
"In post","2021","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","130","120","35410","35900"
"In post","2021","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Greater Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Greater Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Greater Manchester","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Communications","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Hampshire and Isle of Wight","EO","60","60","26620","26670"
"In post","2021","Communications","Hampshire and Isle of Wight","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Hampshire and Isle of Wight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Hampshire and Isle of Wight","SEO/HEO","90","90","35720","35660"
"In post","2021","Communications","Herefordshire, Worcestershire and Warwickshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Herefordshire, Worcestershire and Warwickshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Herefordshire, Worcestershire and Warwickshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Highlands and Islands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Highlands and Islands","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Inner London - East","EO","30","30","[c]","[c]"
"In post","2021","Communications","Inner London - East","G6/G7","60","60","62040","60030"
"In post","2021","Communications","Inner London - East","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Inner London - East","SEO/HEO","110","100","39360","39670"
"In post","2021","Communications","Inner London - West","AA/AO","60","60","24800","24900"
"In post","2021","Communications","Inner London - West","EO","200","200","28470","27850"
"In post","2021","Communications","Inner London - West","G6/G7","580","560","58950","57460"
"In post","2021","Communications","Inner London - West","SCS","90","80","86370","80910"
"In post","2021","Communications","Inner London - West","SEO/HEO","890","880","39640","39600"
"In post","2021","Communications","Kent","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Kent","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Lancashire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Lancashire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Lancashire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Leicestershire, Rutland and Northamptonshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Leicestershire, Rutland and Northamptonshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Leicestershire, Rutland and Northamptonshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Merseyside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Merseyside","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Merseyside","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Communications","North Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northumberland and Tyne and Wear","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northumberland and Tyne and Wear","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northumberland and Tyne and Wear","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northumberland and Tyne and Wear","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northumberland and Tyne and Wear","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Communications","Outer London - East and North East","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Outer London - South","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Outer London - South","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Outer London - South","G6/G7","[c]","[c]","[c]","[c]"
