"Status","Year","Ethnicity","Responsibility_level","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","AA/AO","Female","4600","3810","22130","21400"
"In post","2021","Asian","AA/AO","Male","3410","3230","22370","21010"
"In post","2021","Asian","EO","Female","5630","5070","28380","28120"
"In post","2021","Asian","EO","Male","4180","4090","28080","27570"
"In post","2021","Asian","G6/G7","Female","1620","1560","58150","56470"
"In post","2021","Asian","G6/G7","Male","1380","1370","59070","57460"
"In post","2021","Asian","SCS","Female","160","150","93150","89740"
"In post","2021","Asian","SCS","Male","150","140","92470","89810"
"In post","2021","Asian","SEO/HEO","Female","3900","3740","36670","36160"
"In post","2021","Asian","SEO/HEO","Male","3520","3450","37220","36160"
"In post","2021","Asian","Unknown","Female","420","380","29430","28200"
"In post","2021","Asian","Unknown","Male","200","190","31070","30210"
"In post","2021","Black","AA/AO","Female","2470","2230","23400","23210"
"In post","2021","Black","AA/AO","Male","1620","1580","25330","24120"
"In post","2021","Black","EO","Female","3690","3500","29190","29290"
"In post","2021","Black","EO","Male","1730","1690","29160","29080"
"In post","2021","Black","G6/G7","Female","790","780","57520","55610"
"In post","2021","Black","G6/G7","Male","480","470","58900","57460"
"In post","2021","Black","SCS","Female","50","50","90660","86320"
"In post","2021","Black","SCS","Male","40","40","[c]","[c]"
"In post","2021","Black","SEO/HEO","Female","2440","2390","37090","36160"
"In post","2021","Black","SEO/HEO","Male","1460","1440","37760","36620"
"In post","2021","Black","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Female","600","580","31370","28690"
"In post","2021","Black","Unknown","Male","220","210","30820","28200"
"In post","2021","Chinese","AA/AO","Female","150","130","21600","21010"
"In post","2021","Chinese","AA/AO","Male","120","110","22830","21430"
"In post","2021","Chinese","EO","Female","190","170","27760","27570"
"In post","2021","Chinese","EO","Male","120","110","27890","27660"
"In post","2021","Chinese","G6/G7","Female","150","140","58770","57850"
"In post","2021","Chinese","G6/G7","Male","100","100","57660","55490"
"In post","2021","Chinese","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SEO/HEO","Female","230","220","37750","37410"
"In post","2021","Chinese","SEO/HEO","Male","170","170","37280","36160"
"In post","2021","Chinese","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","AA/AO","Female","1110","990","22380","21150"
"In post","2021","Mixed","AA/AO","Male","810","790","24060","22350"
"In post","2021","Mixed","EO","Female","1380","1280","27970","27570"
"In post","2021","Mixed","EO","Male","830","810","28350","27570"
"In post","2021","Mixed","G6/G7","Female","680","650","58040","56380"
"In post","2021","Mixed","G6/G7","Male","620","610","58480","56350"
"In post","2021","Mixed","SCS","Female","70","70","83150","79590"
"In post","2021","Mixed","SCS","Male","70","70","84890","78420"
"In post","2021","Mixed","SEO/HEO","Female","1300","1250","36420","35700"
"In post","2021","Mixed","SEO/HEO","Male","1010","990","37290","36650"
"In post","2021","Mixed","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Female","290","260","30750","30210"
"In post","2021","Mixed","Unknown","Male","100","100","31670","30210"
"In post","2021","Other ethnicity","AA/AO","Female","310","270","22590","21580"
"In post","2021","Other ethnicity","AA/AO","Male","260","250","24540","22230"
"In post","2021","Other ethnicity","EO","Female","430","400","28570","28130"
"In post","2021","Other ethnicity","EO","Male","310","300","28310","27570"
"In post","2021","Other ethnicity","G6/G7","Female","210","200","59390","58030"
"In post","2021","Other ethnicity","G6/G7","Male","230","230","60140","57260"
