"Status","Year","Profession_of_post","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","Commercial","370","360","34050","34800"
"In post","2021","Commercial","Crown Prosecution Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Commercial","60","60","48790","37530"
"In post","2021","Commercial","Defence Equipment and Support","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Project Delivery","800","760","38640","35080"
"In post","2021","Commercial","Defence Equipment and Support","Property","30","30","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Commercial","70","60","33560","35470"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","Commercial","190","180","39780","38000"
"In post","2021","Commercial","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","140","140","39210","36970"
"In post","2021","Commercial","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","No function","80","80","52290","54110"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","Commercial","200","200","48750","40650"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","Commercial","160","140","32760","31040"
