"Status","Year","Function_of_post","Region_ITL3","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedford","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedford","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bradford","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bradford","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Declared non-disabled","120","110","40280","34880"
"In post","2021","Analysis","Bristol, City of","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","Declared non-disabled","140","130","72580","66000"
"In post","2021","Analysis","Camden and City of London","Unknown","70","70","62060","52740"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","Declared disabled","40","40","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","Declared non-disabled","230","210","40760","37700"
"In post","2021","Analysis","Central Hampshire","Undeclared","50","40","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","Unknown","40","40","[c]","[c]"
"In post","2021","Analysis","Central Valleys","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Valleys","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire East","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire East","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Darlington","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Darlington","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Darlington","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Darlington","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon CC","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon CC","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset CC","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset CC","Declared non-disabled","60","60","32190","29270"
"In post","2021","Analysis","Dorset CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset CC","Unknown","50","40","[c]","[c]"
"In post","2021","Analysis","Durham CC","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Durham CC","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Derbyshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Derbyshire","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Kent","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Kent","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Merseyside","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Merseyside","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Riding of Yorkshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Riding of Yorkshire","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","Declared disabled","[c]","[c]","[c]","[c]"
