"Status","Year","Age","Sexual_orientation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Heterosexual / straight","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Devon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","East Wales","40","40","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Eastern Scotland","50","50","21400","21150"
"In post","2021","16-19","Heterosexual / straight","Essex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","100","100","19110","19040"
"In post","2021","16-19","Heterosexual / straight","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Inner London - West","70","70","25690","25170"
"In post","2021","16-19","Heterosexual / straight","Kent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Lancashire","30","30","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Northumberland and Tyne and Wear","40","40","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","West Wales and The Valleys","30","30","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Devon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Essex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Kent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
