"Status","Year","Responsibility_level","Region_ITL1","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","East Midlands (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","Counter Fraud","40","30","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","Debt","210","190","20360","20140"
"In post","2021","AA/AO","East Midlands (England)","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","Finance","40","30","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","Human Resources","40","40","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","Legal","130","120","21240","21950"
"In post","2021","AA/AO","East Midlands (England)","No function","4990","4580","22760","21440"
"In post","2021","AA/AO","East Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","Property","140","130","19200","18760"
"In post","2021","AA/AO","East Midlands (England)","Security","110","110","25720","21130"
"In post","2021","AA/AO","East Midlands (England)","Unknown","2190","1920","20790","21010"
"In post","2021","AA/AO","East of England","Analysis","30","30","[c]","[c]"
"In post","2021","AA/AO","East of England","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East of England","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East of England","Counter Fraud","130","110","20750","20140"
"In post","2021","AA/AO","East of England","Debt","80","70","21850","21440"
"In post","2021","AA/AO","East of England","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East of England","Finance","110","90","20890","20920"
"In post","2021","AA/AO","East of England","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East of England","Human Resources","30","30","[c]","[c]"
"In post","2021","AA/AO","East of England","Legal","110","100","22440","23520"
"In post","2021","AA/AO","East of England","No function","4160","3870","24910","23240"
"In post","2021","AA/AO","East of England","Project Delivery","30","30","[c]","[c]"
"In post","2021","AA/AO","East of England","Property","120","110","19490","19850"
"In post","2021","AA/AO","East of England","Security","350","350","27310","22650"
"In post","2021","AA/AO","East of England","Unknown","2600","2320","21740","21430"
"In post","2021","AA/AO","London","Analysis","60","60","24430","24120"
"In post","2021","AA/AO","London","Commercial","100","90","24160","24370"
"In post","2021","AA/AO","London","Communications","80","70","24330","24290"
"In post","2021","AA/AO","London","Counter Fraud","140","130","25000","25630"
"In post","2021","AA/AO","London","Debt","390","340","24870","24670"
"In post","2021","AA/AO","London","Digital, Data & Technology","60","60","24460","24310"
"In post","2021","AA/AO","London","Finance","80","80","24060","24040"
"In post","2021","AA/AO","London","Human Resources","90","80","24150","24090"
"In post","2021","AA/AO","London","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Legal","450","420","23460","23520"
"In post","2021","AA/AO","London","No function","6780","6400","26290","24440"
"In post","2021","AA/AO","London","Project Delivery","90","90","24750","25290"
"In post","2021","AA/AO","London","Property","140","130","23830","24960"
"In post","2021","AA/AO","London","Security","310","300","27620","24220"
"In post","2021","AA/AO","London","Unknown","3940","3550","24630","25110"
"In post","2021","AA/AO","North East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North East (England)","Communications","220","180","20830","20660"
"In post","2021","AA/AO","North East (England)","Counter Fraud","40","40","[c]","[c]"
"In post","2021","AA/AO","North East (England)","Debt","490","450","20370","20140"
"In post","2021","AA/AO","North East (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North East (England)","Finance","50","40","20250","20070"
"In post","2021","AA/AO","North East (England)","Grants Management","130","120","21050","21050"
"In post","2021","AA/AO","North East (England)","Human Resources","220","200","20790","20800"
"In post","2021","AA/AO","North East (England)","Legal","100","90","21800","21950"
"In post","2021","AA/AO","North East (England)","No function","7140","6080","22060","21400"
"In post","2021","AA/AO","North East (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North East (England)","Property","240","220","20550","20880"
"In post","2021","AA/AO","North East (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North East (England)","Unknown","4980","4260","20890","21010"
"In post","2021","AA/AO","North West (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North West (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North West (England)","Communications","30","30","[c]","[c]"
"In post","2021","AA/AO","North West (England)","Counter Fraud","140","120","20720","20140"
