"Status","Year","Function_of_post","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Inner London - West","180","170","67420","60780"
"In post","2021","Analysis","Charity Commission","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","130","120","60780","56360"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Inner London - West","290","290","43630","37120"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Inner London - West","140","140","52490","49720"
"In post","2021","Analysis","Department for Education","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Greater Manchester","40","40","[c]","[c]"
"In post","2021","Analysis","Department for Education","Inner London - West","180","170","46760","45540"
"In post","2021","Analysis","Department for Education","South Yorkshire","120","110","44020","42420"
"In post","2021","Analysis","Department for Education","Tees Valley and Durham","30","30","[c]","[c]"
"In post","2021","Analysis","Department for Education","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Dorset and Somerset","120","110","33040","29270"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","East Anglia","350","330","34300","30220"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","North Yorkshire","60","50","33760","30220"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Inner London - West","230","230","42740","38540"
"In post","2021","Analysis","Department for Transport","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Inner London - West","380","370","46950","43360"
"In post","2021","Analysis","Department for Transport","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Inner London - West","200","190","53940","53360"
"In post","2021","Analysis","Department of Health and Social Care","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","West Yorkshire","90","80","47560","49530"
"In post","2021","Analysis","ESTYN","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Inner London - West","70","60","57940","58370"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Greater Manchester","170","160","38600","33690"
"In post","2021","Analysis","HM Revenue and Customs","Inner London - East","140","140","48100","41760"
"In post","2021","Analysis","HM Revenue and Customs","Inner London - West","200","200","47580","41760"
"In post","2021","Analysis","HM Revenue and Customs","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Merseyside","80","70","40000","38630"
"In post","2021","Analysis","HM Revenue and Customs","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Outer London - South","30","30","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Inner London - West","150","150","53930","52840"
"In post","2021","Analysis","HM Treasury","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Gloucestershire, Wiltshire and Bath/Bristol area","170","160","38660","37320"
"In post","2021","Analysis","Ministry of Defence","Hampshire and Isle of Wight","370","360","40650","37530"
"In post","2021","Analysis","Ministry of Defence","Inner London - West","90","80","43990","40640"
"In post","2021","Analysis","Ministry of Defence","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Inner London - West","190","190","46840","46510"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Inner London - East","330","320","46840","41250"
"In post","2021","Analysis","Ministry of Justice","Inner London - West","30","30","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","West Yorkshire","40","40","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","Gloucestershire, Wiltshire and Bath/Bristol area","90","90","39150","32010"
"In post","2021","Analysis","Office for Standards in Education","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","Inner London - West","40","40","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Inner London - East","60","60","54980","52000"
"In post","2021","Analysis","Office of Gas and Electricity Markets","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","East Wales","1020","980","36210","36030"
"In post","2021","Analysis","United Kingdom Statistics Authority","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","Hampshire and Isle of Wight","440","420","37170","36030"
"In post","2021","Analysis","United Kingdom Statistics Authority","Inner London - West","230","220","40680","32540"
"In post","2021","Analysis","Wales Office","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Government","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","East Anglia","70","60","57230","54620"
"In post","2021","Commercial","Cabinet Office","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","80","80","73750","64500"
"In post","2021","Commercial","Cabinet Office","Greater Manchester","90","90","61760","56210"
"In post","2021","Commercial","Cabinet Office","Hampshire and Isle of Wight","50","50","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Inner London - East","110","110","60160","56510"
