"Status","Year","Sex","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Heterosexual / straight","Attorney General's Departments","4490","4120","42960","40800"
"In post","2021","Female","Heterosexual / straight","Cabinet Office","2470","2370","45960","40580"
"In post","2021","Female","Heterosexual / straight","Chancellor's other departments","140","130","53500","46180"
"In post","2021","Female","Heterosexual / straight","Charity Commission","130","120","34350","29160"
"In post","2021","Female","Heterosexual / straight","Competition and Markets Authority","360","350","58160","55860"
"In post","2021","Female","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","3750","3520","40890","38000"
"In post","2021","Female","Heterosexual / straight","Department for Digital, Culture, Media and Sport","700","670","48940","51730"
"In post","2021","Female","Heterosexual / straight","Department for Education","3310","3130","43010","37710"
"In post","2021","Female","Heterosexual / straight","Department for Environment, Food and Rural Affairs","4030","3730","35690","32560"
"In post","2021","Female","Heterosexual / straight","Department for International Trade","740","720","45780","40290"
"In post","2021","Female","Heterosexual / straight","Department for Transport","4540","4060","31670","26700"
"In post","2021","Female","Heterosexual / straight","Department for Work and Pensions","39960","34910","27780","27570"
"In post","2021","Female","Heterosexual / straight","Department of Health and Social Care","4650","4270","42070","37470"
"In post","2021","Female","Heterosexual / straight","ESTYN","60","50","53540","62360"
"In post","2021","Female","Heterosexual / straight","Food Standards Agency","390","370","39120","37910"
"In post","2021","Female","Heterosexual / straight","Foreign, Commonwealth and Development Office","3020","2920","46180","39770"
"In post","2021","Female","Heterosexual / straight","HM Land Registry","2170","1910","31080","27130"
"In post","2021","Female","Heterosexual / straight","HM Revenue and Customs","19790","17560","31790","28130"
"In post","2021","Female","Heterosexual / straight","HM Treasury","980","940","46540","42900"
"In post","2021","Female","Heterosexual / straight","Home Office","14900","13410","31300","27240"
"In post","2021","Female","Heterosexual / straight","Ministry of Defence","17580","16570","31990","28510"
"In post","2021","Female","Heterosexual / straight","Ministry of Housing, Communities and Local Government","1320","1250","44740","40720"
"In post","2021","Female","Heterosexual / straight","Ministry of Justice","31190","28530","28800","25380"
"In post","2021","Female","Heterosexual / straight","National Crime Agency","1840","1760","37210","36200"
"In post","2021","Female","Heterosexual / straight","Northern Ireland Office","50","50","44140","36860"
"In post","2021","Female","Heterosexual / straight","Office for Standards in Education","990","940","49150","51360"
"In post","2021","Female","Heterosexual / straight","Office of Gas and Electricity Markets","220","220","42830","38000"
"In post","2021","Female","Heterosexual / straight","Office of Qualifications and Examinations Regulation","100","100","41930","38510"
"In post","2021","Female","Heterosexual / straight","Office of Rail and Road","80","70","49590","50810"
"In post","2021","Female","Heterosexual / straight","Other Cabinet Office Agencies","380","360","38870","35290"
"In post","2021","Female","Heterosexual / straight","Scotland Office","30","30","[c]","[c]"
"In post","2021","Female","Heterosexual / straight","Scottish Government","6430","6010","38600","33650"
"In post","2021","Female","Heterosexual / straight","The National Archives","130","120","35060","33170"
"In post","2021","Female","Heterosexual / straight","UK Export Finance","130","120","47970","43000"
"In post","2021","Female","Heterosexual / straight","UK Supreme Court","30","30","[c]","[c]"
"In post","2021","Female","Heterosexual / straight","United Kingdom Statistics Authority","2050","1800","31950","29540"
"In post","2021","Female","Heterosexual / straight","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Heterosexual / straight","Water Services Regulation Authority","60","50","57100","51460"
"In post","2021","Female","Heterosexual / straight","Welsh Government","2830","2610","39650","37410"
"In post","2021","Female","LGBO","Attorney General's Departments","190","180","42110","33310"
"In post","2021","Female","LGBO","Cabinet Office","170","160","41470","34640"
"In post","2021","Female","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Department for Business, Energy and Industrial Strategy","310","310","41820","39170"
"In post","2021","Female","LGBO","Department for Digital, Culture, Media and Sport","80","80","41960","34130"
"In post","2021","Female","LGBO","Department for Education","200","200","42050","38620"
"In post","2021","Female","LGBO","Department for Environment, Food and Rural Affairs","250","240","36000","32560"
"In post","2021","Female","LGBO","Department for International Trade","60","60","43870","38540"
"In post","2021","Female","LGBO","Department for Transport","240","230","31720","26780"
"In post","2021","Female","LGBO","Department for Work and Pensions","1740","1640","27970","27570"
"In post","2021","Female","LGBO","Department of Health and Social Care","230","220","39370","32790"
"In post","2021","Female","LGBO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Foreign, Commonwealth and Development Office","150","150","42470","37530"
"In post","2021","Female","LGBO","HM Land Registry","60","50","27730","22350"
"In post","2021","Female","LGBO","HM Revenue and Customs","930","870","31720","28130"
"In post","2021","Female","LGBO","HM Treasury","80","80","47470","52500"
"In post","2021","Female","LGBO","Home Office","490","470","31680","25960"
"In post","2021","Female","LGBO","Ministry of Defence","630","610","31000","27540"
"In post","2021","Female","LGBO","Ministry of Housing, Communities and Local Government","100","100","42250","39600"
"In post","2021","Female","LGBO","Ministry of Justice","2250","2190","29220","26810"
"In post","2021","Female","LGBO","National Crime Agency","110","110","36350","36410"
"In post","2021","Female","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Office for Standards in Education","50","50","50620","46360"
"In post","2021","Female","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Scottish Government","390","390","35220","32140"
"In post","2021","Female","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","United Kingdom Statistics Authority","110","110","31450","29540"
"In post","2021","Female","LGBO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Welsh Government","100","90","39740","37410"
"In post","2021","Female","Undeclared","Attorney General's Departments","230","210","46170","50520"
"In post","2021","Female","Undeclared","Cabinet Office","230","220","45300","40580"
"In post","2021","Female","Undeclared","Chancellor's other departments","30","30","[c]","[c]"
"In post","2021","Female","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Female","Undeclared","Department for Business, Energy and Industrial Strategy","430","400","42580","39580"
"In post","2021","Female","Undeclared","Department for Digital, Culture, Media and Sport","60","60","47810","51730"
"In post","2021","Female","Undeclared","Department for Education","300","280","43130","38150"
"In post","2021","Female","Undeclared","Department for Environment, Food and Rural Affairs","450","410","35680","32560"
"In post","2021","Female","Undeclared","Department for International Trade","70","70","44980","39340"
"In post","2021","Female","Undeclared","Department for Transport","1410","1120","26160","21590"
"In post","2021","Female","Undeclared","Department for Work and Pensions","4810","4120","27190","27570"
"In post","2021","Female","Undeclared","Department of Health and Social Care","660","580","43630","38890"
"In post","2021","Female","Undeclared","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Food Standards Agency","60","60","40570","40350"
"In post","2021","Female","Undeclared","Foreign, Commonwealth and Development Office","280","270","46460","40120"
"In post","2021","Female","Undeclared","HM Land Registry","430","370","31780","27130"
"In post","2021","Female","Undeclared","HM Revenue and Customs","2450","2120","31640","28130"
"In post","2021","Female","Undeclared","HM Treasury","140","140","41810","37080"
"In post","2021","Female","Undeclared","Home Office","2080","1850","31740","27370"
"In post","2021","Female","Undeclared","Ministry of Defence","2430","2290","32820","30380"
"In post","2021","Female","Undeclared","Ministry of Housing, Communities and Local Government","110","110","45430","41650"
"In post","2021","Female","Undeclared","Ministry of Justice","3700","3350","29160","25790"
"In post","2021","Female","Undeclared","National Crime Agency","150","150","36610","34140"
"In post","2021","Female","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Office for Standards in Education","70","70","47120","39850"
"In post","2021","Female","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Scottish Government","1500","1350","30370","26850"
"In post","2021","Female","Undeclared","The National Archives","30","30","[c]","[c]"
"In post","2021","Female","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","United Kingdom Statistics Authority","110","100","31640","29540"
"In post","2021","Female","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Welsh Government","390","360","41020","37410"
