"Status","Year","Disability","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office (excl. agencies)","60","50","41990","35590"
"In post","2021","Declared disabled","Asian","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Crown Prosecution Service","50","50","40240","34480"
"In post","2021","Declared disabled","Asian","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Education (excl. agencies)","40","30","[c]","[c]"
