"Status","Year","Ethnicity","Sexual_orientation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Heterosexual / straight","Bedfordshire and Hertfordshire","440","410","30870","29290"
"In post","2021","Asian","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","490","460","30790","28550"
"In post","2021","Asian","Heterosexual / straight","Cheshire","50","40","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Derbyshire and Nottinghamshire","520","480","30150","27570"
"In post","2021","Asian","Heterosexual / straight","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","East Anglia","320","270","26620","23660"
"In post","2021","Asian","Heterosexual / straight","East Wales","280","270","31000","25560"
"In post","2021","Asian","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Eastern Scotland","160","150","32640","27570"
"In post","2021","Asian","Heterosexual / straight","Essex","180","170","34200","29290"
"In post","2021","Asian","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","590","570","34700","31840"
"In post","2021","Asian","Heterosexual / straight","Greater Manchester","1140","1080","29230","27570"
"In post","2021","Asian","Heterosexual / straight","Hampshire and Isle of Wight","260","240","30610","27570"
"In post","2021","Asian","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","160","140","27000","25790"
"In post","2021","Asian","Heterosexual / straight","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Inner London - East","1910","1810","37150","31880"
"In post","2021","Asian","Heterosexual / straight","Inner London - West","5150","4990","41390","36360"
"In post","2021","Asian","Heterosexual / straight","Kent","130","130","28900","29290"
"In post","2021","Asian","Heterosexual / straight","Lancashire","760","680","25120","21440"
"In post","2021","Asian","Heterosexual / straight","Leicestershire, Rutland and Northamptonshire","790","710","25330","22350"
"In post","2021","Asian","Heterosexual / straight","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Merseyside","130","120","33470","27260"
"In post","2021","Asian","Heterosexual / straight","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","North Yorkshire","60","60","31880","28370"
"In post","2021","Asian","Heterosexual / straight","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Northumberland and Tyne and Wear","220","210","28410","25560"
"In post","2021","Asian","Heterosexual / straight","Outer London - East and North East","520","480","29960","31060"
"In post","2021","Asian","Heterosexual / straight","Outer London - South","1460","1360","34400","30110"
"In post","2021","Asian","Heterosexual / straight","Outer London - West and North West","2130","1970","31010","29090"
"In post","2021","Asian","Heterosexual / straight","Overseas","130","130","45910","41090"
