"Status","Year","Organisation","Region_ITL2","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","Unknown","110","100","31650","29190"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","No function","90","80","28820","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","No function","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","No function","80","80","29610","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","No function","50","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","No function","130","120","29400","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","No function","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","Finance","[c]","[c]","[c]","[c]"
