"Status","Year","Parent_department","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Asian","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Crown Prosecution Service","600","550","39420","34220"
"In post","2021","Attorney General's Departments","Asian","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Government Legal Department","260","240","49460","51250"
"In post","2021","Attorney General's Departments","Asian","Serious Fraud Office","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Crown Prosecution Service","370","350","40320","32720"
"In post","2021","Attorney General's Departments","Black","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Government Legal Department","170","160","41640","33460"
"In post","2021","Attorney General's Departments","Black","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Crown Prosecution Service","170","160","42960","44440"
"In post","2021","Attorney General's Departments","Mixed","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Government Legal Department","90","80","54050","51830"
"In post","2021","Attorney General's Departments","Mixed","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Crown Prosecution Service","50","50","44250","44040"
"In post","2021","Attorney General's Departments","Other ethnicity","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Government Legal Department","80","70","55530","54110"
"In post","2021","Attorney General's Departments","Other ethnicity","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Crown Prosecution Service","120","120","40920","38470"
"In post","2021","Attorney General's Departments","Undeclared","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Crown Prosecution Service","680","630","39900","32520"
"In post","2021","Attorney General's Departments","Unknown","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Government Legal Department","320","300","59110","64680"
"In post","2021","Attorney General's Departments","Unknown","Serious Fraud Office","120","120","47690","41450"
"In post","2021","Attorney General's Departments","White","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","White","Crown Prosecution Service","4730","4390","41840","38180"
"In post","2021","Attorney General's Departments","White","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","White","Government Legal Department","1570","1460","55790","52100"
"In post","2021","Attorney General's Departments","White","Serious Fraud Office","270","270","47520","41140"
"In post","2021","Cabinet Office","Asian","Cabinet Office (excl. agencies)","470","460","45860","40600"
"In post","2021","Cabinet Office","Black","Cabinet Office (excl. agencies)","260","250","41960","35590"
"In post","2021","Cabinet Office","Chinese","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Cabinet Office (excl. agencies)","190","190","47050","40420"
"In post","2021","Cabinet Office","Other ethnicity","Cabinet Office (excl. agencies)","70","70","46530","38700"
"In post","2021","Cabinet Office","Undeclared","Cabinet Office (excl. agencies)","230","230","47670","42740"
"In post","2021","Cabinet Office","Unknown","Cabinet Office (excl. agencies)","4030","3990","45110","33000"
"In post","2021","Cabinet Office","White","Cabinet Office (excl. agencies)","4170","4060","48490","41820"
"In post","2021","Chancellor's other departments","Asian","Government Actuary's Department","[c]","[c]","[c]","[c]"
