"Status","Year","Responsibility_level","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Analysis","Female","110","100","21380","21050"
"In post","2021","AA/AO","Analysis","Male","100","100","21750","21260"
"In post","2021","AA/AO","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Female","300","280","22080","21440"
"In post","2021","AA/AO","Commercial","Male","220","210","22150","21160"
"In post","2021","AA/AO","Communications","Female","300","260","21410","21400"
"In post","2021","AA/AO","Communications","Male","200","190","21490","21130"
"In post","2021","AA/AO","Counter Fraud","Female","520","430","21520","21440"
"In post","2021","AA/AO","Counter Fraud","Male","330","320","21400","20650"
"In post","2021","AA/AO","Debt","Female","1950","1660","21110","20140"
"In post","2021","AA/AO","Debt","Male","1470","1410","20730","20140"
"In post","2021","AA/AO","Digital, Data & Technology","Female","210","190","21650","21230"
"In post","2021","AA/AO","Digital, Data & Technology","Male","240","240","22000","21580"
"In post","2021","AA/AO","Finance","Female","990","800","21180","21130"
"In post","2021","AA/AO","Finance","Male","500","460","20980","20670"
"In post","2021","AA/AO","Grants Management","Female","570","480","21000","21050"
"In post","2021","AA/AO","Grants Management","Male","390","380","21020","21050"
"In post","2021","AA/AO","Human Resources","Female","1150","1010","21420","21130"
"In post","2021","AA/AO","Human Resources","Male","460","450","21170","20920"
"In post","2021","AA/AO","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Female","1820","1600","22140","21950"
"In post","2021","AA/AO","Legal","Male","770","730","21950","21950"
"In post","2021","AA/AO","No function","Female","37970","32830","22040","21400"
"In post","2021","AA/AO","No function","Male","32540","30960","24330","22430"
"In post","2021","AA/AO","Project Delivery","Female","400","360","21800","21440"
"In post","2021","AA/AO","Project Delivery","Male","220","210","21380","21440"
"In post","2021","AA/AO","Property","Female","1050","930","21040","21100"
"In post","2021","AA/AO","Property","Male","1300","1270","21880","21100"
"In post","2021","AA/AO","Security","Female","910","860","24410","20920"
"In post","2021","AA/AO","Security","Male","4610","4530","27160","22650"
"In post","2021","AA/AO","Unknown","Female","31090","26140","21400","21010"
"In post","2021","AA/AO","Unknown","Male","17960","17180","21400","21010"
"In post","2021","EO","Analysis","Female","370","340","26260","25880"
"In post","2021","EO","Analysis","Male","360","350","26720","26410"
"In post","2021","EO","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Female","510","470","26710","26670"
"In post","2021","EO","Commercial","Male","350","350","26980","26670"
"In post","2021","EO","Communications","Female","1500","1410","26040","25560"
"In post","2021","EO","Communications","Male","1700","1670","25560","25560"
"In post","2021","EO","Counter Fraud","Female","1720","1560","26980","25560"
"In post","2021","EO","Counter Fraud","Male","1690","1650","26990","25560"
"In post","2021","EO","Debt","Female","530","460","26920","25560"
"In post","2021","EO","Debt","Male","420","410","26720","25560"
"In post","2021","EO","Digital, Data & Technology","Female","880","820","27180","26670"
"In post","2021","EO","Digital, Data & Technology","Male","1400","1370","27610","26740"
"In post","2021","EO","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Female","1080","1000","26570","26670"
"In post","2021","EO","Finance","Male","610","600","26230","26350"
"In post","2021","EO","Grants Management","Female","320","280","25510","25190"
"In post","2021","EO","Grants Management","Male","220","220","25530","25190"
"In post","2021","EO","Human Resources","Female","1240","1150","26540","26670"
"In post","2021","EO","Human Resources","Male","530","520","27010","26670"
"In post","2021","EO","Internal Audit","Female","30","30","[c]","[c]"
"In post","2021","EO","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","Legal","Female","1720","1560","28080","28430"
"In post","2021","EO","Legal","Male","730","710","27990","28430"
"In post","2021","EO","No function","Female","17080","15680","27360","26860"
"In post","2021","EO","No function","Male","16040","15400","29110","28080"
"In post","2021","EO","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Project Delivery","Female","2300","2130","25230","26120"
"In post","2021","EO","Project Delivery","Male","2310","2260","24490","25560"
"In post","2021","EO","Property","Female","950","860","27110","26500"
"In post","2021","EO","Property","Male","1000","980","27760","26670"
"In post","2021","EO","Security","Female","360","350","28870","26670"
"In post","2021","EO","Security","Male","820","810","33870","30750"
"In post","2021","EO","Unknown","Female","42870","37930","27900","27570"
"In post","2021","EO","Unknown","Male","27220","26100","27890","27570"
"In post","2021","G6/G7","Analysis","Female","1010","940","57880","55970"
"In post","2021","G6/G7","Analysis","Male","1400","1370","58800","56520"
"In post","2021","G6/G7","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Commercial","Female","800","780","60520","56040"
"In post","2021","G6/G7","Commercial","Male","940","930","62230","59110"
"In post","2021","G6/G7","Communications","Female","640","600","57850","56130"
"In post","2021","G6/G7","Communications","Male","430","430","58350","55630"
"In post","2021","G6/G7","Counter Fraud","Female","390","370","56230","52770"
"In post","2021","G6/G7","Counter Fraud","Male","710","680","58120","57890"
"In post","2021","G6/G7","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Digital, Data & Technology","Female","1300","1260","56510","54700"
"In post","2021","G6/G7","Digital, Data & Technology","Male","2370","2340","57870","55830"
"In post","2021","G6/G7","Finance","Female","990","950","57840","56860"
"In post","2021","G6/G7","Finance","Male","1080","1070","59370","58130"
"In post","2021","G6/G7","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Grants Management","Male","30","30","[c]","[c]"
"In post","2021","G6/G7","Human Resources","Female","1320","1270","57480","55550"
"In post","2021","G6/G7","Human Resources","Male","580","570","58520","57670"
"In post","2021","G6/G7","Internal Audit","Female","90","80","59040","56400"
"In post","2021","G6/G7","Internal Audit","Male","120","110","58870","57490"
"In post","2021","G6/G7","Legal","Female","3720","3350","58930","57340"
"In post","2021","G6/G7","Legal","Male","2310","2230","60340","59160"
"In post","2021","G6/G7","No function","Female","10040","9570","57840","54700"
"In post","2021","G6/G7","No function","Male","11040","10820","58740","56350"
"In post","2021","G6/G7","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Project Delivery","Female","3240","3120","56750","55060"
"In post","2021","G6/G7","Project Delivery","Male","4140","4070","57870","55990"
"In post","2021","G6/G7","Property","Female","400","390","56130","54990"
"In post","2021","G6/G7","Property","Male","860","840","58220","56280"
"In post","2021","G6/G7","Security","Female","140","130","59600","55430"
"In post","2021","G6/G7","Security","Male","240","240","60670","58600"
"In post","2021","G6/G7","Unknown","Female","6050","5720","60240","58700"
"In post","2021","G6/G7","Unknown","Male","5990","5860","61410","60740"
"In post","2021","SCS","Analysis","Female","60","60","88120","79520"
"In post","2021","SCS","Analysis","Male","90","90","89390","79930"
"In post","2021","SCS","Commercial","Female","230","220","88300","73000"
"In post","2021","SCS","Commercial","Male","350","350","96120","77920"
"In post","2021","SCS","Communications","Female","70","70","85110","80370"
"In post","2021","SCS","Communications","Male","60","60","92600","84020"
"In post","2021","SCS","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data & Technology","Female","90","90","88680","79360"
"In post","2021","SCS","Digital, Data & Technology","Male","170","170","92780","89800"
"In post","2021","SCS","Finance","Female","100","100","88170","82720"
"In post","2021","SCS","Finance","Male","180","180","92900","85800"
"In post","2021","SCS","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Grants Management","Male","[c]","[c]","[c]","[c]"
