"Status","Year","Sexual_orientation","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","East Midlands (England)","Female","8070","7240","29010","27130"
"In post","2021","Heterosexual / straight","East Midlands (England)","Male","6070","5880","31200","27570"
"In post","2021","Heterosexual / straight","East of England","Female","8520","7710","29650","27570"
"In post","2021","Heterosexual / straight","East of England","Male","7100","6850","32230","29290"
"In post","2021","Heterosexual / straight","London","Female","36890","34860","42260","36360"
"In post","2021","Heterosexual / straight","London","Male","29410","28870","45100","39600"
"In post","2021","Heterosexual / straight","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Female","11860","10290","27940","25560"
"In post","2021","Heterosexual / straight","North East (England)","Male","7770","7440","30110","27570"
"In post","2021","Heterosexual / straight","North West (England)","Female","23050","20690","29180","27370"
"In post","2021","Heterosexual / straight","North West (England)","Male","15930","15400","31120","27570"
"In post","2021","Heterosexual / straight","Northern Ireland","Female","1220","1110","29200","25560"
"In post","2021","Heterosexual / straight","Northern Ireland","Male","1400","1360","28070","25040"
"In post","2021","Heterosexual / straight","Overseas","Female","950","940","49570","50940"
"In post","2021","Heterosexual / straight","Overseas","Male","1550","1550","50130","49640"
"In post","2021","Heterosexual / straight","Scotland","Female","15510","14030","32150","27570"
"In post","2021","Heterosexual / straight","Scotland","Male","12270","11850","34260","30160"
"In post","2021","Heterosexual / straight","South East (England)","Female","14990","13570","30210","27570"
"In post","2021","Heterosexual / straight","South East (England)","Male","13950","13420","32890","29810"
"In post","2021","Heterosexual / straight","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","South West (England)","Female","14940","13570","32110","27570"
"In post","2021","Heterosexual / straight","South West (England)","Male","16060","15670","36380","33290"
"In post","2021","Heterosexual / straight","Unknown","Female","560","520","32640","27570"
"In post","2021","Heterosexual / straight","Unknown","Male","440","430","34470","28120"
"In post","2021","Heterosexual / straight","Wales","Female","14010","12590","30500","27570"
"In post","2021","Heterosexual / straight","Wales","Male","9740","9440","33430","28660"
"In post","2021","Heterosexual / straight","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","West Midlands (England)","Female","11780","10630","29640","27570"
"In post","2021","Heterosexual / straight","West Midlands (England)","Male","8570","8340","31610","27570"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Female","13640","12140","30760","27570"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Male","10710","10350","32550","27570"
"In post","2021","LGBO","East Midlands (England)","Female","440","420","29140","27570"
"In post","2021","LGBO","East Midlands (England)","Male","350","340","29750","27570"
"In post","2021","LGBO","East of England","Female","410","390","29020","27570"
