"Status","Year","Ethnicity","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","16-19","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Unknown","30","30","[c]","[c]"
"In post","2021","Asian","20-29","Analysis","180","180","36210","33930"
"In post","2021","Asian","20-29","Commercial","50","50","31580","31330"
"In post","2021","Asian","20-29","Communications","150","150","29070","25940"
"In post","2021","Asian","20-29","Counter Fraud","80","80","30050","29570"
"In post","2021","Asian","20-29","Debt","70","60","21380","20140"
"In post","2021","Asian","20-29","Digital, Data & Technology","170","170","33190","30990"
"In post","2021","Asian","20-29","Finance","150","140","30550","29370"
"In post","2021","Asian","20-29","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Human Resources","100","90","31240","29070"
"In post","2021","Asian","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Legal","180","170","30840","26970"
"In post","2021","Asian","20-29","No function","2150","2090","29000","26980"
"In post","2021","Asian","20-29","Project Delivery","200","200","31950","30990"
"In post","2021","Asian","20-29","Property","40","40","[c]","[c]"
"In post","2021","Asian","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Unknown","2190","2140","28090","27570"
"In post","2021","Asian","30-39","Analysis","110","110","48780","51710"
"In post","2021","Asian","30-39","Commercial","70","70","41500","38330"
"In post","2021","Asian","30-39","Communications","180","170","33570","31810"
"In post","2021","Asian","30-39","Counter Fraud","170","160","32490","31810"
"In post","2021","Asian","30-39","Debt","60","60","21900","20140"
"In post","2021","Asian","30-39","Digital, Data & Technology","260","260","41670","38580"
"In post","2021","Asian","30-39","Finance","200","190","39870","36820"
"In post","2021","Asian","30-39","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Human Resources","150","150","34790","31910"
"In post","2021","Asian","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Legal","320","300","42180","43920"
"In post","2021","Asian","30-39","No function","2670","2500","32390","29570"
"In post","2021","Asian","30-39","Project Delivery","330","320","41480","38630"
"In post","2021","Asian","30-39","Property","80","80","34520","30780"
"In post","2021","Asian","30-39","Security","60","60","38640","36410"
"In post","2021","Asian","30-39","Unknown","3280","3050","29900","27570"
"In post","2021","Asian","40-49","Analysis","80","70","48870","49100"
"In post","2021","Asian","40-49","Commercial","80","70","45510","40400"
"In post","2021","Asian","40-49","Communications","110","100","38060","31810"
"In post","2021","Asian","40-49","Counter Fraud","160","150","32510","31810"
"In post","2021","Asian","40-49","Debt","70","60","24380","24340"
"In post","2021","Asian","40-49","Digital, Data & Technology","250","250","46590","41760"
"In post","2021","Asian","40-49","Finance","210","200","40410","37050"
"In post","2021","Asian","40-49","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Human Resources","130","120","41350","38080"
"In post","2021","Asian","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Legal","390","350","46800","50000"
"In post","2021","Asian","40-49","No function","2320","2150","34390","30470"
"In post","2021","Asian","40-49","Project Delivery","320","310","45240","41150"
"In post","2021","Asian","40-49","Property","90","80","35160","30850"
"In post","2021","Asian","40-49","Security","50","50","33400","33300"
"In post","2021","Asian","40-49","Unknown","3570","3180","30620","27570"
"In post","2021","Asian","50-59","Analysis","40","40","[c]","[c]"
"In post","2021","Asian","50-59","Commercial","60","60","46030","36820"
"In post","2021","Asian","50-59","Communications","50","50","[c]","[c]"
"In post","2021","Asian","50-59","Counter Fraud","150","140","32960","31810"
