"Status","Year","Parent_department","Region_ITL2","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Inner London - West","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - West","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - West","Unknown","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Kent","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Kent","Legal","130","120","39380","30110"
"In post","2021","Attorney General's Departments","Lancashire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lancashire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lancashire","Legal","170","160","40120","38000"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","Legal","150","140","39320","38470"
"In post","2021","Attorney General's Departments","Lincolnshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Merseyside","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Merseyside","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Merseyside","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Merseyside","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Merseyside","Human Resources","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Merseyside","Legal","320","300","37390","30130"
"In post","2021","Attorney General's Departments","Merseyside","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North Eastern Scotland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North Yorkshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North Yorkshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North Yorkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North Yorkshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North Yorkshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North Yorkshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North Yorkshire","Legal","220","200","50820","55610"
"In post","2021","Attorney General's Departments","North Yorkshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Northumberland and Tyne and Wear","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Northumberland and Tyne and Wear","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Northumberland and Tyne and Wear","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Northumberland and Tyne and Wear","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Northumberland and Tyne and Wear","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Northumberland and Tyne and Wear","Legal","230","210","37980","31490"
"In post","2021","Attorney General's Departments","Northumberland and Tyne and Wear","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Northumberland and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - East and North East","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - South","Legal","100","90","38730","31180"
"In post","2021","Attorney General's Departments","Outer London - South","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - West and North West","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Shropshire and Staffordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Shropshire and Staffordshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Shropshire and Staffordshire","Legal","60","60","41270","48080"
"In post","2021","Attorney General's Departments","South Yorkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South Yorkshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South Yorkshire","Legal","140","120","35470","28430"
"In post","2021","Attorney General's Departments","South Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Surrey, East and West Sussex","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Surrey, East and West Sussex","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Surrey, East and West Sussex","Legal","160","150","42330","36240"
"In post","2021","Attorney General's Departments","Tees Valley and Durham","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Tees Valley and Durham","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Tees Valley and Durham","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Tees Valley and Durham","Legal","90","80","38340","32370"
"In post","2021","Attorney General's Departments","West Midlands","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands","Legal","470","440","39910","38000"
"In post","2021","Attorney General's Departments","West Midlands","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Wales and The Valleys","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Wales and The Valleys","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Wales and The Valleys","Legal","70","60","41920","48080"
"In post","2021","Attorney General's Departments","West Yorkshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Yorkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Yorkshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Yorkshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Yorkshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Yorkshire","Legal","400","370","41490","38000"
"In post","2021","Attorney General's Departments","West Yorkshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Bedfordshire and Hertfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Bedfordshire and Hertfordshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Security","100","90","30270","33300"
"In post","2021","Cabinet Office","Cheshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Cumbria","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Derbyshire and Nottinghamshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Derbyshire and Nottinghamshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Derbyshire and Nottinghamshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Derbyshire and Nottinghamshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Derbyshire and Nottinghamshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Derbyshire and Nottinghamshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Devon","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Devon","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Devon","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Dorset and Somerset","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Anglia","Commercial","70","60","57230","54620"
"In post","2021","Cabinet Office","East Anglia","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Anglia","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Anglia","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Anglia","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Anglia","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Wales","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Wales","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Wales","No function","50","40","[c]","[c]"
"In post","2021","Cabinet Office","East Wales","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Eastern Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Eastern Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Eastern Scotland","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","Commercial","80","80","73750","64500"
"In post","2021","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","No function","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Greater Manchester","Commercial","90","90","61760","56210"
"In post","2021","Cabinet Office","Greater Manchester","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Greater Manchester","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Greater Manchester","Human Resources","100","100","38660","37300"
"In post","2021","Cabinet Office","Greater Manchester","No function","50","50","33130","29250"
"In post","2021","Cabinet Office","Greater Manchester","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Greater Manchester","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Hampshire and Isle of Wight","Commercial","50","50","[c]","[c]"
"In post","2021","Cabinet Office","Hampshire and Isle of Wight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Hampshire and Isle of Wight","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Hampshire and Isle of Wight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Inner London - East","Commercial","110","110","60160","56510"
"In post","2021","Cabinet Office","Inner London - East","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Inner London - East","Digital, Data & Technology","650","640","52720","54700"
"In post","2021","Cabinet Office","Inner London - East","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Inner London - East","No function","70","70","34960","31420"
"In post","2021","Cabinet Office","Inner London - East","Property","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Inner London - East","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Inner London - West","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Inner London - West","Commercial","640","630","78260","69150"
"In post","2021","Cabinet Office","Inner London - West","Communications","320","320","47710","42990"
"In post","2021","Cabinet Office","Inner London - West","Counter Fraud","80","70","49870","54700"
"In post","2021","Cabinet Office","Inner London - West","Digital, Data & Technology","230","230","50810","54700"
"In post","2021","Cabinet Office","Inner London - West","Finance","90","90","46340","41820"
"In post","2021","Cabinet Office","Inner London - West","Human Resources","510","490","47060","41820"
"In post","2021","Cabinet Office","Inner London - West","Legal","60","50","79760","79760"
"In post","2021","Cabinet Office","Inner London - West","No function","3220","3180","42870","34550"
"In post","2021","Cabinet Office","Inner London - West","Project Delivery","180","180","70510","64500"
"In post","2021","Cabinet Office","Inner London - West","Property","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Inner London - West","Security","170","170","44880","38580"
"In post","2021","Cabinet Office","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Kent","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Kent","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Kent","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Lancashire","Commercial","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Lancashire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Lancashire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Lincolnshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Merseyside","Commercial","70","70","63830","55750"
"In post","2021","Cabinet Office","Merseyside","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Merseyside","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Merseyside","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Merseyside","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North Yorkshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North Yorkshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North Yorkshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North Yorkshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North Yorkshire","Security","430","410","28880","26670"
"In post","2021","Cabinet Office","Northern Ireland","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Northern Ireland","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Northumberland and Tyne and Wear","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Northumberland and Tyne and Wear","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Northumberland and Tyne and Wear","Human Resources","340","320","26930","23850"
"In post","2021","Cabinet Office","Northumberland and Tyne and Wear","No function","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Northumberland and Tyne and Wear","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Northumberland and Tyne and Wear","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Northumberland and Tyne and Wear","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Outer London - South","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Outer London - South","No function","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Outer London - West and North West","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Shropshire and Staffordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Shropshire and Staffordshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","South Yorkshire","Commercial","40","40","[c]","[c]"
"In post","2021","Cabinet Office","South Yorkshire","Human Resources","40","40","[c]","[c]"
"In post","2021","Cabinet Office","South Yorkshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","South Yorkshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Southern Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Southern Scotland","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Surrey, East and West Sussex","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Surrey, East and West Sussex","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Tees Valley and Durham","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Tees Valley and Durham","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","No function","470","470","34850","32000"
"In post","2021","Cabinet Office","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Security","60","60","33480","33300"
"In post","2021","Cabinet Office","West Central Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Central Scotland","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Central Scotland","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Midlands","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Midlands","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Midlands","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Midlands","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Wales and The Valleys","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Wales and The Valleys","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Yorkshire","Commercial","60","60","67060","64500"
"In post","2021","Cabinet Office","West Yorkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Yorkshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Yorkshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Yorkshire","Human Resources","50","50","[c]","[c]"
"In post","2021","Cabinet Office","West Yorkshire","No function","40","40","[c]","[c]"
"In post","2021","Cabinet Office","West Yorkshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Yorkshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Yorkshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Eastern Scotland","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Inner London - West","Analysis","180","170","67420","60780"
"In post","2021","Chancellor's other departments","Inner London - West","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Inner London - West","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Inner London - West","Finance","40","40","[c]","[c]"
"In post","2021","Chancellor's other departments","Inner London - West","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Inner London - West","No function","90","80","55130","45330"
"In post","2021","Chancellor's other departments","Inner London - West","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Inner London - West","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Inner London - West","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Lancashire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Lancashire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Lancashire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Lancashire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Tees Valley and Durham","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Tees Valley and Durham","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Tees Valley and Durham","No function","[c]","[c]","[c]","[c]"
