"Status","Year","Region_ITL3","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Heterosexual / straight","550","500","34160","29190"
"In post","2021","Aberdeen City and Aberdeenshire","Female","LGBO","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Undeclared","110","90","29230","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Unknown","240","220","30010","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Heterosexual / straight","520","510","42030","33650"
"In post","2021","Aberdeen City and Aberdeenshire","Male","LGBO","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Undeclared","100","100","41150","32060"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Unknown","280","270","36010","33650"
"In post","2021","Angus and Dundee City","Female","Heterosexual / straight","740","670","27420","25300"
"In post","2021","Angus and Dundee City","Female","LGBO","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Undeclared","110","100","24650","22820"
"In post","2021","Angus and Dundee City","Female","Unknown","270","240","25260","21010"
"In post","2021","Angus and Dundee City","Male","Heterosexual / straight","460","440","26660","22230"
"In post","2021","Angus and Dundee City","Male","LGBO","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Undeclared","60","50","23800","21010"
"In post","2021","Angus and Dundee City","Male","Unknown","190","180","24330","21010"
"In post","2021","Antrim and Newtownabbey","Female","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Heterosexual / straight","110","110","22110","20310"
"In post","2021","Antrim and Newtownabbey","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","Ards and North Down","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","Heterosexual / straight","140","140","25230","20310"
"In post","2021","Ards and North Down","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Heterosexual / straight","270","240","30480","31060"
"In post","2021","Barking & Dagenham and Havering","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Undeclared","30","30","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Unknown","80","70","29460","31060"
"In post","2021","Barking & Dagenham and Havering","Male","Heterosexual / straight","130","130","30610","31060"
"In post","2021","Barking & Dagenham and Havering","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","Undeclared","[c]","[c]","[c]","[c]"
