"Status","Year","Profession_of_post","Organisation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","EO","60","50","23490","22400"
"In post","2021","Commercial","Crown Commercial Service","G6/G7","40","40","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","SEO/HEO","270","260","33250","34800"
"In post","2021","Commercial","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","SEO/HEO","[c]","[c]","[c]","[c]"
