"Status","Year","Sexual_orientation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Analysis","4650","4470","44000","39460"
"In post","2021","Heterosexual / straight","Commercial","4200","4070","42290","37640"
"In post","2021","Heterosexual / straight","Communications","4770","4590","35440","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","5860","5520","34410","31810"
"In post","2021","Heterosexual / straight","Debt","2150","1930","24030","21440"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","7920","7700","42080","38630"
"In post","2021","Heterosexual / straight","Finance","6430","6120","40190","36300"
"In post","2021","Heterosexual / straight","Grants Management","790","710","26630","25190"
"In post","2021","Heterosexual / straight","Human Resources","7110","6730","38170","33300"
"In post","2021","Heterosexual / straight","Internal Audit","590","560","46320","43830"
"In post","2021","Heterosexual / straight","Legal","8840","8230","45440","46530"
"In post","2021","Heterosexual / straight","No function","116910","109340","33420","29810"
"In post","2021","Heterosexual / straight","Project Delivery","20250","19580","41180","38620"
"In post","2021","Heterosexual / straight","Property","5900","5630","35590","33300"
"In post","2021","Heterosexual / straight","Security","6020","5890","31060","26750"
"In post","2021","Heterosexual / straight","Unknown","114590","105690","30840","27570"
"In post","2021","LGBO","Analysis","430","420","41240","36730"
"In post","2021","LGBO","Commercial","190","180","39040","34500"
"In post","2021","LGBO","Communications","370","370","36040","31810"
"In post","2021","LGBO","Counter Fraud","310","300","34270","31810"
"In post","2021","LGBO","Debt","150","140","23180","20140"
"In post","2021","LGBO","Digital, Data & Technology","520","510","41800","38450"
"In post","2021","LGBO","Finance","250","240","40980","36890"
"In post","2021","LGBO","Grants Management","60","50","25940","24920"
"In post","2021","LGBO","Human Resources","450","440","39860","35400"
"In post","2021","LGBO","Internal Audit","30","30","[c]","[c]"
"In post","2021","LGBO","Legal","570","550","46370","48080"
"In post","2021","LGBO","No function","7960","7740","34150","30640"
"In post","2021","LGBO","Project Delivery","930","920","41650","37870"
"In post","2021","LGBO","Property","230","220","34830","32000"
"In post","2021","LGBO","Security","270","270","32580","29250"
"In post","2021","LGBO","Unknown","6120","5890","30890","27570"
"In post","2021","Undeclared","Analysis","500","470","44780","39960"
"In post","2021","Undeclared","Commercial","570","550","40160","36300"
"In post","2021","Undeclared","Communications","500","470","34030","31810"
"In post","2021","Undeclared","Counter Fraud","940","870","35600","31810"
"In post","2021","Undeclared","Debt","320","270","24110","21440"
"In post","2021","Undeclared","Digital, Data & Technology","1230","1190","40960","38450"
"In post","2021","Undeclared","Finance","870","810","39100","35000"
"In post","2021","Undeclared","Grants Management","60","60","25920","25190"
"In post","2021","Undeclared","Human Resources","680","640","35880","31990"
"In post","2021","Undeclared","Internal Audit","80","80","45890","42520"
"In post","2021","Undeclared","Legal","2380","2160","34510","29350"
"In post","2021","Undeclared","No function","15900","14560","33130","29730"
"In post","2021","Undeclared","Project Delivery","2920","2800","41080","38630"
"In post","2021","Undeclared","Property","860","820","36510","33300"
"In post","2021","Undeclared","Security","950","930","34830","37640"
"In post","2021","Undeclared","Unknown","14910","13620","30870","27570"
"In post","2021","Unknown","Analysis","1640","1580","40980","36660"
"In post","2021","Unknown","Commercial","2020","1970","56230","51690"
"In post","2021","Unknown","Communications","2570","2490","33430","27500"
"In post","2021","Unknown","Counter Fraud","2520","2370","31760","29570"
"In post","2021","Unknown","Debt","2050","1870","22380","20140"
"In post","2021","Unknown","Digital, Data & Technology","3920","3810","40620","38500"
"In post","2021","Unknown","Finance","1850","1730","35350","31810"
"In post","2021","Unknown","Grants Management","980","910","24560","21050"
"In post","2021","Unknown","Human Resources","1350","1270","34550","31810"
"In post","2021","Unknown","Internal Audit","60","60","42640","39750"
"In post","2021","Unknown","Legal","3060","2790","46830","50570"
"In post","2021","Unknown","No function","44170","40950","31040","27490"
"In post","2021","Unknown","Project Delivery","4290","4140","41670","38630"
"In post","2021","Unknown","Property","2330","2210","30740","26850"
"In post","2021","Unknown","Security","1520","1490","31590","28750"
"In post","2021","Unknown","Unknown","31090","27850","30230","27570"
"In post","2022","Heterosexual / straight","Analysis","5480","5270","44550","39470"
"In post","2022","Heterosexual / straight","Commercial","3860","3740","42760","38920"
"In post","2022","Heterosexual / straight","Communications","5140","4960","36810","33120"
"In post","2022","Heterosexual / straight","Counter Fraud","10720","9940","32830","29530"
"In post","2022","Heterosexual / straight","Debt","4010","3540","23940","21260"
"In post","2022","Heterosexual / straight","Digital, Data & Technology","14780","14350","41560","38450"
"In post","2022","Heterosexual / straight","Finance","8550","8130","39990","36330"
"In post","2022","Heterosexual / straight","Grants Management","1040","940","26160","24920"
"In post","2022","Heterosexual / straight","Human Resources","8820","8350","38250","33370"
"In post","2022","Heterosexual / straight","Internal Audit","600","570","46230","43470"
"In post","2022","Heterosexual / straight","Legal","8530","8000","46180","48080"
"In post","2022","Heterosexual / straight","No function","178540","165690","32260","27570"
"In post","2022","Heterosexual / straight","Project Delivery","18920","18200","42130","39980"
"In post","2022","Heterosexual / straight","Property","6550","6290","37560","33370"
"In post","2022","Heterosexual / straight","Security","7520","7330","32440","30130"
"In post","2022","Heterosexual / straight","Unknown","56210","53150","34770","29670"
"In post","2022","LGBO","Analysis","560","550","41130","37710"
"In post","2022","LGBO","Commercial","210","210","39980","36640"
"In post","2022","LGBO","Communications","460","450","36280","33080"
"In post","2022","LGBO","Counter Fraud","610","590","32530","29290"
"In post","2022","LGBO","Debt","300","280","23620","21260"
"In post","2022","LGBO","Digital, Data & Technology","1010","990","40460","36840"
"In post","2022","LGBO","Finance","420","410","39600","35310"
"In post","2022","LGBO","Grants Management","80","70","25490","24920"
"In post","2022","LGBO","Human Resources","640","630","38820","33370"
"In post","2022","LGBO","Internal Audit","40","30","[c]","[c]"
"In post","2022","LGBO","Legal","560","540","46510","48820"
"In post","2022","LGBO","No function","12750","12360","32820","27960"
"In post","2022","LGBO","Project Delivery","970","950","41930","38600"
"In post","2022","LGBO","Property","280","270","36970","33300"
"In post","2022","LGBO","Security","360","360","33630","32000"
"In post","2022","LGBO","Unknown","2810","2730","36080","30980"
"In post","2022","Undeclared","Analysis","670","640","45450","40650"
"In post","2022","Undeclared","Commercial","550","530","42200","40320"
"In post","2022","Undeclared","Communications","620","600","38550","33370"
"In post","2022","Undeclared","Counter Fraud","1560","1420","33310","30330"
"In post","2022","Undeclared","Debt","500","420","23790","21260"
"In post","2022","Undeclared","Digital, Data & Technology","2320","2250","41000","38450"
"In post","2022","Undeclared","Finance","1220","1160","39660","36060"
"In post","2022","Undeclared","Grants Management","90","80","25050","23110"
"In post","2022","Undeclared","Human Resources","820","770","35550","31990"
"In post","2022","Undeclared","Internal Audit","90","90","46680","43160"
"In post","2022","Undeclared","Legal","660","620","49150","51320"
"In post","2022","Undeclared","No function","22540","20580","32600","27570"
"In post","2022","Undeclared","Project Delivery","2340","2230","42510","40410"
"In post","2022","Undeclared","Property","830","790","38140","34000"
"In post","2022","Undeclared","Security","1110","1070","35970","37600"
"In post","2022","Undeclared","Unknown","7330","6890","34920","30220"
"In post","2022","Unknown","Analysis","1750","1690","40660","38020"
"In post","2022","Unknown","Commercial","1990","1950","58730","55300"
"In post","2022","Unknown","Communications","2320","2260","33660","27570"
"In post","2022","Unknown","Counter Fraud","4140","3800","31470","28920"
"In post","2022","Unknown","Debt","2020","1810","23530","21260"
"In post","2022","Unknown","Digital, Data & Technology","3940","3840","41370","37810"
"In post","2022","Unknown","Finance","2190","2040","36590","33290"
"In post","2022","Unknown","Grants Management","1120","1040","24300","21300"
"In post","2022","Unknown","Human Resources","1440","1360","35040","31660"
"In post","2022","Unknown","Internal Audit","40","40","[c]","[c]"
"In post","2022","Unknown","Legal","2660","2410","48020","51830"
"In post","2022","Unknown","No function","60690","55420","30350","27570"
"In post","2022","Unknown","Project Delivery","4340","4150","42210","39950"
"In post","2022","Unknown","Property","1880","1800","33120","29360"
"In post","2022","Unknown","Security","1700","1670","32790","29370"
"In post","2022","Unknown","Unknown","13320","12830","35380","30820"
"Leaver CS","2021","Heterosexual / straight","Analysis","140","130","37880","31700"
"Leaver CS","2021","Heterosexual / straight","Commercial","140","130","42010","37640"
"Leaver CS","2021","Heterosexual / straight","Communications","130","130","36810","32750"
"Leaver CS","2021","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Digital, Data & Technology","210","200","43390","38870"
"Leaver CS","2021","Heterosexual / straight","Finance","150","140","40720","36930"
"Leaver CS","2021","Heterosexual / straight","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Human Resources","220","200","38580","33560"
"Leaver CS","2021","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Legal","350","300","45490","46420"
"Leaver CS","2021","Heterosexual / straight","No function","4980","4490","32600","25880"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","570","530","39000","34670"
"Leaver CS","2021","Heterosexual / straight","Property","270","250","32630","29200"
"Leaver CS","2021","Heterosexual / straight","Security","250","240","30270","26670"
"Leaver CS","2021","Heterosexual / straight","Unknown","4950","4340","29950","26890"
"Leaver CS","2021","LGBO","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Grants Management","[c]","[c]","[c]","[c]"
