"Status","Year","Responsibility_level","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Companies House","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","Wales","390","340","21700","22490"
"In post","2021","AA/AO","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Criminal Injuries Compensation Authority","Scotland","120","100","20270","20650"
"In post","2021","AA/AO","Crown Commercial Service","East of England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","Wales","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Scotland","710","630","21930","22220"
"In post","2021","AA/AO","Crown Prosecution Service","East Midlands (England)","110","110","21360","21950"
"In post","2021","AA/AO","Crown Prosecution Service","East of England","110","100","22440","23520"
"In post","2021","AA/AO","Crown Prosecution Service","London","330","310","23110","23520"
"In post","2021","AA/AO","Crown Prosecution Service","North East (England)","100","80","21860","21950"
"In post","2021","AA/AO","Crown Prosecution Service","North West (England)","210","190","21970","21950"
"In post","2021","AA/AO","Crown Prosecution Service","South East (England)","150","140","22760","23520"
"In post","2021","AA/AO","Crown Prosecution Service","South West (England)","60","50","21750","21950"
"In post","2021","AA/AO","Crown Prosecution Service","Wales","80","70","21970","21950"
"In post","2021","AA/AO","Crown Prosecution Service","West Midlands (England)","130","120","21790","21950"
"In post","2021","AA/AO","Crown Prosecution Service","Yorkshire and The Humber","180","160","21730","21950"
"In post","2021","AA/AO","Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service Inspectorate","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Wales","80","70","19970","21000"
"In post","2021","AA/AO","Defence Electronics and Components Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","South West (England)","100","100","18880","17710"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","60","60","25600","24900"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","London","80","80","24430","24370"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","London","30","30","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","London","120","100","30120","32740"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","East Midlands (England)","1510","1260","20820","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","East of England","1020","850","22720","22980"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","London","1620","1420","24460","25110"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","North East (England)","4210","3610","20860","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","North West (England)","6650","5790","20780","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Scotland","3750","3230","20770","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","South East (England)","1850","1590","22150","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","South West (England)","1790","1480","20880","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Unknown","170","150","22470","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Wales","2040","1760","20860","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","West Midlands (England)","2400","1990","20720","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","2320","1950","20820","21010"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Disclosure Scotland","Scotland","190","170","21940","22230"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Wales","4090","3460","20640","21590"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","East Midlands (England)","80","80","24400","24840"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","East of England","80","80","26400","26580"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","London","30","30","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","North East (England)","150","130","22210","21590"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","North West (England)","80","80","25470","26580"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Scotland","60","60","26040","27680"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","South East (England)","100","100","27200","27680"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","South West (England)","100","90","24650","26580"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Wales","180","170","22660","21590"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","West Midlands (England)","100","90","24500","25090"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Yorkshire and The Humber","160","140","24020","21590"
"In post","2021","AA/AO","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education Scotland","Scotland","40","40","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Wales","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","London","30","30","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","South East (England)","100","100","23180","22850"
"In post","2021","AA/AO","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","London","240","230","27590","28000"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Scotland","60","50","21490","21490"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","South East (England)","130","120","24800","24750"
"In post","2021","AA/AO","Forestry and Land Scotland","Scotland","470","460","24930","25140"
"In post","2021","AA/AO","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Internal Audit Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Internal Audit Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Legal Department","London","60","60","23740","23800"
"In post","2021","AA/AO","Government Property Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","East of England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","North West (England)","110","100","21690","22160"
"In post","2021","AA/AO","Health and Safety Executive","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","Wales","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","Yorkshire and The Humber","40","30","[c]","[c]"
"In post","2021","AA/AO","HM Courts and Tribunals Service","East Midlands (England)","960","830","19090","19450"
"In post","2021","AA/AO","HM Courts and Tribunals Service","East of England","720","620","19390","19570"
"In post","2021","AA/AO","HM Courts and Tribunals Service","London","2410","2240","22030","22680"
"In post","2021","AA/AO","HM Courts and Tribunals Service","North East (England)","440","370","19280","19570"
"In post","2021","AA/AO","HM Courts and Tribunals Service","North West (England)","1400","1220","19620","19930"
"In post","2021","AA/AO","HM Courts and Tribunals Service","Scotland","160","150","20060","19930"
"In post","2021","AA/AO","HM Courts and Tribunals Service","South East (England)","870","750","19700","19930"
"In post","2021","AA/AO","HM Courts and Tribunals Service","South West (England)","670","570","19170","19570"
"In post","2021","AA/AO","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Courts and Tribunals Service","Wales","620","550","19120","19160"
"In post","2021","AA/AO","HM Courts and Tribunals Service","West Midlands (England)","1360","1200","19360","19830"
"In post","2021","AA/AO","HM Courts and Tribunals Service","Yorkshire and The Humber","840","700","19130","19570"
"In post","2021","AA/AO","HM Land Registry","East Midlands (England)","230","210","22340","22350"
"In post","2021","AA/AO","HM Land Registry","East of England","70","70","22360","22350"
"In post","2021","AA/AO","HM Land Registry","London","70","70","25820","25850"
"In post","2021","AA/AO","HM Land Registry","North East (England)","260","250","22350","22350"
"In post","2021","AA/AO","HM Land Registry","North West (England)","310","290","22350","22350"
"In post","2021","AA/AO","HM Land Registry","South West (England)","380","350","22240","22350"
"In post","2021","AA/AO","HM Land Registry","Wales","220","200","22350","22350"
"In post","2021","AA/AO","HM Land Registry","West Midlands (England)","210","200","22370","22350"
"In post","2021","AA/AO","HM Land Registry","Yorkshire and The Humber","110","100","22350","22350"
"In post","2021","AA/AO","HM Prison and Probation Service","East Midlands (England)","2740","2590","25000","24440"
"In post","2021","AA/AO","HM Prison and Probation Service","East of England","3040","2890","26520","26630"
"In post","2021","AA/AO","HM Prison and Probation Service","London","2910","2810","30400","31590"
"In post","2021","AA/AO","HM Prison and Probation Service","North East (England)","1890","1750","25920","25300"
"In post","2021","AA/AO","HM Prison and Probation Service","North West (England)","3430","3190","25470","24920"
"In post","2021","AA/AO","HM Prison and Probation Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Prison and Probation Service","South East (England)","4710","4510","27730","28590"
"In post","2021","AA/AO","HM Prison and Probation Service","South West (England)","2090","1960","25140","24440"
"In post","2021","AA/AO","HM Prison and Probation Service","Wales","1220","1140","24570","24120"
"In post","2021","AA/AO","HM Prison and Probation Service","West Midlands (England)","2740","2620","25180","24440"
"In post","2021","AA/AO","HM Prison and Probation Service","Yorkshire and The Humber","3650","3410","25380","24920"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","East Midlands (England)","860","760","20520","20140"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","East of England","370","320","21040","21400"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","London","880","800","24820","24670"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","North East (England)","5110","4210","20660","20140"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","North West (England)","4370","3840","20550","20140"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Northern Ireland","710","640","20460","20140"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Scotland","3730","3250","20470","20140"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","South East (England)","750","650","20720","20140"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","South West (England)","150","140","20700","20140"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Wales","1480","1300","20470","20140"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","West Midlands (England)","860","770","20470","20140"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","1470","1290","20460","20140"
"In post","2021","AA/AO","HM Treasury (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury (excl. agencies)","London","50","40","[c]","[c]"
"In post","2021","AA/AO","Home Office (incl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Home Office (incl. agencies)","East of England","640","570","21160","21430"
"In post","2021","AA/AO","Home Office (incl. agencies)","London","1810","1630","24980","25630"
"In post","2021","AA/AO","Home Office (incl. agencies)","North East (England)","660","530","21080","21430"
"In post","2021","AA/AO","Home Office (incl. agencies)","North West (England)","2460","2190","21010","21430"
"In post","2021","AA/AO","Home Office (incl. agencies)","Northern Ireland","220","190","21260","21430"
"In post","2021","AA/AO","Home Office (incl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Home Office (incl. agencies)","Scotland","280","250","21210","21430"
"In post","2021","AA/AO","Home Office (incl. agencies)","South East (England)","540","510","21640","21430"
"In post","2021","AA/AO","Home Office (incl. agencies)","South West (England)","50","40","[c]","[c]"
"In post","2021","AA/AO","Home Office (incl. agencies)","Wales","180","150","21190","21430"
"In post","2021","AA/AO","Home Office (incl. agencies)","West Midlands (England)","250","230","21220","21430"
"In post","2021","AA/AO","Home Office (incl. agencies)","Yorkshire and The Humber","1210","1080","21250","21430"
"In post","2021","AA/AO","Insolvency Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Insolvency Service","East of England","50","50","21010","20880"
"In post","2021","AA/AO","Insolvency Service","London","70","70","24600","25060"
"In post","2021","AA/AO","Insolvency Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Insolvency Service","North West (England)","90","80","20770","20880"
"In post","2021","AA/AO","Insolvency Service","Scotland","50","40","[c]","[c]"
"In post","2021","AA/AO","Insolvency Service","South East (England)","50","50","21380","20880"
"In post","2021","AA/AO","Insolvency Service","South West (England)","60","60","20880","20880"
"In post","2021","AA/AO","Insolvency Service","Wales","30","30","[c]","[c]"
"In post","2021","AA/AO","Insolvency Service","West Midlands (England)","160","150","20530","20880"
"In post","2021","AA/AO","Insolvency Service","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","AA/AO","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Institute for Apprenticeships and Technical Education","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal Aid Agency","East Midlands (England)","100","90","19160","18890"
"In post","2021","AA/AO","Legal Aid Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal Aid Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal Aid Agency","North East (England)","120","100","18950","18890"
"In post","2021","AA/AO","Legal Aid Agency","North West (England)","100","100","20140","19930"
"In post","2021","AA/AO","Legal Aid Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal Aid Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal Aid Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal Aid Agency","West Midlands (England)","60","60","20210","19930"
"In post","2021","AA/AO","Legal Aid Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Maritime and Coastguard Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Maritime and Coastguard Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Maritime and Coastguard Agency","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Maritime and Coastguard Agency","Scotland","40","40","[c]","[c]"
"In post","2021","AA/AO","Maritime and Coastguard Agency","South East (England)","140","130","23950","21590"
"In post","2021","AA/AO","Maritime and Coastguard Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Maritime and Coastguard Agency","Wales","50","40","[c]","[c]"
"In post","2021","AA/AO","Maritime and Coastguard Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicines and Healthcare Products Regulatory Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicines and Healthcare Products Regulatory Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Met Office","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Met Office","London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Met Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Met Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Met Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Met Office","South West (England)","90","90","22540","21140"
"In post","2021","AA/AO","Met Office","Wales","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","East Midlands (England)","940","900","21050","20920"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","East of England","1480","1410","22440","20920"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","London","800","780","24870","23890"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","North East (England)","160","160","20310","20920"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","North West (England)","800","740","21440","21030"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Northern Ireland","710","690","20830","20310"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Scotland","2330","2230","24810","21130"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","South East (England)","3190","3080","23860","20920"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","South West (England)","2720","2600","22120","20920"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Unknown","30","30","[c]","[c]"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Wales","450","440","20470","20720"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","West Midlands (England)","930","890","21920","20920"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Yorkshire and The Humber","1060","1020","23030","20920"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","London","30","30","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","London","110","110","23050","22680"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","West Midlands (England)","100","100","19980","18890"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","London","100","100","25970","24220"
"In post","2021","AA/AO","National Crime Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","North West (England)","80","80","21800","20800"
"In post","2021","AA/AO","National Crime Agency","Northern Ireland","[c]","[c]","[c]","[c]"
