"Status","Year","Disability","Sex","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Female","Aberdeen City and Aberdeenshire","80","70","29420","27570"
"In post","2021","Declared disabled","Female","Angus and Dundee City","180","160","24100","21150"
"In post","2021","Declared disabled","Female","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","Barking & Dagenham and Havering","70","60","30790","31060"
"In post","2021","Declared disabled","Female","Barnet","80","70","32650","31060"
"In post","2021","Declared disabled","Female","Barnsley, Doncaster and Rotherham","280","240","26320","27570"
"In post","2021","Declared disabled","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","640","600","34130","32280"
"In post","2021","Declared disabled","Female","Bedford","70","60","29260","27850"
"In post","2021","Declared disabled","Female","Belfast","140","120","29400","26550"
"In post","2021","Declared disabled","Female","Berkshire","180","160","32880","29290"
"In post","2021","Declared disabled","Female","Bexley and Greenwich","120","110","30020","30550"
"In post","2021","Declared disabled","Female","Birmingham","800","710","28870","27570"
"In post","2021","Declared disabled","Female","Blackburn with Darwen","50","40","27330","27570"
"In post","2021","Declared disabled","Female","Blackpool","510","440","27220","27570"
"In post","2021","Declared disabled","Female","Bournemouth and Poole","80","70","26460","27570"
"In post","2021","Declared disabled","Female","Bradford","240","200","25730","24000"
"In post","2021","Declared disabled","Female","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","Brent","50","40","[c]","[c]"
"In post","2021","Declared disabled","Female","Bridgend and Neath Port Talbot","80","70","26100","27570"
"In post","2021","Declared disabled","Female","Brighton and Hove","60","50","29500","27570"
"In post","2021","Declared disabled","Female","Bristol, City of","370","330","31540","27570"
"In post","2021","Declared disabled","Female","Bromley","50","50","31440","31060"
"In post","2021","Declared disabled","Female","Buckinghamshire CC","120","110","29650","27850"
"In post","2021","Declared disabled","Female","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","Calderdale and Kirklees","120","110","26540","27570"
"In post","2021","Declared disabled","Female","Cambridgeshire CC","180","170","31660","28840"
"In post","2021","Declared disabled","Female","Camden and City of London","160","150","34140","29570"
"In post","2021","Declared disabled","Female","Cardiff and Vale of Glamorgan","620","560","31230","27570"
"In post","2021","Declared disabled","Female","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","Central Hampshire","220","210","33470","33000"
"In post","2021","Declared disabled","Female","Central Valleys","120","110","27590","27570"
"In post","2021","Declared disabled","Female","Cheshire East","60","60","30340","27570"
"In post","2021","Declared disabled","Female","Cheshire West and Chester","60","50","26340","27570"
"In post","2021","Declared disabled","Female","Chorley and West Lancashire","70","60","26950","26810"
"In post","2021","Declared disabled","Female","City of Edinburgh","600","550","36320","30650"
"In post","2021","Declared disabled","Female","Clackmannanshire and Fife","90","80","28540","27570"
"In post","2021","Declared disabled","Female","Conwy and Denbighshire","50","50","31140","27570"
"In post","2021","Declared disabled","Female","Cornwall and Isles of Scilly","130","110","26430","27570"
"In post","2021","Declared disabled","Female","Coventry","150","130","33090","29360"
"In post","2021","Declared disabled","Female","Croydon","560","500","35260","30600"
"In post","2021","Declared disabled","Female","Darlington","60","60","31120","29360"
"In post","2021","Declared disabled","Female","Derby","90","70","24670","21010"
"In post","2021","Declared disabled","Female","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","Devon CC","310","260","27700","26170"
"In post","2021","Declared disabled","Female","Dorset CC","120","110","28140","27130"
"In post","2021","Declared disabled","Female","Dudley","120","100","25260","27170"
"In post","2021","Declared disabled","Female","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","Durham CC","330","280","26430","25220"
"In post","2021","Declared disabled","Female","Ealing","50","50","31970","31060"
"In post","2021","Declared disabled","Female","East Ayrshire and North Ayrshire mainland","50","40","[c]","[c]"
"In post","2021","Declared disabled","Female","East Cumbria","60","50","28640","25930"
"In post","2021","Declared disabled","Female","East Derbyshire","70","60","26240","27570"
"In post","2021","Declared disabled","Female","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","80","70","27710","27570"
"In post","2021","Declared disabled","Female","East Kent","250","220","28250","27370"
"In post","2021","Declared disabled","Female","East Lancashire","60","50","25590","27570"
"In post","2021","Declared disabled","Female","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","East Merseyside","130","110","27160","27570"
"In post","2021","Declared disabled","Female","East Riding of Yorkshire","80","70","27180","27160"
"In post","2021","Declared disabled","Female","East Surrey","50","40","[c]","[c]"
"In post","2021","Declared disabled","Female","East Sussex CC","180","150","25290","26120"
"In post","2021","Declared disabled","Female","Enfield","40","40","[c]","[c]"
"In post","2021","Declared disabled","Female","Essex Haven Gateway","60","60","29740","29290"
"In post","2021","Declared disabled","Female","Essex Thames Gateway","140","120","27510","29170"
"In post","2021","Declared disabled","Female","Falkirk","110","90","27590","27570"
"In post","2021","Declared disabled","Female","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","Flintshire and Wrexham","140","120","27710","26930"
"In post","2021","Declared disabled","Female","Glasgow City","680","600","28590","26160"
"In post","2021","Declared disabled","Female","Gloucestershire","100","80","26770","27130"
"In post","2021","Declared disabled","Female","Greater Manchester North East","110","100","26960","27570"
"In post","2021","Declared disabled","Female","Greater Manchester North West","210","170","24160","21530"
"In post","2021","Declared disabled","Female","Greater Manchester South East","120","100","25070","21010"
"In post","2021","Declared disabled","Female","Greater Manchester South West","300","270","29830","27570"
"In post","2021","Declared disabled","Female","Gwent Valleys","120","110","26030","27570"
"In post","2021","Declared disabled","Female","Gwynedd","60","50","23720","21010"
"In post","2021","Declared disabled","Female","Hackney and Newham","260","240","31610","30420"
"In post","2021","Declared disabled","Female","Haringey and Islington","110","100","31670","31060"
"In post","2021","Declared disabled","Female","Harrow and Hillingdon","200","170","31120","30500"
"In post","2021","Declared disabled","Female","Hartlepool and Stockton-on-Tees","140","120","26410","27570"
"In post","2021","Declared disabled","Female","Heart of Essex","80","70","32710","29290"
"In post","2021","Declared disabled","Female","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","Hertfordshire","190","170","32010","29290"
"In post","2021","Declared disabled","Female","Hounslow and Richmond upon Thames","130","120","30500","29250"
"In post","2021","Declared disabled","Female","Inverclyde, East Renfrewshire and Renfrewshire","60","50","27640","27570"
"In post","2021","Declared disabled","Female","Inverness and Nairn and Moray, Badenoch and Strathspey","60","50","27730","27570"
"In post","2021","Declared disabled","Female","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","Isle of Wight","60","50","26390","27380"
"In post","2021","Declared disabled","Female","Kensington & Chelsea and Hammersmith & Fulham","50","50","31280","31060"
"In post","2021","Declared disabled","Female","Kent Thames Gateway","90","80","28390","29170"
"In post","2021","Declared disabled","Female","Kingston upon Hull, City of","140","120","26410","27570"
"In post","2021","Declared disabled","Female","Lambeth","180","170","35250","31880"
"In post","2021","Declared disabled","Female","Lancaster and Wyre","60","50","26000","26670"
"In post","2021","Declared disabled","Female","Leeds","660","600","31370","27570"
"In post","2021","Declared disabled","Female","Leicester","170","150","25560","22350"
"In post","2021","Declared disabled","Female","Leicestershire CC and Rutland","110","100","26900","26500"
"In post","2021","Declared disabled","Female","Lewisham and Southwark","120","120","31860","31060"
"In post","2021","Declared disabled","Female","Lincolnshire","240","210","27230","26810"
"In post","2021","Declared disabled","Female","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","Liverpool","690","590","28160","25520"
"In post","2021","Declared disabled","Female","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","Luton","60","50","25300","24720"
"In post","2021","Declared disabled","Female","Manchester","520","480","32030","27610"
"In post","2021","Declared disabled","Female","Medway","100","90","29670","29290"
"In post","2021","Declared disabled","Female","Merton, Kingston upon Thames and Sutton","50","50","30110","31060"
"In post","2021","Declared disabled","Female","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","Mid Kent","70","60","28680","27790"
"In post","2021","Declared disabled","Female","Mid Lancashire","480","410","26220","25350"
"In post","2021","Declared disabled","Female","Milton Keynes","120","110","29350","27570"
"In post","2021","Declared disabled","Female","Monmouthshire and Newport","270","250","30070","27570"
"In post","2021","Declared disabled","Female","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","North and North East Lincolnshire","60","50","26200","27570"
"In post","2021","Declared disabled","Female","North and West Norfolk","50","40","[c]","[c]"
"In post","2021","Declared disabled","Female","North Hampshire","80","80","27470","26670"
"In post","2021","Declared disabled","Female","North Lanarkshire","200","160","24720","21440"
"In post","2021","Declared disabled","Female","North Northamptonshire","70","60","24950","27570"
"In post","2021","Declared disabled","Female","North Nottinghamshire","100","90","28350","27570"
"In post","2021","Declared disabled","Female","North Yorkshire CC","110","100","28570","27570"
"In post","2021","Declared disabled","Female","Northumberland","40","30","[c]","[c]"
"In post","2021","Declared disabled","Female","Norwich and East Norfolk","140","120","27020","27570"
"In post","2021","Declared disabled","Female","Nottingham","560","510","30850","27570"
"In post","2021","Declared disabled","Female","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","Overseas","90","90","47880","51500"
"In post","2021","Declared disabled","Female","Oxfordshire","140","130","31010","27570"
"In post","2021","Declared disabled","Female","Perth and Kinross and Stirling","70","60","29730","27570"
"In post","2021","Declared disabled","Female","Peterborough","130","110","27020","24890"
"In post","2021","Declared disabled","Female","Plymouth","180","160","27370","27130"
"In post","2021","Declared disabled","Female","Portsmouth","230","190","27880","26670"
"In post","2021","Declared disabled","Female","Powys","30","30","[c]","[c]"
"In post","2021","Declared disabled","Female","Redbridge and Waltham Forest","120","100","28900","30330"
"In post","2021","Declared disabled","Female","Sandwell","50","50","[c]","[c]"
"In post","2021","Declared disabled","Female","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","Sefton","400","340","27610","25560"
"In post","2021","Declared disabled","Female","Sheffield","480","410","31270","27570"
"In post","2021","Declared disabled","Female","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","Shropshire CC","60","50","28620","27570"
"In post","2021","Declared disabled","Female","Solihull","70","70","27670","27470"
"In post","2021","Declared disabled","Female","Somerset","130","110","28050","27540"
"In post","2021","Declared disabled","Female","South and West Derbyshire","80","70","31440","27570"
"In post","2021","Declared disabled","Female","South Ayrshire","[c]","[c]","[c]","[c]"
