"Status","Year","Disability","Age","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","16-19","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Tees Valley and Durham","[c]","[c]","[c]","[c]"
