"Status","Year","Responsibility_level","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Heterosexual / straight","Commercial","160","150","22630","21590"
"In post","2021","AA/AO","Heterosexual / straight","Communications","150","150","22340","21590"
"In post","2021","AA/AO","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Counter Fraud","40","40","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Digital, Data and Technology","270","260","22040","21580"
"In post","2021","AA/AO","Heterosexual / straight","Economics","50","50","23010","23210"
"In post","2021","AA/AO","Heterosexual / straight","Finance","720","620","21540","21440"
"In post","2021","AA/AO","Heterosexual / straight","Human Resources","910","830","21700","21130"
"In post","2021","AA/AO","Heterosexual / straight","Intelligence Analysis","110","100","23050","21580"
"In post","2021","AA/AO","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Knowledge and Information Management","250","230","22130","21130"
"In post","2021","AA/AO","Heterosexual / straight","Legal","190","170","21540","21440"
"In post","2021","AA/AO","Heterosexual / straight","Medicine","230","220","22430","22640"
"In post","2021","AA/AO","Heterosexual / straight","Operational Delivery","49420","44500","22960","21440"
"In post","2021","AA/AO","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Other","5970","5680","21060","20920"
"In post","2021","AA/AO","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Policy","570","540","23450","23510"
"In post","2021","AA/AO","Heterosexual / straight","Project Delivery","240","220","21790","21430"
"In post","2021","AA/AO","Heterosexual / straight","Property","670","640","19610","18800"
"In post","2021","AA/AO","Heterosexual / straight","Psychology","50","40","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Science and Engineering","940","900","21590","21580"
"In post","2021","AA/AO","Heterosexual / straight","Security","3840","3760","26050","21370"
"In post","2021","AA/AO","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Tax","1230","1150","20300","20140"
"In post","2021","AA/AO","Heterosexual / straight","Unknown","20090","17610","21280","21010"
"In post","2021","AA/AO","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Human Resources","40","40","[c]","[c]"
"In post","2021","AA/AO","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Operational Delivery","2890","2760","23490","21590"
"In post","2021","AA/AO","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Other","180","170","20950","20920"
"In post","2021","AA/AO","LGBO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Science and Engineering","50","50","21470","21720"
"In post","2021","AA/AO","LGBO","Security","150","150","27180","25540"
"In post","2021","AA/AO","LGBO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Tax","140","130","20190","20140"
"In post","2021","AA/AO","LGBO","Unknown","1300","1230","21330","21010"
"In post","2021","AA/AO","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Commercial","30","30","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Communications","40","30","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Digital, Data and Technology","50","50","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Finance","120","100","21530","21440"
"In post","2021","AA/AO","Undeclared","Human Resources","120","110","21490","21140"
"In post","2021","AA/AO","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Operational Delivery","7620","6630","22570","21440"
"In post","2021","AA/AO","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Other","830","790","21130","21130"
"In post","2021","AA/AO","Undeclared","Policy","60","50","23690","23830"
"In post","2021","AA/AO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Property","100","100","20130","20340"
"In post","2021","AA/AO","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Science and Engineering","120","120","21690","21610"
"In post","2021","AA/AO","Undeclared","Security","580","570","29580","25680"
"In post","2021","AA/AO","Undeclared","Tax","100","90","20640","20140"
"In post","2021","AA/AO","Undeclared","Unknown","2740","2360","21220","21010"
"In post","2021","AA/AO","Unknown","Commercial","70","70","22640","21980"
"In post","2021","AA/AO","Unknown","Communications","40","30","[c]","[c]"
"In post","2021","AA/AO","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Digital, Data and Technology","110","110","21520","21590"
"In post","2021","AA/AO","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Finance","300","250","21070","20770"
"In post","2021","AA/AO","Unknown","Human Resources","130","120","21430","20920"
"In post","2021","AA/AO","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Knowledge and Information Management","40","30","[c]","[c]"
"In post","2021","AA/AO","Unknown","Legal","90","80","21470","21240"
"In post","2021","AA/AO","Unknown","Medicine","90","80","21050","21140"
"In post","2021","AA/AO","Unknown","Operational Delivery","21010","18800","23020","21440"
"In post","2021","AA/AO","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Other","870","810","22720","20920"
"In post","2021","AA/AO","Unknown","Policy","140","140","23200","23090"
"In post","2021","AA/AO","Unknown","Project Delivery","50","40","[c]","[c]"
"In post","2021","AA/AO","Unknown","Property","230","200","19550","18760"
