"Status","Year","Sexual_orientation","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Commercial","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Berkshire, Buckinghamshire and Oxfordshire","150","150","39160","36890"
"In post","2021","Heterosexual / straight","Commercial","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Derbyshire and Nottinghamshire","60","50","45420","43130"
"In post","2021","Heterosexual / straight","Commercial","Devon","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Dorset and Somerset","50","50","42850","42510"
"In post","2021","Heterosexual / straight","Commercial","East Anglia","160","150","38520","35570"
"In post","2021","Heterosexual / straight","Commercial","East Wales","110","110","37110","34800"
"In post","2021","Heterosexual / straight","Commercial","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Eastern Scotland","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","1100","1050","38880","35430"
"In post","2021","Heterosexual / straight","Commercial","Greater Manchester","160","160","41140","37100"
"In post","2021","Heterosexual / straight","Commercial","Hampshire and Isle of Wight","180","170","35850","34780"
"In post","2021","Heterosexual / straight","Commercial","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Inner London - East","60","60","45620","40770"
"In post","2021","Heterosexual / straight","Commercial","Inner London - West","370","360","49910","44520"
"In post","2021","Heterosexual / straight","Commercial","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Leicestershire, Rutland and Northamptonshire","30","30","[c]","[c]"
