"Status","Year","Profession_of_post","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","AA/AO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Department for Transport","40","30","[c]","[c]"
"In post","2021","Commercial","AA/AO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Ministry of Defence","60","50","22500","20920"
"In post","2021","Commercial","AA/AO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Ministry of Justice","60","50","22990","21710"
"In post","2021","Commercial","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Scottish Government","60","50","23570","24450"
"In post","2021","Commercial","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department for Education","30","30","[c]","[c]"
"In post","2021","Commercial","EO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department for Transport","60","50","26510","26700"
"In post","2021","Commercial","EO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Ministry of Defence","340","320","25300","26350"
"In post","2021","Commercial","EO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Ministry of Justice","90","90","27490","27380"
"In post","2021","Commercial","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Other Cabinet Office Agencies","60","60","23500","22550"
"In post","2021","Commercial","EO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department for Business, Energy and Industrial Strategy","110","110","53340","48540"
"In post","2021","Commercial","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department for Education","100","100","54870","51800"
"In post","2021","Commercial","G6/G7","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department for Transport","60","60","60730","57290"
"In post","2021","Commercial","G6/G7","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department of Health and Social Care","60","60","56220","53360"
"In post","2021","Commercial","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Foreign, Commonwealth and Development Office","50","50","59410","56300"
"In post","2021","Commercial","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Ministry of Defence","260","250","58410","55310"
"In post","2021","Commercial","G6/G7","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Ministry of Justice","180","170","70530","69760"
"In post","2021","Commercial","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","Commercial","G6/G7","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Department of Health and Social Care","40","30","[c]","[c]"
"In post","2021","Commercial","SCS","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Department for Business, Energy and Industrial Strategy","120","110","37170","37420"
"In post","2021","Commercial","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Department for Education","240","230","35810","36780"
"In post","2021","Commercial","SEO/HEO","Department for Environment, Food and Rural Affairs","110","100","35670","36700"
"In post","2021","Commercial","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Department for Transport","130","120","36940","35060"
"In post","2021","Commercial","SEO/HEO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Department of Health and Social Care","120","110","36880","38670"
"In post","2021","Commercial","SEO/HEO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Foreign, Commonwealth and Development Office","80","80","38590","39580"
"In post","2021","Commercial","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","HM Revenue and Customs","50","50","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Home Office","70","70","40770","42100"
"In post","2021","Commercial","SEO/HEO","Ministry of Defence","1190","1140","36620","35950"
"In post","2021","Commercial","SEO/HEO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Ministry of Justice","520","510","43360","43840"
"In post","2021","Commercial","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Other Cabinet Office Agencies","270","260","33250","34800"
"In post","2021","Commercial","SEO/HEO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Ministry of Defence","180","170","37820","34200"
"In post","2021","Commercial","Unknown","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","Communications","AA/AO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Department for Transport","40","30","[c]","[c]"
"In post","2021","Communications","AA/AO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Ministry of Defence","100","90","21350","21020"
"In post","2021","Communications","AA/AO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Department for Education","80","80","27580","26000"
"In post","2021","Communications","EO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Department for Transport","60","50","26440","26470"
"In post","2021","Communications","EO","Department of Health and Social Care","70","70","27490","27270"
"In post","2021","Communications","EO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Ministry of Defence","170","160","27460","26670"
"In post","2021","Communications","EO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Welsh Government","30","30","[c]","[c]"
"In post","2021","Communications","G6/G7","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Department for Business, Energy and Industrial Strategy","70","60","59080","58430"
"In post","2021","Communications","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Department for Education","80","80","56630","54400"
"In post","2021","Communications","G6/G7","Department for Environment, Food and Rural Affairs","80","80","53460","53200"
"In post","2021","Communications","G6/G7","Department for International Trade","50","50","54240","51980"
"In post","2021","Communications","G6/G7","Department for Transport","60","60","57950","54760"
"In post","2021","Communications","G6/G7","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Department of Health and Social Care","100","100","58790","55150"
"In post","2021","Communications","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Foreign, Commonwealth and Development Office","50","40","[c]","[c]"
"In post","2021","Communications","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","HM Revenue and Customs","80","80","57450","59160"
"In post","2021","Communications","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Home Office","60","60","60230","57570"
"In post","2021","Communications","G6/G7","Ministry of Defence","60","60","60840","61880"
"In post","2021","Communications","G6/G7","Ministry of Housing, Communities and Local Government","30","30","[c]","[c]"
"In post","2021","Communications","G6/G7","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","Communications","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Attorney General's Departments","50","50","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Department for Business, Energy and Industrial Strategy","140","130","39320","38910"
"In post","2021","Communications","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Department for Education","150","150","37540","36960"
"In post","2021","Communications","SEO/HEO","Department for Environment, Food and Rural Affairs","160","150","35750","36970"
"In post","2021","Communications","SEO/HEO","Department for International Trade","60","60","35580","34450"
"In post","2021","Communications","SEO/HEO","Department for Transport","140","130","37500","37380"
"In post","2021","Communications","SEO/HEO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Department of Health and Social Care","120","120","36650","35340"
"In post","2021","Communications","SEO/HEO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Foreign, Commonwealth and Development Office","80","80","41530","41000"
"In post","2021","Communications","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","HM Revenue and Customs","130","130","37440","38630"
"In post","2021","Communications","SEO/HEO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Home Office","100","100","41220","41900"
"In post","2021","Communications","SEO/HEO","Ministry of Defence","290","280","37940","36620"
"In post","2021","Communications","SEO/HEO","Ministry of Housing, Communities and Local Government","50","50","36760","34200"
"In post","2021","Communications","SEO/HEO","Ministry of Justice","100","90","36830","36800"
"In post","2021","Communications","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","United Kingdom Statistics Authority","60","50","33220","32540"
"In post","2021","Communications","SEO/HEO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Welsh Government","90","80","40590","37410"
"In post","2021","Communications","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Wales Office","[c]","[c]","[c]","[c]"
