"Status","Year","Function_of_post","Region_ITL3","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Statistics","60","50","40280","37050"
"In post","2021","Analysis","Bedford","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bradford","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Statistics","110","100","39210","32010"
"In post","2021","Analysis","Bristol, City of","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","Other","170","160","68990","65470"
"In post","2021","Analysis","Camden and City of London","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","Operational Research","240","230","41890","46080"
"In post","2021","Analysis","Central Hampshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","Science and Engineering","80","80","38050","37320"
"In post","2021","Analysis","Central Hampshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Valleys","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire East","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Statistics","30","30","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Darlington","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Darlington","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon CC","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon CC","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset CC","Science and Engineering","120","110","33040","29270"
"In post","2021","Analysis","Durham CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Derbyshire","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Kent","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Merseyside","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Merseyside","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Riding of Yorkshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester North East","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester North West","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester South West","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester South West","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inverness and Nairn and Moray, Badenoch and Strathspey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","Intelligence Analysis","60","60","48980","49530"
"In post","2021","Analysis","Leeds","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","Statistics","50","40","[c]","[c]"
"In post","2021","Analysis","Leeds","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicester","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire CC and Rutland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Manchester","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Manchester","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Manchester","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Manchester","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Manchester","Operational Research","40","30","[c]","[c]"
"In post","2021","Analysis","Manchester","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Manchester","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Manchester","Statistics","80","80","36320","31810"
"In post","2021","Analysis","Manchester","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Medway","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Medway","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merton, Kingston upon Thames and Sutton","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mid Lancashire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mid Lancashire","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mid Lancashire","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Monmouthshire and Newport","Economics","120","120","35890","29540"
"In post","2021","Analysis","Monmouthshire and Newport","Operational Delivery","330","310","30790","29540"
"In post","2021","Analysis","Monmouthshire and Newport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Monmouthshire and Newport","Social Research","260","250","38170","37020"
"In post","2021","Analysis","Monmouthshire and Newport","Statistics","310","300","41160","37020"
"In post","2021","Analysis","North Northamptonshire","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Nottinghamshire","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire CC","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Norwich and East Norfolk","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Norwich and East Norfolk","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","Knowledge and Information Management","[c]","[c]","[c]","[c]"
